# mass number (A) = 9
# number of protons (Z) = 4
#units k = 1/fm , units n_1(k) = fm^3
# k (1/fm)	tot
0.0	0.0
0.01	0.000924495326876
0.02	0.00369508079729
0.03	0.00830306625368
0.04	0.0147340059549
0.05	0.0229677551647
0.06	0.0329785489884
0.07	0.0447351030756
0.08	0.0582007356965
0.09	0.073333510603
0.1	0.0900863999781
0.11	0.108407466691
0.12	0.128240064973
0.13	0.149523058563
0.14	0.172191055257
0.15	0.196174656765
0.16	0.22140072268
0.17	0.24779264731
0.18	0.275270648069
0.19	0.303752064101
0.2	0.333151663714
0.21	0.363381959246
0.22	0.394353527894
0.23	0.425975337062
0.24	0.45815507276
0.25	0.490799469598
0.26	0.523814640913
0.27	0.557106407587
0.28	0.590580624154
0.29	0.624143500796
0.3	0.657701919892
0.31	0.691163745807
0.32	0.724438126685
0.33	0.757435787024
0.34	0.790069309933
0.35	0.822253407974
0.36	0.853905181615
0.37	0.884944364368
0.38	0.915293553775
0.39	0.944878427485
0.4	0.97362794375
0.41	1.00147452576
0.42	1.02835422934
0.43	1.05420689352
0.44	1.07897627383
0.45	1.10261015791
0.46	1.12506046339
0.47	1.14628331805
0.48	1.16623912214
0.49	1.18489259312
0.5	1.20221279304
0.51	1.21817313861
0.52	1.23275139472
0.53	1.24592965139
0.54	1.25769428504
0.55	1.26803590435
0.56	1.27694928152
0.57	1.28443326949
0.58	1.29049070594
0.59	1.29512830467
0.6	1.29835653543
0.61	1.30018949274
0.62	1.30064475477
0.63	1.29974323315
0.64	1.29750901445
0.65	1.29396919452
0.66	1.28915370633
0.67	1.28309514244
0.68	1.27582857293
0.69	1.26739135973
0.7	1.25782296825
0.71	1.24716477716
0.72	1.23545988722
0.73	1.22275293008
0.74	1.2090898776
0.75	1.19451785283
0.76	1.17908494306
0.77	1.1628400159
0.78	1.14583253887
0.79	1.12811240327
0.8	1.10972975284
0.81	1.09073481772
0.82	1.07117775432
0.83	1.05110849138
0.84	1.03057658281
0.85	1.00963106749
0.86	0.988320336434
0.87	0.966692007565
0.88	0.944792808262
0.89	0.922668465927
0.9	0.900363606626
0.91	0.877921661913
0.92	0.855384783872
0.93	0.832793768377
0.94	0.81018798652
0.95	0.787605324142
0.96	0.765082129348
0.97	0.74265316787
0.98	0.720351586098
0.99	0.698208881583
1.0	0.676254880786
1.01	0.654517723826
1.02	0.633023855951
1.03	0.611798025455
1.04	0.590863287727
1.05	0.570241015131
1.06	0.549950912366
1.07	0.530011036995
1.08	0.510437824784
1.09	0.491246119504
1.1	0.472449206859
1.11	0.454058852164
1.12	0.436085341455
1.13	0.418537525656
1.14	0.401422867473
1.15	0.384747490687
1.16	0.368516231494
1.17	0.352732691597
1.18	0.337399292724
1.19	0.322517332272
1.2	0.308087039804
1.21	0.294107634103
1.22	0.28057738054
1.23	0.267493648492
1.24	0.254852968588
1.25	0.242651089561
1.26	0.23088303449
1.27	0.219543156265
1.28	0.208625192075
1.29	0.19812231678
1.3	0.18802719501
1.31	0.178332031868
1.32	0.169028622116
1.33	0.160108397744
1.34	0.151562473842
1.35	0.143381692685
1.36	0.135556665984
1.37	0.128077815246
1.38	0.120935410208
1.39	0.114119605315
1.4	0.107620474235
1.41	0.101428042387
1.42	0.0955323175116
1.43	0.0899233182664
1.44	0.0845911008922
1.45	0.0795257839588
1.46	0.0747175712341
1.47	0.0701567727121
1.48	0.0658338238468
1.49	0.0617393030415
1.5	0.057863947448
1.51	0.0541986671333
1.52	0.0507345576761
1.53	0.0474629112545
1.54	0.0443752262937
1.55	0.0414632157378
1.56	0.0387188140167
1.57	0.0361341827757
1.58	0.0337017154378
1.59	0.0314140406685
1.6	0.0292640248115
1.61	0.0272447733634
1.62	0.0253496315559
1.63	0.0235721841102
1.64	0.0219062542294
1.65	0.0203459018907
1.66	0.0188854214991
1.67	0.0175193389619
1.68	0.0162424082401
1.69	0.0150496074321
1.7	0.0139361344415
1.71	0.0128974022792
1.72	0.011929034047
1.73	0.0110268576482
1.74	0.0101869002669
1.75	0.0094053826565
1.76	0.00867871327437
1.77	0.00800348229871
1.78	0.00737645555882
1.79	0.00679456840992
1.8	0.00625491958005
1.81	0.00575476501471
1.82	0.00529151174264
1.83	0.00486271178402
1.84	0.00446605612042
1.85	0.00409936874372
1.86	0.00376060079953
1.87	0.00344782483871
1.88	0.00315922918912
1.89	0.0028931124578
1.9	0.00264787817265
1.91	0.00242202957116
1.92	0.00221416454214
1.93	0.00202297072572
1.94	0.00184722077526
1.95	0.001685767784
1.96	0.00153754087835
1.97	0.0014015409787
1.98	0.00127683672781
1.99	0.00116256058645
2.0	0.00105790509468
2.01	0.000962119297289
2.02	0.000874505330726
2.03	0.000794415168956
2.04	0.000721247524831
2.05	0.000654444903489
2.06	0.000593490803894
2.07	0.000537907064378
2.08	0.000487251347874
2.09	0.000441114762329
2.1	0.000399119611695
2.11	0.000360917272767
2.12	0.000326186193108
2.13	0.000294630005252
2.14	0.000265975752371
2.15	0.000239972220627
2.16	0.000216388373443
2.17	0.000195011882999
2.18	0.000175647754349
2.19	0.000158117037602
2.2	0.000142255623754
2.21	0.000127913119846
2.22	0.00011495179924
2.23	0.00010324562295
2.24	9.26793280798e-05
2.25	8.31475795749e-05
2.26	7.45541816128e-05
2.27	6.68113451259e-05
2.28	5.98390080759e-05
2.29	5.35642052512e-05
2.3	4.79204845015e-05
2.31	4.28473664669e-05
2.32	3.82898449988e-05
2.33	3.41979256108e-05
2.34	3.05261994309e-05
2.35	2.7233450261e-05
2.36	2.42822924786e-05
2.37	2.16388376402e-05
2.38	1.92723877681e-05
2.39	1.71551534177e-05
2.4	1.52619947377e-05
