# mass number (A) = 9
# number of protons (Z) = 4
#units k = 1/fm , units n_1(k) = fm^3
# k (1/fm)	tot
0.0	4.24268461326
0.01	4.24157507377
0.02	4.23824819599
0.03	4.23270919743
0.04	4.22496675878
0.05	4.21503300124
0.06	4.20292345492
0.07	4.18865701834
0.08	4.17225590934
0.09	4.15374560736
0.1	4.13315478753
0.11	4.11051524664
0.12	4.08586182132
0.13	4.05923229871
0.14	4.03066732001
0.15	4.00021027713
0.16	3.96790720288
0.17	3.93380665515
0.18	3.89795959532
0.19	3.86041926148
0.2	3.8212410369
0.21	3.78048231401
0.22	3.73820235465
0.23	3.69446214678
0.24	3.64932425841
0.25	3.60285268894
0.26	3.55511271867
0.27	3.50617075683
0.28	3.45609418861
0.29	3.40495122179
0.3	3.35281073334
0.31	3.29974211651
0.32	3.24581512892
0.33	3.19109974203
0.34	3.13566599251
0.35	3.07958383585
0.36	3.02292300279
0.37	2.96575285873
0.38	2.90814226676
0.39	2.85015945445
0.4	2.79187188491
0.41	2.73334613231
0.42	2.67464776224
0.43	2.6158412172
0.44	2.5569897073
0.45	2.49815510665
0.46	2.43939785547
0.47	2.38077686808
0.48	2.32234944704
0.49	2.26417120344
0.5	2.20629598358
0.51	2.14877580188
0.52	2.09166078037
0.53	2.03499909453
0.54	1.97883692558
0.55	1.92321841926
0.56	1.86818565091
0.57	1.81377859689
0.58	1.76003511223
0.59	1.70699091438
0.6	1.65467957293
0.61	1.60313250521
0.62	1.55237897748
0.63	1.50244611173
0.64	1.45335889771
0.65	1.40514021006
0.66	1.35781083037
0.67	1.31138947385
0.68	1.26589282045
0.69	1.22133555013
0.7	1.17773038209
0.71	1.13508811761
0.72	1.09341768633
0.73	1.05272619571
0.74	1.01301898326
0.75	0.974299671506
0.76	0.936570225167
0.77	0.89983101053
0.78	0.864080856563
0.79	0.829317117615
0.8	0.795535737418
0.81	0.762731314137
0.82	0.730897166241
0.83	0.700025398948
0.84	0.670106971019
0.85	0.64113176168
0.86	0.613088637471
0.87	0.585965518801
0.88	0.559749446036
0.89	0.534426644929
0.9	0.509982591219
0.91	0.486402074242
0.92	0.463669259403
0.93	0.441767749369
0.94	0.420680643853
0.95	0.400390597873
0.96	0.380879878385
0.97	0.362130419181
0.98	0.344123873983
0.99	0.326841667648
1.0	0.310265045422
1.01	0.294375120197
1.02	0.27915291771
1.03	0.264579419675
1.04	0.250635604793
1.05	0.237302487653
1.06	0.224561155489
1.07	0.212392802818
1.08	0.200778763947
1.09	0.18970054337
1.1	0.179139844085
1.11	0.169078593847
1.12	0.159498969393
1.13	0.150383418689
1.14	0.141714681217
1.15	0.13347580639
1.16	0.1256501701
1.17	0.118221489501
1.18	0.111173836044
1.19	0.104491646863
1.2	0.0981597345445
1.21	0.0921632953709
1.22	0.0864879160848
1.23	0.0811195792595
1.24	0.0760446673336
1.25	0.0712499653852
1.26	0.0667226627127
1.27	0.0624503532944
1.28	0.0584210351932
1.29	0.0546231089789
1.3	0.051045375232
1.31	0.047677031199
1.32	0.0445076666621
1.33	0.0415272590894
1.34	0.0387261681253
1.35	0.0360951294842
1.36	0.0336252483041
1.37	0.0313079920179
1.38	0.0291351827953
1.39	0.0270989896094
1.4	0.0251919199761
1.41	0.0234068114156
1.42	0.0217368226799
1.43	0.0201754247901
1.44	0.0187163919238
1.45	0.017353792191
1.46	0.0160819783341
1.47	0.0148955783862
1.48	0.013789486318
1.49	0.0127588527034
1.5	0.0117990754297
1.51	0.0109057904782
1.52	0.0100748627964
1.53	0.00930237728372
1.54	0.00858462990876
1.55	0.00791811897461
1.56	0.00729953654783
1.57	0.00672576006386
1.58	0.00619384412059
1.59	0.00570101247017
1.6	0.00524465021746
1.61	0.00482229623247
1.62	0.00443163578244
1.63	0.00407049338821
1.64	0.00373682590839
1.65	0.00342871585352
1.66	0.00314436493181
1.67	0.00288208782664
1.68	0.00264030620563
1.69	0.00241754295997
1.7	0.0022124166721
1.71	0.00202363630932
1.72	0.00184999614007
1.73	0.00169037086929
1.74	0.00154371098891
1.75	0.00140903833869
1.76	0.00128544187285
1.77	0.00117207362716
1.78	0.00106814488122
1.79	0.000972922510156
1.8	0.000885725520174
1.81	0.000805921761844
1.82	0.000732924815264
1.83	0.000666191040952
1.84	0.0006052167904
1.85	0.000549535770166
