# mass number (A) = 12
# number of protons (Z) = 6
#units k = 1/fm , units n_1(k) = fm^3
# k (1/fm)	tot
0.0	0.0
0.01	0.00129898857588
0.02	0.00519161345514
0.03	0.0116648702216
0.04	0.0206971451839
0.05	0.0322583055502
0.06	0.0463098250161
0.07	0.0628049441152
0.08	0.0816888645019
0.09	0.102898976163
0.1	0.126365116382
0.11	0.152009859136
0.12	0.179748833421
0.13	0.209491068902
0.14	0.241139367107
0.15	0.274590696296
0.16	0.309736608009
0.17	0.3464636732
0.18	0.384653935779
0.19	0.42418538132
0.2	0.464932418609
0.21	0.506766371705
0.22	0.549555980093
0.23	0.593167904551
0.24	0.637467236316
0.25	0.682318007137
0.26	0.727583697856
0.27	0.773127743174
0.28	0.818814030299
0.29	0.864507389264
0.3	0.910074072755
0.31	0.955382223372
0.32	1.00030232635
0.33	1.0447076459
0.34	1.08847464332
0.35	1.13148337539
0.36	1.17361787144
0.37	1.21476648765
0.38	1.25482223765
0.39	1.29368309789
0.4	1.3312522873
0.41	1.36743852012
0.42	1.40215623144
0.43	1.43532577493
0.44	1.46687359238
0.45	1.49673235499
0.46	1.52484107625
0.47	1.55114519665
0.48	1.57559664042
0.49	1.5981538446
0.5	1.61878176122
0.51	1.63745183297
0.52	1.65414194333
0.53	1.66883634184
0.54	1.68152554578
0.55	1.69220621904
0.56	1.70088102947
0.57	1.70755848609
0.58	1.71225275716
0.59	1.71498347075
0.6	1.71577549914
0.61	1.71465872838
0.62	1.71166781477
0.63	1.70684192943
0.64	1.70022449279
0.65	1.69186290035
0.66	1.68180824118
0.67	1.67011501087
0.68	1.65684082023
0.69	1.64204610121
0.7	1.62579381156
0.71	1.60814913954
0.72	1.58917920993
0.73	1.56895279273
0.74	1.54754001577
0.75	1.52501208219
0.76	1.50144099408
0.77	1.47689928321
0.78	1.45145974971
0.79	1.42519520966
0.8	1.39817825232
0.81	1.37048100769
0.82	1.34217492506
0.83	1.31333056298
0.84	1.28401739127
0.85	1.25430360531
0.86	1.22425595298
0.87	1.19393957446
0.88	1.16341785502
0.89	1.13275229093
0.9	1.10200236842
0.91	1.07122545579
0.92	1.04047670827
0.93	1.00980898585
0.94	0.979272783458
0.95	0.94891617349
0.96	0.918784760195
0.97	0.888921645643
0.98	0.859367406803
0.99	0.830160083325
1.0	0.801335175533
1.01	0.772925652127
1.02	0.744961967085
1.03	0.717472085205
1.04	0.69048151574
1.05	0.664013353564
1.06	0.63808832728
1.07	0.612724853715
1.08	0.5879390982
1.09	0.563745040082
1.1	0.540154542887
1.11	0.517177428586
1.12	0.4948215554
1.13	0.47309289863
1.14	0.451995633973
1.15	0.431532222848
1.16	0.411703499219
1.17	0.392508757486
1.18	0.373945840988
1.19	0.356011230701
1.2	0.338700133753
1.21	0.322006571382
1.22	0.305923465983
1.23	0.290442726962
1.24	0.275555335061
1.25	0.261251424933
1.26	0.247520365692
1.27	0.234350839249
1.28	0.221730916224
1.29	0.209648129284
1.3	0.198089543753
1.31	0.18704182537
1.32	0.176491305117
1.33	0.166424041013
1.34	0.156825876827
1.35	0.147682497677
1.36	0.138979482478
1.37	0.130702353247
1.38	0.122836621266
1.39	0.115367830126
1.4	0.108281595705
1.41	0.101563643101
1.42	0.0951998406093
1.43	0.0891762307971
1.44	0.0834790587553
1.45	0.0780947976204
1.46	0.0730101714532
1.47	0.0682121755763
1.48	0.0636880944724
1.49	0.0594255173499
1.5	0.0554123514879
1.51	0.05163683347
1.52	0.0480875384231
1.53	0.044753387373
1.54	0.0416236528333
1.55	0.0386879627395
1.56	0.0359363028418
1.57	0.0333590176675
1.58	0.0309468101606
1.59	0.0286907401071
1.6	0.0265822214472
1.61	0.0246130185762
1.62	0.0227752417302
1.63	0.0210613415503
1.64	0.0194641029142
1.65	0.0179766381207
1.66	0.0165923795089
1.67	0.015305071588
1.68	0.0141087627521
1.69	0.0129977966468
1.7	0.011966803254
1.71	0.0110106897529
1.72	0.0101246312149
1.73	0.00930406118335
1.74	0.00854466218614
1.75	0.00784235622562
1.76	0.00719329528529
1.77	0.0065938518904
1.78	0.00604060975524
1.79	0.00553035454678
1.8	0.00506006479127
1.81	0.00462690294701
