# mass number (A) = 12
# number of protons (Z) = 6
#units k = 1/fm , units n_1(k) = fm^3
# k (1/fm)	tot
0.0	3.49798603929
0.01	3.49701166214
0.02	3.49409015888
0.03	3.48922640956
0.04	3.48242853252
0.05	3.47370786177
0.06	3.46307891556
0.07	3.45055935603
0.08	3.43616994038
0.09	3.41993446346
0.1	3.40187969224
0.11	3.38203529229
0.12	3.36043374652
0.13	3.33711026663
0.14	3.31210269749
0.15	3.28545141484
0.16	3.2571992167
0.17	3.22739120896
0.18	3.19607468543
0.19	3.16329900299
0.2	3.12911545215
0.21	3.09357712349
0.22	3.05673877064
0.23	3.01865667009
0.24	2.97938847841
0.25	2.93899308745
0.26	2.89753047787
0.27	2.85506157176
0.28	2.8116480845
0.29	2.76735237671
0.3	2.72223730654
0.31	2.67636608295
0.32	2.62980212026
0.33	2.58260889468
0.34	2.53484980299
0.35	2.48658802403
0.36	2.43788638329
0.37	2.388807221
0.38	2.33941226412
0.39	2.28976250255
0.4	2.23991806989
0.41	2.18993812911
0.42	2.13988076328
0.43	2.08980287171
0.44	2.03976007172
0.45	1.98980660616
0.46	1.93999525696
0.47	1.89037726471
0.48	1.84100225457
0.49	1.7919181684
0.5	1.74317120336
0.51	1.69480575682
0.52	1.64686437782
0.53	1.5993877248
0.54	1.55241452984
0.55	1.50598156913
0.56	1.46012363965
0.57	1.41487354206
0.58	1.37026206944
0.59	1.32631800206
0.6	1.28306810765
0.61	1.2405371473
0.62	1.19874788662
0.63	1.15772111198
0.64	1.11747565168
0.65	1.0780284017
0.66	1.03939435589
0.67	1.0015866403
0.68	0.964616551364
0.69	0.92849359777
0.7	0.893225545616
0.71	0.858818466696
0.72	0.82527678957
0.73	0.792603353176
0.74	0.760799462703
0.75	0.729864947454
0.76	0.699798220424
0.77	0.670596339348
0.78	0.642255068933
0.79	0.614768944044
0.8	0.58813133359
0.81	0.562334504865
0.82	0.537369688124
0.83	0.513227141165
0.84	0.489896213718
0.85	0.467365411416
0.86	0.445622459188
0.87	0.424654363868
0.88	0.404447475863
0.89	0.384987549722
0.9	0.366259803464
0.91	0.348248976515
0.92	0.330939386154
0.93	0.314314982337
0.94	0.298359400814
0.95	0.283056014442
0.96	0.268387982621
0.97	0.254338298789
0.98	0.240889835918
0.99	0.228025389966
1.0	0.215727721255
1.01	0.203979593746
1.02	0.192763812194
1.03	0.182063257184
1.04	0.171860918043
1.05	0.162139923639
1.06	0.152883571085
1.07	0.144075352374
1.08	0.135698978971
1.09	0.127738404404
1.1	0.120177844893
1.11	0.113001798059
1.12	0.106195059785
1.13	0.0997427392511
1.14	0.0936302722341
1.15	0.0878434327188
1.16	0.082368342886
1.17	0.0771914815479
1.18	0.0722996910984
1.19	0.0676801830475
1.2	0.0633205422116
1.21	0.0592087296317
1.22	0.0553330842898
1.23	0.0516823236974
1.24	0.0482455434257
1.25	0.0450122156492
1.26	0.0419721867718
1.27	0.0391156742052
1.28	0.0364332623655
1.29	0.0339158979545
1.3	0.0315548845892
1.31	0.0293418768419
1.32	0.0272688737502
1.33	0.0253282118561
1.34	0.023512557827
1.35	0.0218149007153
1.36	0.0202285439044
1.37	0.018747096791
1.38	0.0173644662493
1.39	0.0160748479196
1.4	0.0148727173637
1.41	0.0137528211237
1.42	0.0127101677219
1.43	0.0117400186329
1.44	0.0108378792611
1.45	0.00999948995172
1.46	0.00922081705992
1.47	0.008498044105
1.48	0.00782756302927
1.49	0.0072059655826
1.5	0.0066300348501
1.51	0.00609673693885
1.52	0.00560321283781
1.53	0.00514677046302
1.54	0.00472487689878
1.55	0.00433515084377
1.56	0.00397535526967
1.57	0.0036433902983
1.58	0.00333728630209
1.59	0.00305519723149
1.6	0.0027953941716
1.61	0.00255625912952
1.62	0.00233627905269
1.63	0.00213404007771
1.64	0.00194822200842
1.65	0.00177759302095
1.66	0.0016210045933
1.67	0.00147738665577
1.68	0.00134574295867
1.69	0.00122514665279
1.7	0.00111473607794
1.71	0.00101371075447
1.72	0.000921327572347
1.73	0.000836897172138
1.74	0.000759780512084
1.75	0.000689385615197
1.76	0.000625164490281
1.77	0.000566610220662
1.78	0.000513254214342
1.79	0.00046466360932
1.8	0.00042043882778
1.81	0.000380211272943
1.82	0.000343641162377
1.83	0.000310415491685
1.84	0.000280246122574
1.85	0.000252867989408
1.86	0.000228037418503
1.87	0.000205530554542
1.88	0.000185141888638
1.89	0.000166682882752
1.9	0.000149980685314
1.91	0.000134876933073
1.92	0.000121226634399
1.93	0.000108897129396
1.94	9.77671224058e-05
1.95	8.77257826356e-05
1.96	7.86719088348e-05
1.97	7.0513154123e-05
1.98	6.31653072459e-05
1.99	5.65516267124e-05
2.0	5.0602224438e-05
2.01	4.52534956874e-05
2.02	4.0447592272e-05
2.03	3.61319361192e-05
2.04	3.22587704856e-05
2.05	2.87847462347e-05
2.06	2.56705407465e-05
2.07	2.28805071661e-05
2.08	2.03823518318e-05
2.09	1.81468378529e-05
2.1	1.61475129328e-05
2.11	1.43604596478e-05
2.12	1.27640665088e-05
2.13	1.13388182372e-05
2.14	1.00671037917e-05
2.15	8.93304077702e-06
2.16	7.92231495992e-06
2.17	7.02203370382e-06
2.18	6.22059221607e-06
2.19	5.50755157972e-06
2.2	4.87352761478e-06
2.21	4.31008968316e-06
2.22	3.80966861589e-06
