# mass number (A) = 40
# number of protons (Z) = 20
#units k = 1/fm , units n_1(k) = fm^3
# k (1/fm)	tot
0.0	0.0
0.01	3.10919970484e-07
0.02	4.96910666737e-06
0.03	2.5108815221e-05
0.04	7.9147495729e-05
0.05	0.000192577873643
0.06	0.000397679930554
0.07	0.000733155812099
0.08	0.00124369149579
0.09	0.00197944981451
0.1	0.00299550014306
0.11	0.00435119070701
0.12	0.00610947005927
0.13	0.0083361647821
0.14	0.0110992209078
0.15	0.0144679169032
0.16	0.0185120563282
0.17	0.0233011484593
0.18	0.0289035852528
0.19	0.0353858230226
0.2	0.0428115771161
0.21	0.0512410376903
0.22	0.0607301144276
0.23	0.0713297176856
0.24	0.0830850831525
0.25	0.0960351465886
0.26	0.110211974676
0.27	0.125640257387
0.28	0.142336866611
0.29	0.160310485076
0.3	0.179561308871
0.31	0.200080826076
0.32	0.221851673279
0.33	0.244847570901
0.34	0.26903333753
0.35	0.294364982635
0.36	0.320789876295
0.37	0.348246993838
0.38	0.376667232582
0.39	0.405973797213
0.4	0.436082649725
0.41	0.466903019267
0.42	0.498337966775
0.43	0.530284998781
0.44	0.56263672446
0.45	0.595281549634
0.46	0.628104401223
0.47	0.660987475483
0.48	0.693811003243
0.49	0.726454025345
0.5	0.758795171533
0.51	0.790713436129
0.52	0.822088944023
0.53	0.852803700712
0.54	0.882742320432
0.55	0.91179272674
0.56	0.939846820315
0.57	0.966801109131
0.58	0.992557296649
0.59	1.01702282415
0.6	1.04011136382
0.61	1.06174325979
0.62	1.08184591475
0.63	1.10035412048
0.64	1.117210331
0.65	1.13236487769
0.66	1.14577612622
0.67	1.15741057568
0.68	1.1672429007
0.69	1.17525593792
0.7	1.18144061849
0.71	1.18579584882
0.72	1.18832834199
0.73	1.1890524028
0.74	1.1879896694
0.75	1.18516881509
0.76	1.1806252137
0.77	1.17440057235
0.78	1.1665425356
0.79	1.15710426473
0.8	1.14614399634
0.81	1.13372458418
0.82	1.11991302831
0.83	1.10477999532
0.84	1.08839933364
0.85	1.07084758748
0.86	1.05220351305
0.87	1.03254760035
0.88	1.01196160367
0.89	0.99052808385
0.9	0.968329964893
0.91	0.945450107461
0.92	0.921970901431
0.93	0.897973879464
0.94	0.873539353266
0.95	0.848746073955
0.96	0.823670917692
0.97	0.798388597454
0.98	0.772971401597
0.99	0.747488959615
1.0	0.722008035231
1.01	0.696592346793
1.02	0.671302414677
1.03	0.646195435272
1.04	0.621325180871
1.05	0.596741924706
1.06	0.572492390154
1.07	0.548619723065
1.08	0.525163486009
1.09	0.502159673192
1.1	0.47964074466
1.11	0.457635678405
1.12	0.436170038894
1.13	0.415266060556
1.14	0.394942744706
1.15	0.375215968419
1.16	0.356098603854
1.17	0.337600646563
1.18	0.319729351361
1.19	0.302489374342
1.2	0.285882919733
1.21	0.269909890281
1.22	0.254568039969
1.23	0.239853127922
1.24	0.225759072417
1.25	0.212278104027
