# mass number (A) = 40
# number of protons (Z) = 20
#units k = 1/fm , units n_1(k) = fm^3
# k (1/fm)	tot
0.0	0.0
0.01	0.00123936827766
0.02	0.00495187970901
0.03	0.0111207856357
0.04	0.0197182765613
0.05	0.0307056387793
0.06	0.0440334721133
0.07	0.0596419672467
0.08	0.0774612407033
0.09	0.0974117251481
0.1	0.119404612295
0.11	0.143342345358
0.12	0.169119157652
0.13	0.196621653644
0.14	0.225729428494
0.15	0.256315721884
0.16	0.288248101721
0.17	0.321389173142
0.18	0.355597308125
0.19	0.390727390899
0.2	0.426631574291
0.21	0.463160042165
0.22	0.50016177307
0.23	0.537485300327
0.24	0.574979463845
0.25	0.612494149089
0.26	0.649881008792
0.27	0.686994163195
0.28	0.723690874803
0.29	0.759832193919
0.3	0.795283571466
0.31	0.829915435914
0.32	0.863603731437
0.33	0.896230414755
0.34	0.927683908448
0.35	0.957859508887
0.36	0.986659747284
0.37	1.0139947027
0.38	1.03978226626
0.39	1.06394835609
0.4	1.08642708296
0.41	1.10716086687
0.42	1.12610050512
0.43	1.14320519289
0.44	1.1584424974
0.45	1.1717882873
0.46	1.18322661887
0.47	1.19274958118
0.48	1.20035710238
0.49	1.20605671945
0.5	1.20986331419
0.51	1.21179881791
0.52	1.21189188795
0.53	1.21017755878
0.54	1.2066968708
0.55	1.20149647977
0.56	1.19462825017
0.57	1.18614883533
0.58	1.17611924751
0.59	1.16460442088
0.6	1.15167277035
0.61	1.13739574907
0.62	1.12184740729
0.63	1.10510395532
0.64	1.08724333289
0.65	1.06834478732
0.66	1.04848846268
0.67	1.02775500189
0.68	1.00622516355
0.69	0.983979455237
0.7	0.961097784527
0.71	0.937659129226
0.72	0.913741227701
0.73	0.889420290278
0.74	0.864770732376
0.75	0.839864929912
0.76	0.814772997303
0.77	0.789562588241
0.78	0.764298719268
0.79	0.739043615988
0.8	0.71385658165
0.81	0.688793887672
0.82	0.663908685574
0.83	0.639250939665
0.84	0.61486737972
0.85	0.590801472813
0.86	0.567093413382
0.87	0.54378013053
0.88	0.520895311516
0.89	0.498469440352
0.9	0.476529850372
0.91	0.455100789631
0.92	0.434203497966
0.93	0.413856294551
0.94	0.394074674785
0.95	0.374871415369
0.96	0.356256686422
0.97	0.338238169551
0.98	0.320821180803
0.99	0.304008797454
1.0	0.28780198766
1.01	0.272199742035
1.02	0.257199206246
1.03	0.242795813825
1.04	0.228983418385
1.05	0.215754424552
1.06	0.203099916944
1.07	0.191009786586
1.08	0.17947285424
1.09	0.168476990165
1.1	0.158009229883
1.11	0.148055885583
1.12	0.138602652868
1.13	0.129634712575
1.14	0.12113682748
1.15	0.113093433714
1.16	0.105488726801
1.17	0.0983067422336
1.18	0.0915314305733
1.19	0.0851467270857
1.2	0.0791366159477
1.21	0.0734851891124
1.22	0.0681766999321
1.23	0.0631956116684
1.24	0.0585266410426
1.25	0.0541547969946
1.26	0.0500654148374
1.27	0.0462441860063
1.28	0.0426771836135
1.29	0.0393508840273
1.3	0.0362521846994
1.31	0.0333684184707
1.32	0.0306873645858
1.33	0.0281972566465
1.34	0.0258867877358
1.35	0.0237451129368
1.36	0.0217618494699
1.37	0.0199270746657
1.38	0.0182313219826
1.39	0.016665575273
1.4	0.0152212614932
1.41	0.0138902420422
1.42	0.0126648029075
1.43	0.0115376437851
1.44	0.0105018663306
1.45	0.0095509616907
1.46	0.00867879745157
1.47	0.00787960413276
1.48	0.00714796134406
1.49	0.00647878371392
1.5	0.00586730668814
1.51	0.00530907228833
1.52	0.00479991491092
1.53	0.00433594723889
1.54	0.0039135463302
1.55	0.00352933993923
1.56	0.00318019312015
1.57	0.00286319515438
1.58	0.00257564683757
1.59	0.00231504815598
1.6	0.00207908637606
1.61	0.00186562456635
1.62	0.0016726905658
1.63	0.0014984664085
1.64	0.00134127821094
1.65	0.00119958652428
1.66	0.00107197715113
1.67	0.00095715242359
1.68	0.000853922936716
1.69	0.000761199729606
1.7	0.00067798690445
1.71	0.000603374672296
1.72	0.000536532813039
1.73	0.000476704536072
1.74	0.0004232007272
1.75	0.000375394566763
1.76	0.000332716503481
1.77	0.000294649568196
1.78	0.000260725011557
1.79	0.000230518249622
1.8	0.000203645101494
1.81	0.000179758303209
1.82	0.000158544282433
1.83	0.000139720178791
1.84	0.000123031095121
1.85	0.000108247565306
1.86	9.51632249246e-05
1.87	8.35926713812e-05
1.88	7.33695008009e-05
1.89	6.4344509484e-05
1.9	5.63840483112e-05
1.91	4.93685190568e-05
1.92	4.31910021456e-05
1.93	3.77560059639e-05
1.94	3.29783283926e-05
1.95	2.87820217903e-05
1.96	2.50994531858e-05
1.97	2.18704519692e-05
1.98	1.90415378697e-05
1.99	1.6565222498e-05
2.0	1.43993781961e-05
2.01	1.2506668379e-05
2.02	1.08540339819e-05
2.03	9.41223102135e-06
2.04	8.15541466439e-06
2.05	7.0607655549e-06
2.06	6.10815448475e-06
2.07	5.27984181401e-06
2.08	4.56020834025e-06
2.09	3.93551459431e-06
2.1	3.39368579739e-06
2.11	2.92411995445e-06
2.12	2.51751678112e-06
2.13	2.16572536766e-06
2.14	1.86160867376e-06
2.15	1.59892312358e-06
2.16	1.37221173229e-06
2.17	1.17670934365e-06
2.18	1.00825869483e-06
2.19	8.63236149224e-07
2.2	7.38486052031e-07
2.21	6.31262767852e-07
2.22	5.39179553975e-07
2.23	4.60163509618e-07
2.24	3.92415919639e-07
2.25	3.34377382323e-07
