# mass number (A) = 48
# number of protons (Z) = 20
#units k = 1/fm , units n_1(k) = fm^3
# k (1/fm)	tot
0.0	0.0
0.01	1.39167948309e-11
0.02	8.89619078831e-10
0.03	1.01133054706e-08
0.04	5.66661387372e-08
0.05	2.15396363739e-07
0.06	6.40379035187e-07
0.07	1.60651837822e-06
0.08	3.55845786624e-06
0.09	7.16568979723e-06
0.1	1.33826025808e-05
0.11	2.3512072872e-05
0.12	3.92711034709e-05
0.13	6.28569284924e-05
0.14	9.70119561704e-05
0.15	0.000145085897791
0.16	0.000211093439138
0.17	0.000299765848444
0.18	0.000416594981699
0.19	0.000567868241128
0.2	0.0007606931644
0.21	0.00100301046848
0.22	0.00130359454085
0.23	0.00167204055921
0.24	0.00211873762557
0.25	0.00265482751908
0.26	0.00329214889929
0.27	0.00404316702573
0.28	0.00492088929527
0.29	0.00593876713316
0.3	0.00711058500221
0.31	0.00845033751463
0.32	0.00997209583758
0.33	0.0116898647751
0.34	0.0136174320804
0.35	0.0157682117046
0.36	0.0181550828116
0.37	0.020790226492
0.38	0.0236849621806
0.39	0.0268495858257
0.4	0.0302932118745
0.41	0.0340236211236
0.42	0.0380471164405
0.43	0.0423683882898
0.44	0.046990391898
0.45	0.0519142377664
0.46	0.0571390970924
0.47	0.0626621234883
0.48	0.0684783921995
0.49	0.0745808578162
0.5	0.0809603312541
0.51	0.0876054765548
0.52	0.0945028278156
0.53	0.101636826324
0.54	0.108989877735
0.55	0.116542428885
0.56	0.124273063624
0.57	0.13215861681
0.58	0.140174305416
0.59	0.148293875498
0.6	0.156489763615
0.61	0.164733271105
0.62	0.172994749522
0.63	0.181243795407
0.64	0.189449452478
0.65	0.197580419259
0.66	0.205605260148
0.67	0.213492617876
0.68	0.22121142534
0.69	0.228731114827
0.7	0.236021822688
0.71	0.243054587603
0.72	0.249801540682
0.73	0.256236085746
0.74	0.262333068286
0.75	0.268068931708
0.76	0.273421859674
0.77	0.278371903468
0.78	0.282901093528
0.79	0.286993534455
0.8	0.290635482962
0.81	0.293815408459
0.82	0.296524036109
0.83	0.298754372388
