# mass number (A) = 48
# number of protons (Z) = 20
#units k = 1/fm , units n_1(k) = fm^3
# k (1/fm)	tot
0.0	2.21762042631
0.01	2.21557543648
0.02	2.20944993129
0.03	2.19927224068
0.04	2.18508937204
0.05	2.16696669834
0.06	2.1449875251
0.07	2.11925253994
0.08	2.0898791493
0.09	2.05700070779
0.1	2.02076564668
0.11	1.98133650862
0.12	1.93888889669
0.13	1.89361034625
0.14	1.84569912888
0.15	1.795362998
0.16	1.74281788629
0.17	1.68828656521
0.18	1.63199727726
0.19	1.5741823515
0.2	1.51507681309
0.21	1.45491699728
0.22	1.39393917831
0.23	1.33237822321
0.24	1.27046628016
0.25	1.20843151067
0.26	1.14649687424
0.27	1.08487897364
0.28	1.02378696811
0.29	0.963421561212
0.3	0.903974069333
0.31	0.8456255758
0.32	0.788546175002
0.33	0.732894309878
0.34	0.678816205336
0.35	0.626445399293
0.36	0.575902372149
0.37	0.527294274681
0.38	0.480714753515
0.39	0.436243872521
0.4	0.393948127763
0.41	0.353880552899
0.42	0.316080911263
0.43	0.280575970281
0.44	0.247379853315
0.45	0.216494463532
0.46	0.187909974019
0.47	0.161605377978
0.48	0.137549092575
0.49	0.115699609804
0.5	0.0960061875876
0.51	0.0784095742516
0.52	0.0628427595195
0.53	0.0492317452106
0.54	0.037496328954
0.55	0.0275508943951
0.56	0.0193052015992
0.57	0.0126651716293
0.58	0.00753365958996
0.59	0.00381121078702
0.6	0.00139679503726
0.61	0.00018851458086
0.62	8.42814864523e-05
0.63	0.000982460894107
0.64	0.0027824769088
0.65	0.00538537843034
0.66	0.00869436268073
0.67	0.0126152546616
0.68	0.0170569412381
0.69	0.0219317589978
0.7	0.0271558354675
0.71	0.0326493836892
0.72	0.0383369505488
0.73	0.0441476196192
0.74	0.0500151696219
0.75	0.0558781899216
0.76	0.0616801547493
0.77	0.0673694580969
0.78	0.0728994114458
0.79	0.0782282066712
0.8	0.0833188466178
0.81	0.0881390459597
0.82	0.0926611050453
0.83	0.0968617594837
0.84	0.100722008258
0.85	0.104226923153
0.86	0.107365442251
0.87	0.110130150215
0.88	0.112517047998
0.89	0.114525314515
0.9	0.116157062743
0.91	0.117417092544
0.92	0.118312642411
0.93	0.118853142163
0.94	0.119049968477
0.95	0.118916204969
0.96	0.118466408384
0.97	0.117716382289
0.98	0.116682959468
0.99	0.115383794085
1.0	0.113837164505
1.01	0.112061787488
1.02	0.110076644336
1.03	0.107900819421
1.04	0.105553351375
1.05	0.103053097097
1.06	0.100418608606
1.07	0.0976680226626
1.08	0.0948189629725
1.09	0.0918884546876
1.1	0.0888928508543
1.11	0.0858477703674
1.12	0.0827680469382
1.13	0.0796676885259
1.14	0.076559846644
1.15	0.0734567949139
1.16	0.0703699162181
1.17	0.0673096977848
1.18	0.0642857335286
1.19	0.0613067329701
1.2	0.0583805360593
1.21	0.0555141332418
1.22	0.0527136901183
1.23	0.049984576072
1.24	0.0473313962582
1.25	0.0447580263826
1.26	0.0422676497211
1.27	0.0398627958686
1.28	0.0375453807381
1.29	0.0353167473657
1.3	0.0331777071151
1.31	0.0311285809087
1.32	0.0291692401523
1.33	0.027299147053
1.34	0.0255173940659
1.35	0.0238227422407
1.36	0.0222136582694
1.37	0.0206883500702
1.38	0.0192448007696
1.39	0.017880800975
1.4	0.0165939792551
1.41	0.015381830768
