# mass number (A) = 56
# number of protons (Z) = 26
#units k = 1/fm , units n_1(k) = fm^3
# k (1/fm)	tot
0.0	0.0
0.01	3.0621497591e-07
0.02	4.89338060291e-06
0.03	2.47217006648e-05
0.04	7.79075103031e-05
0.05	0.000189499094059
0.06	0.000391166457529
0.07	0.000720808625244
0.08	0.00122208298215
0.09	0.0019438620652
0.1	0.00293962403441
0.11	0.00426678379911
0.12	0.0059859724367
0.13	0.00816027310936
0.14	0.0108544221535
0.15	0.0141339843813
0.16	0.0180645118888
0.17	0.022710695813
0.18	0.0281355205101
0.19	0.0343994295544
0.2	0.0415595127656
0.21	0.0496687231852
0.22	0.0587751325233
0.23	0.0689212331131
0.24	0.0801432938278
0.25	0.0924707767619
0.26	0.105925820744
0.27	0.120522796964
0.28	0.136267941146
0.29	0.153159065833
0.3	0.171185355412
0.31	0.190327245607
0.32	0.210556388216
0.33	0.23183570094
0.34	0.254119501243
0.35	0.277353722288
0.36	0.301476208158
0.37	0.326417084744
0.38	0.352099201965
0.39	0.378438642255
0.4	0.405345289693
0.41	0.432723453548
0.42	0.460472539603
0.43	0.488487762204
0.44	0.516660889717
0.45	0.544881015845
0.46	0.573035349172
0.47	0.601010013221
0.48	0.628690849429
0.49	0.655964215513
0.5	0.682717771967
0.51	0.708841249679
0.52	0.734227192029
0.53	0.758771665241
0.54	0.782374931232
0.55	0.804942077709
0.56	0.826383600839
0.57	0.846615936404
0.58	0.865561935951
0.59	0.88315128511
0.6	0.899320861867
0.61	0.91401503324
0.62	0.927185889438
0.63	0.938793415205
0.64	0.948805598669
0.65	0.957198478577
0.66	0.963956131377
0.67	0.969070600083
0.68	0.972541767381
0.69	0.974377175818
0.7	0.974591798343
0.71	0.97320776277
0.72	0.970254034047
0.73	0.965766058433
0.74	0.959785373876
0.75	0.952359191008
0.76	0.94353994927
0.77	0.933384852704
0.78	0.921955389933
0.79	0.909316842798
0.8	0.895537788016
0.81	0.880689596108
0.82	0.864845931621
0.83	0.848082258533
0.84	0.830475354443
0.85	0.812102836924
0.86	0.79304270512
0.87	0.773372899413
0.88	0.753170881644
0.89	0.732513238083
0.9	0.711475307045
0.91	0.69013083269
0.92	0.668551646296
0.93	0.646807375916
0.94	0.624965185114
0.95	0.603089541111
0.96	0.581242012462
0.97	0.559481096094
0.98	0.537862073306
0.99	0.516436894122
1.0	0.495254089162
1.01	0.474358708045
1.02	0.45379228316
1.03	0.433592817508
1.04	0.4137947952
1.05	0.394429213114
1.06	0.375523632102
1.07	0.357102246133
1.08	0.33918596768
1.09	0.321792527656
1.1	0.304936588207
1.11	0.288629866676
1.12	0.272881269083
1.13	0.257697031502
1.14	0.243080867786
1.15	0.229034122126
1.16	0.215555925035
1.17	0.20264335139
1.18	0.190291579292
1.19	0.178494048557
1.2	0.167242617761
1.21	0.156527718872
1.22	0.146338508553
1.23	0.136663015388
1.24	0.127488282295
1.25	0.11880050356
1.26	0.110585155974
1.27	0.102827123644
1.28	0.0955108161622
1.29	0.0886202798686
1.3	0.0821393020283
1.31	0.0760515078231
1.32	0.0703404501089
1.33	0.0649896919593
1.34	0.0599828820672
1.35	0.055303823125
1.36	0.0509365333474
1.37	0.0468653013399
1.38	0.0430747345462
1.39	0.0395498015389
1.4	0.0362758684365
1.41	0.0332387297514
1.42	0.0304246339857
1.43	0.0278203043003
1.44	0.0254129545916
1.45	0.0231903013096
1.46	0.021140571353
1.47	0.0192525063721
1.48	0.0175153638047
1.49	0.0159189149629
1.5	0.0144534404779
1.51	0.0131097233993
1.52	0.0118790402313
1.53	0.0107531501757
1.54	0.00972428283698
1.55	0.00878512462718
1.56	0.0079288040964
1.57	0.00714887639546
1.58	0.0064393070634
1.59	0.00579445531603
1.6	0.00520905699644
