# mass number (A) = 56
# number of protons (Z) = 26
#units k = 1/fm , units n_1(k) = fm^3
# k (1/fm)	tot
0.0	1.35039624908
0.01	1.34983935262
0.02	1.34817004082
0.03	1.34539244077
0.04	1.34151341205
0.05	1.33654251853
0.06	1.33049198905
0.07	1.32337666729
0.08	1.31521395115
0.09	1.3060237218
0.1	1.29582826306
0.11	1.28465217135
0.12	1.27252225689
0.13	1.25946743652
0.14	1.24551861894
0.15	1.23070858287
0.16	1.21507184884
0.17	1.19864454532
0.18	1.18146426993
0.19	1.1635699464
0.2	1.14500167815
0.21	1.12580059918
0.22	1.10600872303
0.23	1.08566879071
0.24	1.06482411813
0.25	1.04351844405
0.26	1.02179577912
0.27	0.999700256703
0.28	0.977275986352
0.29	0.954566910413
0.3	0.931616664502
0.31	0.908468442401
0.32	0.885164865956
0.33	0.861747860478
0.34	0.838258536125
0.35	0.814737075686
0.36	0.791222629158
0.37	0.767753215422
0.38	0.744365631321
0.39	0.72109536836
0.4	0.697976537205
0.41	0.675041800114
0.42	0.652322311388
0.43	0.62984766586
0.44	0.607645855423
0.45	0.585743233526
0.46	0.564164487548
0.47	0.542932618896
0.48	0.522068930648
0.49	0.501593022534
0.5	0.481522792983
0.51	0.461874447972
0.52	0.442662516361
0.53	0.423899871377
0.54	0.405597757901
0.55	0.387765825176
0.56	0.370412164548
0.57	0.353543351852
0.58	0.337164494017
0.59	0.321279279489
0.6	0.305890032048
0.61	0.290997767606
0.62	0.276602253565
0.63	0.262702070334
0.64	0.2492946746
0.65	0.236376463954
0.66	0.223942842506
0.67	0.211988287115
0.68	0.200506413876
0.69	0.189490044548
0.7	0.178931272586
0.71	0.168821528505
0.72	0.159151644267
0.73	0.149911916468
0.74	0.14109216807
0.75	0.132681808467
0.76	0.124669891698
0.77	0.117045172637
0.78	0.109796161003
0.79	0.102911173075
0.8	0.0963783809924
0.81	0.0901858595605
0.82	0.0843216304945
0.83	0.0787737040482
0.84	0.0735301179995
0.85	0.0685789739766
0.86	0.0639084711269
0.87	0.0595069371441
0.88	0.0553628566828
0.89	0.051464897204
0.9	0.0478019323031
0.91	0.0443630625859
0.92	0.0411376341657
0.93	0.0381152548607
0.94	0.0352858081821
0.95	0.0326394652058
0.96	0.0301666944264
0.97	0.0278582696966
0.98	0.0257052763584
0.99	0.0236991156725
1.0	0.021831507656
1.01	0.0200944924382
1.02	0.0184804302421
1.03	0.0169820001022
1.04	0.0155921974228
1.05	0.0143043304834
1.06	0.0131120159923
1.07	0.012009173787
1.08	0.0109900207777
1.09	0.010049064225
1.1	0.00918109444043
1.11	0.0083811769924
1.12	0.00764464449704
1.13	0.00696708806906
1.14	0.00634434850213
1.15	0.00577250724441
1.16	0.00524787722996
1.17	0.00476699362221
1.18	0.00432660452111
1.19	0.00392366168106
1.2	0.00355531128238
1.21	0.00321888479501
1.22	0.00291188996865
1.23	0.00263200198022
1.24	0.00237705476509
1.25	0.00214503255569
1.26	0.00193406164711
1.27	0.00174240240656
1.28	0.00156844154043
1.29	0.00141068462996
1.3	0.0012677489439
1.31	0.00113835653439
1.32	0.00102132761984
1.33	0.00091557425681
1.34	0.000820094301215
1.35	0.000733965657188
1.36	0.000656340810963
1.37	0.00058644164558
1.38	0.000523554531205
1.39	0.000467025684924
1.4	0.000416256793007
1.41	0.000370700887985
1.42	0.000329858472296
1.43	0.000293273879833
1.44	0.000260531866333
1.45	0.000231254419342
1.46	0.00020509777828
1.47	0.000181749655071
1.48	0.000160926645752
1.49	0.000142371823541
1.5	0.000125852503924
1.51	0.000111158172463
1.52	9.80985662196e-05
1.53	8.65018999099e-05
1.54	7.62132281318e-05
1.55	6.7092935315e-05
1.56	5.90153453081e-05
1.57	5.18674428413e-05
1.58	4.55476994167e-05
1.59	3.99649965092e-05
1.6	3.50376392914e-05
1.61	3.06924544318e-05
1.62	2.68639658469e-05
1.63	2.34936426209e-05
1.64	2.05292136279e-05
1.65	1.79240437157e-05
1.66	1.56365666158e-05
1.67	1.36297700496e-05
1.68	1.18707287894e-05
1.69	1.0330181717e-05
1.7	8.98214918792e-06
1.71	7.80358726996e-06
1.72	6.77407566839e-06
1.73	5.87553638417e-06
1.74	5.09198037204e-06
1.75	4.40927967416e-06
1.76	3.81496270195e-06
1.77	3.29803052354e-06
1.78	2.84879218779e-06
1.79	2.45871727815e-06
1.8	2.12030404127e-06
1.81	1.82696157615e-06
1.82	1.57290470131e-06
1.83	1.35306023871e-06
1.84	1.16298356632e-06
1.85	9.9878439514e-07
1.86	8.5706082253e-07
1.87	7.34840802529e-07
1.88	6.2953025467e-07
1.89	5.38867107734e-07
1.9	4.60880643055e-07
1.91	3.93855564465e-07
1.92	3.36300278996e-07
1.93	2.86918924391e-07
1.94	2.44586726763e-07
1.95	2.08328314661e-07
1.96	1.77298654776e-07
1.97	1.50766309766e-07
1.98	1.28098750601e-07
1.99	1.08749484606e-07
2.0	9.2246786353e-08
2.01	7.81838419514e-08
2.02	6.62101382656e-08
2.03	5.60239474905e-08
2.04	4.73657744144e-08
2.05	4.00126488485e-08
2.06	3.37731592412e-08
2.07	2.84831355858e-08
2.08	2.4001900508e-08
2.09	2.02090170208e-08
2.1	1.70014699688e-08
2.11	1.42912257689e-08
2.12	1.20031217742e-08
2.13	1.00730425533e-08
2.14	8.4463456405e-09
2.15	7.0765039773e-09
2.16	5.92393637061e-09
2.17	4.95500092142e-09
2.18	4.14112956436e-09
2.19	3.45808466564e-09
2.2	2.88532108912e-09
