# mass number (A) = 208
# number of protons (Z) = 82
#units k = 1/fm , units n_1(k) = fm^3
# k (1/fm)	tot
0.0	0.0
0.01	3.10518062431e-07
0.02	4.95931646503e-06
0.03	2.5031016072e-05
0.04	7.8777409242e-05
0.05	0.000191287531488
0.06	0.000394033559391
0.07	0.000724300163561
0.08	0.00122450688769
0.09	0.00194143489545
0.1	0.00292537099508
0.11	0.00422918318966
0.12	0.00590734308715
0.13	0.00801491131975
0.14	0.0106065026555
0.15	0.0137352477279
0.16	0.0174517682626
0.17	0.0218031823423
0.18	0.02683215564
0.19	0.0325760136717
0.2	0.0390659289956
0.21	0.0463261959435
0.22	0.0543736039276
0.23	0.0632169186659
0.24	0.0728564788294
0.25	0.0832839136879
0.26	0.0944819853319
0.27	0.106424557033
0.28	0.119076687292
0.29	0.132394847171
0.3	0.146327256602
0.31	0.160814333611
0.32	0.17578924874
0.33	0.191178575489
0.34	0.206903026297
0.35	0.222878262488
0.36	0.239015765754
0.37	0.255223758052
0.38	0.271408156415
0.39	0.287473548933
0.4	0.303324178215
0.41	0.318864918883
0.42	0.334002236065
0.43	0.348645112549
0.44	0.362705933005
0.45	0.376101314694
0.46	0.388752875169
0.47	0.400587928638
0.48	0.411540104016
0.49	0.421549878967
0.5	0.430565025671
0.51	0.438540965406
0.52	0.445441030442
0.53	0.451236633066
0.54	0.455907342854
0.55	0.459440874522
0.56	0.461832989812
0.57	0.463087317882
0.58	0.463215099592
0.59	0.462234861849
0.6	0.460172028831
0.61	0.457058477426
0.62	0.45293204462
0.63	0.447835994809
0.64	0.441818455137
0.65	0.434931826957
0.66	0.427232181412
0.67	0.41877864688
0.68	0.409632795725
0.69	0.399858037368
0.7	0.389519024231
0.71	0.378681076526
0.72	0.367409631281
0.73	0.355769720365
0.74	0.343825481589
0.75	0.331639706302
0.76	0.319273426219
0.77	0.30678554154
0.78	0.294232491784
0.79	0.281667970115
0.8	0.269142681357
0.81	0.256704143356
0.82	0.244396530804
0.83	0.23226056023
0.84	0.220333414428
0.85	0.208648704241
0.86	0.19723646536
0.87	0.186123187514
0.88	0.17533187328
0.89	0.164882123585
0.9	0.154790246897
0.91	0.145069389085
0.92	0.135729680901
0.93	0.126778400116
0.94	0.118220145407
0.95	0.110057019218
0.96	0.102288816939
0.97	0.0949132199379
0.98	0.087925990123
0.99	0.081321163946
1.0	0.0750912439226
1.01	0.0692273859791
1.02	0.0637195811301
1.03	0.0585568302067
1.04	0.0537273105556
1.05	0.04921853383
1.06	0.0450174941787
1.07	0.0411108063221
1.08	0.037484833168
1.09	0.034125802774
1.1	0.0310199146048
1.11	0.0281534351572
1.12	0.0255127831367
1.13	0.0230846044671
1.14	0.0208558374975
1.15	0.0188137688394
1.16	0.0169460803223
1.17	0.0152408876012
1.18	0.0136867709783
1.19	0.0122727990266
1.2	0.0109885456102
1.21	0.00982410090256
1.22	0.00877007699561
1.23	0.00781760868488
1.24	0.00695834999441
1.25	0.00618446698589
1.26	0.00548862736902
1.27	0.00486398740124
1.28	0.00430417653346
1.29	0.00380328022552
1.3	0.00335582132096
1.31	0.00295674033651
1.32	0.00260137498753
1.33	0.00228543923708
1.34	0.00200500212367
1.35	0.00175646659146
1.36	0.00153654851687
1.37	0.00134225609749
1.38	0.00117086974281
1.39	0.00101992258208
1.4	0.000887181682368
1.41	0.000770630049242
1.42	0.000668449464596
1.43	0.000579004199443
1.44	0.000500825625166
1.45	0.000432597733977
1.46	0.000373143568369
1.47	0.000321412549972
1.48	0.000276468690329
1.49	0.000237479659585
1.5	0.000203706683819
1.51	0.000174495237618
1.52	0.000149266495337
1.53	0.00012750950229
1.54	0.000108774025664
1.55	9.26640441998e-05
1.56	7.88318355057e-05
1.57	6.6972620231e-05
1.58	5.68197230471e-05
1.59	4.81402114956e-05
1.6	4.07309751137e-05
1.61	3.44152088251e-05
1.62	2.90392663119e-05
1.63	2.44698509241e-05
1.64	2.05915135887e-05
1.65	1.730442912e-05
1.66	1.45224242759e-05
1.67	1.21712328256e-05
1.68	1.01869547679e-05
1.69	8.51469866323e-06
1.7	7.10738778351e-06
1.71	5.92471245175e-06
1.72	4.93221251951e-06
1.73	4.10047541322e-06
1.74	3.40443656995e-06
1.75	2.82277037567e-06
1.76	2.33736091729e-06
1.77	1.9328429645e-06
1.78	1.59620461245e-06
1.79	1.31644394429e-06
1.8	1.08427291847e-06
1.81	8.91862453595e-07
1.82	7.32623377996e-07
1.83	6.01018537586e-07
1.84	4.92401918374e-07
1.85	4.02881144059e-07
