# mass number (A) = 208
# number of protons (Z) = 82
#units k = 1/fm , units n_1(k) = fm^3
# k (1/fm)	tot
0.0	0.0
0.01	1.28836146429e-14
0.02	3.29224891988e-12
0.03	8.41229234013e-11
0.04	8.36743828927e-10
0.05	4.96040959418e-09
0.06	2.11879564705e-08
0.07	7.21541977052e-08
0.08	2.08099980258e-07
0.09	5.28498462101e-07
0.1	1.21375717384e-06
0.11	2.56908277103e-06
0.12	5.08239058137e-06
0.13	9.4977993281e-06
0.14	1.6905779743e-05
0.15	2.88504367238e-05
0.16	4.74537160051e-05
0.17	7.55555603966e-05
0.18	0.000116868223797
0.19	0.000176142112714
0.2	0.0002593396962
0.21	0.000373813238219
0.22	0.000528481393346
0.23	0.000733999098191
0.24	0.00100291471501
0.25	0.0013498080654
0.26	0.00179140285102
0.27	0.00234664700996
0.28	0.00303675481094
0.29	0.00388520494607
0.3	0.00491768954295
0.31	0.00616200986824
0.32	0.00764791552207
0.33	0.00940688510255
0.34	0.011471847626
0.35	0.0138768453888
0.36	0.0166566404149
0.37	0.0198462681132
0.38	0.0234805432293
0.39	0.0275935245755
0.4	0.0322179463286
0.41	0.0373846248526
0.42	0.0431218510023
0.43	0.0494547786642
0.44	0.0564048208699
0.45	0.0639890651483
0.46	0.0722197198636
0.47	0.0811036030972
0.48	0.0906416851903
0.49	0.100828695354
0.5	0.111652801814
0.51	0.123095373791
0.52	0.135130832248
0.53	0.147726594807
0.54	0.160843118582
0.55	0.174434042892
0.56	0.188446432034
0.57	0.202821116436
0.58	0.217493128711
0.59	0.232392229393
0.6	0.247443515494
0.61	0.262568103507
0.62	0.277683877144
0.63	0.292706288961
0.64	0.30754920408
0.65	0.32212577353
0.66	0.33634932428
0.67	0.350134252805
0.68	0.363396909116
0.69	0.376056458415
0.7	0.388035708098
0.71	0.399261888533
0.72	0.409667376972
0.73	0.419190355068
0.74	0.427775391686
0.75	0.435373944073
0.76	0.441944771908
0.77	0.447454260219
0.78	0.45187664872
0.79	0.455194166611
0.8	0.457397073387
0.81	0.458483607609
0.82	0.458459846954
0.83	0.457339484061
0.84	0.455143523815
0.85	0.451899908677
0.86	0.447643079465
0.87	0.442413479654
0.88	0.436257011766
0.89	0.429224454712
0.9	0.421370851141
0.91	0.412754873859
0.92	0.40343818021
0.93	0.393484763075
0.94	0.382960306719
0.95	0.37193155521
0.96	0.360465700544
0.97	0.348629796908
0.98	0.336490206796
0.99	0.324112083892
1.0	0.311558896826
1.01	0.298891997092
1.02	0.286170233597
1.03	0.273449615498
