# mass number (A) = 208
# number of protons (Z) = 82
#units k = 1/fm , units n_1(k) = fm^3
# k (1/fm)	tot
0.0	0.0
0.01	1.33300233135e-18
0.02	1.36252926131e-15
0.03	7.83339540262e-14
0.04	1.38517831291e-12
0.05	1.28307112111e-11
0.06	7.89195782059e-11
0.07	3.65806033848e-10
0.08	1.37798723866e-09
0.09	4.42916571409e-09
0.1	1.2558130519e-08
0.11	3.21630073233e-08
0.12	7.57222852553e-08
0.13	1.6607447061e-07
0.14	3.42834453633e-07
0.15	6.71626915882e-07
0.16	1.25690766526e-06
0.17	2.25921444669e-06
0.18	3.91773121043e-06
0.19	6.57905603971e-06
0.2	1.07330257611e-05
0.21	1.7056363757e-05
0.22	2.64647774156e-05
0.23	4.01739357828e-05
0.24	5.97695064327e-05
0.25	8.72861260176e-05
0.26	0.000125294826666
0.27	0.00017699804829
0.28	0.000246330945333
0.29	0.000338067258198
0.3	0.000457927579067
0.31	0.000612687415115
0.32	0.00081028205605
0.33	0.00105990490485
0.34	0.00137209564728
0.35	0.00175881443334
0.36	0.00223349813641
0.37	0.00281109475572
0.38	0.00350807214399
0.39	0.00434239748076
0.4	0.00533348427537
0.41	0.00650210417008
0.42	0.00787026141796
0.43	0.00946102862176
0.44	0.0112983431264
0.45	0.0134067643407
0.46	0.0158111932028
0.47	0.0185365559797
0.48	0.0216074555692
0.49	0.0250477944403
0.5	0.028880374267
0.51	0.0331264781568
0.52	0.0378054421296
0.53	0.0429342231335
0.54	0.048526971375
0.55	0.0545946150725
0.56	0.0611444659022
0.57	0.0681798533845
0.58	0.0756997962484
0.59	0.0836987184181
0.6	0.0921662166888
0.61	0.101086886413
0.62	0.110440210609
0.63	0.120200516869
0.64	0.130337005266
0.65	0.140813849242
0.66	0.151590370101
0.67	0.162621284421
0.68	0.173857022334
0.69	0.185244113289
0.7	0.196725634662
0.71	0.208241717382
0.72	0.219730101683
0.73	0.231126735124
0.74	0.24236640427
0.75	0.253383390789
0.76	0.264112142274
0.77	0.274487947884
0.78	0.284447608808
0.79	0.293930093704
0.8	0.302877169591
0.81	0.311233999139
0.82	0.318949695972
0.83	0.32597783039
0.84	0.332276878831
0.85	0.337810611418
0.86	0.342548413039
0.87	0.346465534558
0.88	0.349543271957
0.89	0.351769072372
0.9	0.353136567204
0.91	0.353645533579
0.92	0.353301786534
0.93	0.352117005291
0.94	0.350108497893
0.95	0.34729890924
0.96	0.34371587829
0.97	0.339391650676
0.98	0.334362653466
0.99	0.328669039033
1.0	0.322354205193
1.01	0.315464298773
1.02	0.308047709689
1.03	0.300154562412
1.04	0.291836211384
1.05	0.283144746554
1.06	0.274132514725
1.07	0.264851661862
1.08	0.255353700917
1.09	0.245689109104
1.1	0.235906957882
1.11	0.226054578274
1.12	0.21617726345
1.13	0.206318009886
1.14	0.196517297763
1.15	0.186812910693
1.16	0.177239794297
1.17	0.167829952675
1.18	0.158612381328
1.19	0.149613034737
1.2	0.140854826436
1.21	0.132357659147
1.22	0.124138482352
1.23	0.116211374477
1.24	0.108587646806
1.25	0.101275966146
1.26	0.0942824933131
1.27	0.0876110345021
1.28	0.0812632027273
1.29	0.0752385866143
1.3	0.0695349239817
1.31	0.0641482778167
1.32	0.059073212446
1.33	0.0543029679018
1.34	0.0498296307012
1.35	0.0456442994755
1.36	0.0417372441041
1.37	0.0380980572286
1.38	0.0347157972302
1.39	0.0315791219584
1.4	0.0286764126902
1.41	0.0259958879765
1.42	0.023525707197
1.43	0.0212540637947
1.44	0.0191692682911
1.45	0.0172598213026
1.46	0.015514476877
1.47	0.0139222965522
1.48	0.0124726946117
1.49	0.0111554750592
1.5	0.00996086088204
1.51	0.00887951619551
1.52	0.00790256187773
1.53	0.00702158531154
1.54	0.00622864484428
1.55	0.00551626956612
1.56	0.00487745498866
1.57	0.0043056551816
1.58	0.00379477189688
1.59	0.00333914117759
1.6	0.00293351791427
1.61	0.00257305877506
1.62	0.00225330389904
1.63	0.00197015770441
1.64	0.00171986912636
1.65	0.00149901156329
1.66	0.00130446277482
1.67	0.00113338494226
1.68	0.000983205070398
1.69	0.000851595880406
1.7	0.000736457316492
1.71	0.000635898764241
1.72	0.000548222056037
1.73	0.000471905318874
1.74	0.00040558770198
1.75	0.000348055005968
1.76	0.000298226221618
1.77	0.000255140974747
1.78	0.000217947863797
1.79	0.000185893668624
1.8	0.000158313402407
1.81	0.000134621173374
1.82	0.000114301819093
1.83	9.69032732634e-05
1.84	8.20296230211e-05
1.85	6.93348137855e-05
1.86	5.85169583217e-05
1.87	4.9313206996e-05
1.88	4.14951369823e-05
1.89	3.48646193665e-05
1.9	2.92501246102e-05
1.91	2.45034285878e-05
1.92	2.04966833485e-05
1.93	1.71198188082e-05
1.94	1.42782437053e-05
1.95	1.18908163071e-05
1.96	9.8880575069e-06
1.97	8.21058106322e-06
1.98	6.80771779084e-06
1.99	5.63631249206e-06
2.0	4.65967430643e-06
2.01	3.84666294626e-06
2.02	3.17089496771e-06
2.03	2.6100557991e-06
2.04	2.1453047081e-06
2.05	1.76076123844e-06
2.06	1.4430628859e-06
2.07	1.18098491768e-06
2.08	9.65114271381e-07
2.09	7.87570406142e-07
2.1	6.41766823931e-07
2.11	5.22207739339e-07
2.12	4.24315058028e-07
2.13	3.44281432566e-07
2.14	2.78945706226e-07
2.15	2.25687535883e-07
2.16	1.82338410131e-07
2.17	1.47106653324e-07
2.18	1.18514335501e-07
2.19	9.53442966142e-08
2.2	7.65957456166e-08
2.21	6.14471145619e-08
2.22	4.92250388056e-08
2.23	3.93784997935e-08
2.24	3.1457309942e-08
2.25	2.50942424157e-08
2.26	1.99902146492e-08
2.27	1.59020254486e-08
2.28	1.2632223372e-08
2.29	1.00207505789e-08
2.3	7.938062974e-09
2.31	6.27947560325e-09
2.32	4.96052307767e-09
2.33	3.91315932729e-09
2.34	3.08265013981e-09
2.35	2.42503649074e-09
2.36	1.90506730901e-09
2.37	1.49451763058e-09
2.38	1.17082257885e-09
2.39	9.15969709287e-10
2.4	7.15602339601e-10
2.41	5.58294874464e-10
2.42	4.34968095741e-10
2.43	3.38418157058e-10
2.44	2.62937789942e-10
2.45	2.04012163491e-10
2.46	1.58075079867e-10
2.47	1.22313851208e-10
2.48	9.45133884895e-11
2.49	7.29318217702e-11
2.5	5.62014332923e-11
2.51	4.32498774632e-11
2.52	3.32376327069e-11
2.53	2.55084192551e-11
2.54	1.95499570288e-11
2.55	1.49629560299e-11
2.56	1.14366505439e-11
2.57	8.72952638613e-12
2.58	6.65416257282e-12
2.59	5.06532756342e-12
2.6	3.85064577764e-12
2.61	2.92329071099e-12
2.62	2.21627341963e-12
2.63	1.6779849034e-12
2.64	1.26872243849e-12
2.65	9.57986805332e-13
2.66	7.22382536598e-13
2.67	5.43989125442e-13
2.68	4.09099477774e-13
2.69	3.07244285003e-13
2.7	2.30438654974e-13
2.71	1.72601244862e-13
2.72	1.29107070913e-13
2.73	9.64437479786e-14
2.74	7.19476323245e-14
2.75	5.36015976119e-14
2.76	3.98802784652e-14
2.77	2.96318158387e-14
2.78	2.19876287911e-14
2.79	1.62936723921e-14
2.8	1.20581426917e-14
2.81	8.91175238105e-15
2.82	6.57759984945e-15
2.83	4.84834844174e-15
2.84	3.56896772261e-15
2.85	2.62370026308e-15
2.86	1.9262337908e-15
2.87	1.41230120118e-15
2.88	1.03411677271e-15
2.89	7.5619904352e-16
2.9	5.52239306324e-16
2.91	4.02757386085e-16
2.92	2.93349312177e-16
2.93	2.13379330174e-16
2.94	1.55004990346e-16
2.95	1.1245154237e-16
2.96	8.14726600293e-17
2.97	5.89502234116e-17
2.98	4.25977271907e-17
2.99	3.07407984439e-17
3.0	2.21550088889e-17
3.01	1.59461963265e-17
3.02	1.14622795971e-17
3.03	8.22837202611e-18
3.04	5.89910578203e-18
3.05	4.22365175896e-18
3.06	3.0200906919e-18
3.07	2.15666223267e-18
3.08	1.53806556739e-18
3.09	1.09546481617e-18
3.1	7.79207601132e-19
3.11	5.53527730874e-19
3.12	3.92696772768e-19
3.13	2.78232151898e-19
3.14	1.96874566697e-19
3.15	1.39124788127e-19
3.16	9.81866168052e-20
3.17	6.92043241519e-20
3.18	4.87133051819e-20
3.19	3.42448812173e-20
3.2	2.40423935048e-20
3.21	1.6857531283e-20
3.22	1.18044225684e-20
3.23	8.25525100635e-21
3.24	5.765684028e-21
3.25	4.0216722194e-21
3.26	2.80154778975e-21
3.27	1.94905988228e-21
3.28	1.35421731514e-21
3.29	9.39696961173e-22
3.3	6.51214118288e-22
3.31	4.50709342448e-22
3.32	3.11534624349e-22
3.33	2.15056874599e-22
3.34	1.48264719872e-22
3.35	1.0208455269e-22
3.36	7.01972644686e-23
3.37	4.82079346924e-23
3.38	3.3063990769e-23
3.39	2.26480413566e-23
3.4	1.54933340614e-23
3.41	1.05851788409e-23
3.42	7.2225542769e-24
3.43	4.92178848442e-24
3.44	3.3496143696e-24
3.45	2.27670428024e-24
3.46	1.54546294785e-24
3.47	1.04773376911e-24
3.48	7.09388045871e-25
3.49	4.79686588801e-25
3.5	3.23945744493e-25
3.51	2.18488295852e-25
3.52	1.47172095137e-25
3.53	9.90066497572e-26
3.54	6.65188990503e-26
3.55	4.46341976722e-26
3.56	2.99111147766e-26
3.57	2.00188832406e-26
3.58	1.33810337436e-26
3.59	8.93268968888e-27
3.6	5.95549383706e-27
3.61	3.96548625962e-27
3.62	2.63705047311e-27
3.63	1.75139434074e-27
3.64	1.16169770417e-27
3.65	7.69566563847e-28
3.66	5.09147128517e-28
3.67	3.36422190855e-28
3.68	2.22008894594e-28
3.69	1.4631898942e-28
3.7	9.63109715371e-29
3.71	6.33134179348e-29
3.72	4.15681646905e-29
3.73	2.72565701746e-29
3.74	1.78495385821e-29
3.75	1.16742336671e-29
3.76	7.62562657994e-30
3.77	4.97471970682e-30
3.78	3.24121462173e-30
3.79	2.10908078926e-30
3.8	1.37064521951e-30
3.81	8.89617807812e-31
3.82	5.76671661074e-31
3.83	3.73336660234e-31
3.84	2.41390240815e-31
3.85	1.55878412241e-31
3.86	1.00530903877e-31
3.87	6.47531203434e-32
3.88	4.1655223159e-32
3.89	2.67624598923e-32
3.9	1.71723820188e-32
3.91	1.10048251827e-32
3.92	7.04342663531e-33
3.93	4.50228754265e-33
3.94	2.87429268813e-33
3.95	1.83264110665e-33
3.96	1.16700487541e-33
3.97	7.42193028521e-34
3.98	4.71422344959e-34
3.99	2.99056115675e-34
4.0	1.89471799957e-34
4.01	1.19890833168e-34
4.02	7.57664633464e-35
4.03	4.78209089801e-35
4.04	3.01445319877e-35
4.05	1.89779502451e-35
4.06	1.19327415001e-35
4.07	7.49344393716e-36
4.08	4.69973231853e-36
4.09	2.94384772369e-36
4.1	1.84165487296e-36
4.11	1.15067310955e-36
4.12	7.18036662756e-37
4.13	4.47499277323e-37
4.14	2.78541072449e-37
4.15	1.73155965353e-37
4.16	1.07507089324e-37
4.17	6.66635292758e-38
4.18	4.12848939418e-38
4.19	2.55355864542e-38
4.2	1.57743840469e-38
4.21	9.7321997018e-39
4.22	5.99683029501e-39
4.23	3.69049623675e-39
4.24	2.26829821462e-39
4.25	1.39241285988e-39
4.26	8.53667021814e-40
4.27	5.22711072841e-40
4.28	3.19659580008e-40
4.29	1.95239051421e-40
4.3	1.19096419133e-40
4.31	7.2557761981e-41
4.32	4.41491475349e-41
4.33	2.68295966116e-41
4.34	1.62839382968e-41
4.35	9.87093618263e-42
4.36	5.97600479177e-42
4.37	3.61341074769e-42
4.38	2.18211499356e-42
4.39	1.31610926068e-42
4.4	7.9279402766e-43
4.41	4.76961154786e-43
4.42	2.86589297344e-43
4.43	1.71985305919e-43
4.44	1.03080671054e-43
4.45	6.17046294947e-44
4.46	3.68903671489e-44
4.47	2.20273889867e-44
4.48	1.31361463238e-44
4.49	7.82398381189e-45
4.5	4.65417827723e-45
4.51	2.76511557137e-45
4.52	1.64073656743e-45
4.53	9.72343729332e-46
4.54	5.75514490219e-46
4.55	3.40210948186e-46
4.56	2.00861165433e-46
4.57	1.18440282128e-46
4.58	6.97523335882e-47
4.59	4.10273998711e-47
4.6	2.41015670709e-47
4.61	1.41407580569e-47
4.62	8.28621724117e-48
4.63	4.84949191429e-48
4.64	2.83460502664e-48
4.65	1.65479935305e-48
4.66	9.64838655346e-49
4.67	5.61850402032e-49
4.68	3.26770943179e-49
4.69	1.89811703485e-49
4.7	1.10118286758e-49
4.71	6.38047326011e-50
4.72	3.69235467488e-50
4.73	2.13408190587e-50
4.74	1.23190152393e-50
4.75	7.10228702766e-51
4.76	4.08957188454e-51
4.77	2.35187888779e-51
4.78	1.3508577584e-51
4.79	7.74929028561e-52
