# mass number (A) = 208
# number of protons (Z) = 82
#units k = 1/fm , units n_1(k) = fm^3
# k (1/fm)	tot
0.0	0.0
0.01	1.68342016345e-10
0.02	1.07457925671e-08
0.03	1.21869665455e-07
0.04	6.80582596492e-07
0.05	2.57594300283e-06
0.06	7.61834682065e-06
0.07	1.8994118011e-05
0.08	4.17722501626e-05
0.09	8.34368741601e-05
0.1	0.000154416716186
0.11	0.000268581590274
0.12	0.000443675896104
0.13	0.000701660181434
0.14	0.00106893405455
0.15	0.00157641703062
0.16	0.00225946816419
0.17	0.00315763042194
0.18	0.00431419151853
0.19	0.00577555918456
0.2	0.00759045535082
0.21	0.0098089403008
0.22	0.0124812842407
0.23	0.0156567097488
0.24	0.0193820339861
0.25	0.0237002441948
0.26	0.0286490437116
0.27	0.0342594083563
0.28	0.0405541945129
0.29	0.0475468404488
0.3	0.0552402013894
0.31	0.0636255566008
0.32	0.0726818232843
0.33	0.0823750075535
0.34	0.0926579172657
0.35	0.103470155174
0.36	0.114738403936
0.37	0.12637700716
0.38	0.138288843092
0.39	0.150366479963
0.4	0.162493594687
0.41	0.174546629613
0.42	0.186396655767
0.43	0.197911405447
0.44	0.20895743248
0.45	0.219402354894
0.46	0.229117132405
0.47	0.237978329938
0.48	0.245870318485
0.49	0.252687365847
0.5	0.258335572297
0.51	0.262734609703
0.52	0.26581922721
0.53	0.267540491915
0.54	0.267866739098
0.55	0.266784213131
0.56	0.264297387199
0.57	0.26042895708
0.58	0.255219511379
0.59	0.248726887551
0.6	0.241025229637
0.61	0.232203769726
0.62	0.222365360598
0.63	0.211624791675
0.64	0.200106924272
0.65	0.187944685017
0.66	0.175276958331
0.67	0.162246419803
0.68	0.148997352384
0.69	0.135673486393
0.7	0.12241590261
0.71	0.109361035164
0.72	0.0966388076742
0.73	0.0843709322526
0.74	0.0726693966591
0.75	0.0616351601868
0.76	0.0513570739384
0.77	0.0419110361041
0.78	0.0333593878152
0.79	0.0257505502254
0.8	0.019118898782
0.81	0.0134848662679
0.82	0.00885526222072
0.83	0.00522379282262
