# mass number (A) = 208
# number of protons (Z) = 82
#units k = 1/fm , units n_1(k) = fm^3
# k (1/fm)	tot
0.0	0.0
0.01	0.00193165389208
0.02	0.00770150986679
0.03	0.0172346182639
0.04	0.0304072816394
0.05	0.0470488613164
0.06	0.0669442641039
0.07	0.0898370677014
0.08	0.11543323281
0.09	0.143405340456
0.1	0.173397284671
0.11	0.205029343618
0.12	0.237903546613
0.13	0.271609250393
0.14	0.305728835437
0.15	0.339843432259
0.16	0.373538588237
0.17	0.406409787872
0.18	0.43806774309
0.19	0.468143375437
0.2	0.496292418467
0.21	0.52219957627
0.22	0.545582182712
0.23	0.566193315333
0.24	0.583824327924
0.25	0.598306776184
0.26	0.60951372151
0.27	0.617360408598
0.28	0.62180432294
0.29	0.622844644357
0.3	0.62052112216
0.31	0.614912406269
0.32	0.606133876503
0.33	0.594335019129
0.34	0.579696405562
0.35	0.562426332756
0.36	0.542757188269
0.37	0.520941605208
0.38	0.497248473276
0.39	0.471958871936
0.4	0.445361990402
0.41	0.417751096768
0.42	0.389419615181
0.43	0.360657365756
0.44	0.331747016852
0.45	0.302960793739
0.46	0.274557481467
0.47	0.246779753279
0.48	0.219851849121
0.49	0.193977621992
0.5	0.169338963029
0.51	0.146094609632
0.52	0.124379334503
0.53	0.104303507515
0.54	0.0859530167729
0.55	0.0693895302498
0.56	0.0546510749674
0.57	0.0417529069661
0.58	0.0306886422214
0.59	0.0214316162911
0.6	0.0139364387924
0.61	0.00814070779979
0.62	0.00396684890813
0.63	0.00132404397752
0.64	0.000110215422315
0.65	0.000214033278611
0.66	0.00151691411582
0.67	0.00389498308873
0.68	0.00722097298701
0.69	0.0113660369606
0.7	0.0162014546133
0.71	0.0216002142925
0.72	0.0274384576005
0.73	0.0335967753428
0.74	0.0399613472622
0.75	0.0464249209269
0.76	0.0528876280072
0.77	0.0592576388392
0.78	0.0654516586195
0.79	0.0713952707606
0.8	0.0770231348553
0.81	0.0822790483328
0.82	0.087115882239
0.83	0.0914954026324
0.84	0.0953879898662
0.85	0.0987722685395
0.86	0.10163466115
0.87	0.103968878497
0.88	0.105775359694
0.89	0.10706067423
0.9	0.107836898004
0.91	0.108120974489
0.92	0.107934071434
0.93	0.107300942537
0.94	0.106249302576
0.95	0.104809223462
0.96	0.103012557617
0.97	0.100892394061
0.98	0.0984825515318
0.99	0.0958171120118
1.0	0.0929299970399
1.01	0.0898545883445
1.02	0.0866233934833
1.03	0.0832677564453
1.04	0.0798176125022
1.05	0.076301286013
1.06	0.0727453293877
1.07	0.0691744010025
1.08	0.0656111795205
1.09	0.0620763118182
1.1	0.0585883915329
1.11	0.0551639651325
1.12	0.0518175623529
1.13	0.0485617478548
1.14	0.0454071910017
1.15	0.0423627507568
1.16	0.0394355728272
1.17	0.0366311963451
1.18	0.0339536675597
1.19	0.0314056582132
1.2	0.0289885864902
1.21	0.0267027386465
1.22	0.0245473896486
1.23	0.0225209213724
1.24	0.0206209371283
1.25	0.0188443714833
1.26	0.0171875945499
1.27	0.0156465100947
1.28	0.0142166469898
1.29	0.012893243685
1.3	0.0116713255192
1.31	0.0105457748138
1.32	0.00951139379804
