# mass number (A) = 208
# number of protons (Z) = 82
#units k = 1/fm , units n_1(k) = fm^3
# k (1/fm)	tot
0.0	0.962813462641
0.01	0.961460633464
0.02	0.95741168399
0.03	0.950695131808
0.04	0.941358185575
0.05	0.929466268321
0.06	0.915102358652
0.07	0.898366158215
0.08	0.879373096028
0.09	0.858253182245
0.1	0.835149725781
0.11	0.810217931821
0.12	0.783623396608
0.13	0.755540517999
0.14	0.726150841141
0.15	0.695641359159
0.16	0.664202789004
0.17	0.632027842619
0.18	0.599309513258
0.19	0.566239396228
0.2	0.533006062502
0.21	0.499793502564
0.22	0.466779656563
0.23	0.434135045387
0.24	0.402021515578
0.25	0.37059110925
0.26	0.339985068263
0.27	0.310332979925
0.28	0.281752069487
0.29	0.254346642657
0.3	0.22820767936
0.31	0.203412577991
0.32	0.180025047546
0.33	0.158095143219
0.34	0.13765943941
0.35	0.118741332566
0.36	0.101351464952
0.37	0.0854882592791
0.38	0.0711385531218
0.39	0.0582783213059
0.4	0.0468734738406
0.41	0.0368807165968
0.42	0.0282484617436
0.43	0.0209177749558
0.44	0.0148233465886
0.45	0.00989447436566
0.46	0.00605604563458
0.47	0.00322950788922
0.48	0.00133381702699
0.49	0.000286353682945
0.5	3.79894131941e-06
0.51	0.000402961750274
0.52	0.00140155143827
0.53	0.0029188898311
0.54	0.00487655857925
0.55	0.00719897840865
0.56	0.00981391808757
0.57	0.0126529319439
0.58	0.0156517257565
0.59	0.0187504517724
0.6	0.0218939344527
0.61	0.0250318293263
0.62	0.0281187180134
0.63	0.0311141430782
0.64	0.0339825868684
0.65	0.0366933989076
0.66	0.0392206767184
0.67	0.0415431051752
0.68	0.0436437596183
0.69	0.0455098780124
0.7	0.047132607403
0.71	0.0485067298257
0.72	0.0496303726638
0.73	0.0505047082261
0.74	0.0511336470538
0.75	0.0515235291548
0.76	0.0516828170278
0.77	0.0516217939697
0.78	0.0513522707831
0.79	0.0508873036075
0.8	0.0502409252062
0.81	0.049427891649
0.82	0.0484634459512
0.83	0.0473630998604
0.84	0.046142434635
0.85	0.0448169213284
0.86	0.0434017607902
0.87	0.0419117433212
0.88	0.0403611276659
0.89	0.0387635388115
0.9	0.0371318838697
0.91	0.0354782851585
0.92	0.0338140294704
0.93	0.0321495324071
0.94	0.0304943165878
0.95	0.028857002483
0.96	0.0272453105976
0.97	0.0256660737188
0.98	0.0241252579563
0.99	0.022627991328
1.0	0.0211785986872
1.01	0.0197806418412
1.02	0.0184369637747
1.03	0.0171497359649
1.04	0.0159205078493
1.05	0.0147502575945
1.06	0.0136394433925
1.07	0.0125880546011
1.08	0.0115956621254
1.09	0.010661467524
1.1	0.00978435039885
1.11	0.00896291370846
1.12	0.00819552671269
1.13	0.00748036532628
1.14	0.00681544971914
1.15	0.00619867905801
1.16	0.0056278633343
1.17	0.00510075226809
1.18	0.00461506131718
1.19	0.00416849485372
1.2	0.00375876659964
1.21	0.003383617435
1.22	0.00304083071246
1.23	0.0027282452252
1.24	0.00244376598593
1.25	0.00218537298148
1.26	0.00195112807108
1.27	0.00173918019682
1.28	0.00154776907365
1.29	0.00137522752191
1.3	0.00121998260039
1.31	0.00108055569061
1.32	0.000955561675421
1.33	0.000843707345804
1.34	0.000743789160708
1.35	0.000654690474808
1.36	0.000575378339271
1.37	0.000504899970711
1.38	0.000442378973779
1.39	0.000387011393422
1.4	0.000338061663733
1.41	0.000294858511722
1.42	0.000256790866227
1.43	0.000223303814598
1.44	0.00019389464284
1.45	0.000168108988488
1.46	0.000145537129688
1.47	0.000125810428754
1.48	0.000108597943808
1.49	9.360321803e-05
1.5	8.05612524397e-05
1.51	6.92356650576e-05
1.52	5.94160366478e-05
1.53	5.09154410233e-05
1.54	4.35681560626e-05
1.55	3.72275500964e-05
1.56	3.1764137146e-05
1.57	2.70637935953e-05
1.58	2.30261282231e-05
1.59	1.95629970793e-05
1.6	1.6597154427e-05
1.61	1.40610308732e-05
1.62	1.1895629834e-05
1.63	1.00495336207e-05
1.64	8.47801065446e-06
1.65	7.14221561392e-06
1.66	6.00847466603e-06
1.67	5.04764831869e-06
1.68	4.23456484738e-06
1.69	3.54751767928e-06
1.7	2.96782055627e-06
1.71	2.47941473725e-06
1.72	2.06852293275e-06
1.73	1.72334508656e-06
1.74	1.43379152657e-06
1.75	1.19124939597e-06
1.76	9.88378646207e-07
1.77	8.18934220998e-07
1.78	6.77611387367e-07
1.79	5.59911473232e-07
1.8	4.62025552548e-07
1.81	3.80733878204e-07
1.82	3.13319100664e-07
1.83	2.57491527437e-07
1.84	2.11324875937e-07
1.85	1.73201151095e-07
1.86	1.41763440507e-07
1.87	1.15875564987e-07
1.88	9.45876524567e-08
1.89	7.71068192233e-08
1.9	6.27722461295e-08
1.91	5.10340288081e-08
1.92	4.14352625165e-08
