# mass number (A) = 27
# number of protons (Z) = 13
# k (1/fm)	P (1/fm)	relative two_body (fm^3)

0.0	0.0	3.41094158019
0.0	0.02	3.41557472071
0.0	0.04	3.42946398403
0.0	0.06	3.45257838559
0.0	0.08	3.48486459853
0.0	0.1	3.52624447188
0.0	0.12	3.57661164972
0.0	0.14	3.63582738465
0.0	0.16	3.70371566428
0.0	0.18	3.78005779407
0.0	0.2	3.86458660311
0.0	0.22	3.95698046041
0.0	0.24	4.05685730783
0.0	0.26	4.16376893057
0.0	0.28	4.27719569724
0.0	0.3	4.39654200696
0.0	0.32	4.52113268104
0.0	0.34	4.65021053029
0.0	0.36	4.78293531516
0.0	0.38	4.91838429522
0.0	0.4	5.05555453557
0.0	0.42	5.19336710215
0.0	0.44	5.33067323481
0.0	0.46	5.4662625381
0.0	0.48	5.59887317575
0.0	0.5	5.72720399703
0.0	0.52	5.84992846384
0.0	0.54	5.96571018753
0.0	0.56	6.07321982715
0.0	0.58	6.17115304726
0.0	0.6	6.25824918626
0.0	0.62	6.33331024751
0.0	0.64	6.39521979617
0.0	0.66	6.44296132776
0.0	0.68	6.47563566914
0.0	0.7	6.49247698133
0.0	0.72	6.49286695524
0.0	0.74	6.4763468264
0.0	0.76	6.44262688186
0.0	0.78	6.39159319056
0.0	0.8	6.32331135577
0.0	0.82	6.23802716212
0.0	0.84	6.13616406907
0.0	0.86	6.01831758286
0.0	0.88	5.88524661929
0.0	0.9	5.73786204633
0.0	0.92	5.57721266596
0.0	0.94	5.40446895718
0.0	0.96	5.22090495451
0.0	0.98	5.02787867659
0.0	1.0	4.82681154742
0.0	1.02	4.61916726701
0.0	1.04	4.40643058908
0.0	1.06	4.19008645133
0.0	1.08	3.97159987924
0.0	1.1	3.75239704904
0.0	1.12	3.53384785075
0.0	1.14	3.3172502399
0.0	1.16	3.10381660879
0.0	1.18	2.89466234726
0.0	1.2	2.69079670026
0.0	1.22	2.49311596841
0.0	1.24	2.30239903835
0.0	1.26	2.11930517562
0.0	1.28	1.94437396348
0.0	1.3	1.77802722909
0.0	1.32	1.62057276418
0.0	1.34	1.47220962022
0.0	1.36	1.33303474028
0.0	1.38	1.20305067892
0.0	1.4	1.08217415879
0.0	1.42	0.970245216808
0.0	1.44	0.867036702889
0.0	1.46	0.772263910043
0.0	1.48	0.685594134159
0.0	1.5	0.606655985024
0.0	1.52	0.535048295178
0.0	1.54	0.470348499624
0.0	1.56	0.412120386023
0.0	1.58	0.359921141114
