# mass number (A) = 40
# number of protons (Z) = 18
# k (1/fm)	P (1/fm)	relative two_body (fm^3)

0.0	0.0	13.0858003638
0.0	0.02	13.0661099998
0.0	0.04	13.0073487951
0.0	0.06	12.9104378596
0.0	0.08	12.7768842159
0.0	0.1	12.6087397514
0.0	0.12	12.408546073
0.0	0.14	12.1792674378
0.0	0.16	11.9242143531
0.0	0.18	11.6469607274
0.0	0.2	11.3512575945
0.0	0.22	11.0409464295
0.0	0.24	10.7198749283
0.0	0.26	10.3918178466
0.0	0.28	10.0604051149
0.0	0.3	9.72905898351
0.0	0.32	9.40094144039
0.0	0.34	9.07891261328
0.0	0.36	8.76550034841
0.0	0.38	8.46288067851
0.0	0.4	8.17286847696
0.0	0.42	7.89691726072
0.0	0.44	7.6361268645
0.0	0.46	7.39125756714
0.0	0.48	7.16274920696
0.0	0.5	6.9507438675
0.0	0.52	6.75511083678
0.0	0.54	6.5754727234
0.0	0.56	6.41123183359
0.0	0.58	6.26159615336
0.0	0.6	6.12560451988
0.0	0.62	6.00215078789
0.0	0.64	5.89000698595
0.0	0.66	5.787845602
0.0	0.68	5.69426123187
0.0	0.7	5.60779186566
0.0	0.72	5.52694007712
0.0	0.74	5.45019432658
0.0	0.76	5.37605049734
0.0	0.78	5.30303366926
0.0	0.8	5.22972000537
0.0	0.82	5.15475849794
0.0	0.84	5.07689220353
0.0	0.86	4.99497850064
0.0	0.88	4.90800783775
0.0	0.9	4.8151204083
0.0	0.92	4.71562019607
0.0	0.94	4.60898587835
0.0	0.96	4.49487815285
0.0	0.98	4.37314316217
0.0	1.0	4.24381182012
0.0	1.02	4.10709498908
0.0	1.04	3.96337460784
0.0	1.06	3.81319101749
0.0	1.08	3.65722686918
0.0	1.1	3.49628811678
0.0	1.12	3.33128269235
0.0	1.14	3.16319753002
0.0	1.16	2.99307464193
0.0	1.18	2.82198695717
0.0	1.2	2.65101461363
0.0	1.22	2.48122234446
0.0	1.24	2.31363853078
0.0	1.26	2.14923640365
0.0	1.28	1.9889177771
0.0	1.3	1.83349958595
0.0	1.32	1.68370339085
0.0	1.34	1.54014790575
0.0	1.36	1.40334450195
0.0	1.38	1.27369555281
0.0	1.4	1.15149540656
0.0	1.42	1.03693371294
0.0	1.44	0.930100783742
0.0	1.46	0.830994638099
0.0	1.48	0.739529369126
0.0	1.5	0.655544469037
0.0	1.52	0.578814762587
0.0	1.54	0.50906062205
0.0	1.56	0.445958168503
0.0	1.58	0.389149201788
0.0	1.6	0.338250642797
0.0	1.62	0.292863314758
0.0	1.64	0.252579932971
0.0	1.66	0.216992213565
0.0	1.68	0.185697049864
0.0	1.7	0.158301739102
0.0	1.72	0.13442827169
0.0	1.74	0.113716719839
0.0	1.76	0.0958277818044
0.0	1.78	0.0804445526334
0.0	1.8	0.0672736022039
0.0	1.82	0.0560454471107
0.0	1.84	0.0465145049862
0.0	1.86	0.038458618787
0.0	1.88	0.0316782349901
0.0	1.9	0.025995314105
0.0	1.92	0.0212520449836
0.0	1.94	0.0173094265756
0.0	1.96	0.0140457724905
0.0	1.98	0.0113551853432
0.0	2.0	0.00914603969019
0.0	2.02	0.00733950463287
0.0	2.04	0.00586813005193
0.0	2.06	0.00467451404554
0.0	2.08	0.00371006354418
0.0	2.1	0.0029338552823
0.0	2.12	0.0023116003099
0.0	2.14	0.00181471198598
0.0	2.16	0.0014194748522
0.0	2.18	0.00110630986831
0.0	2.2	0.000859130124306
0.0	2.22	0.000664780247585
0.0	2.24	0.000512552219306
0.0	2.26	0.000393770127893
0.0	2.28	0.000301436452114
0.0	2.3	0.000229932720064
0.0	2.32	0.000174767781112
0.0	2.34	0.000132367410492
0.0	2.36	9.9899503515e-05
0.0	2.38	7.51296784668e-05
0.0	2.4	5.63026707754e-05
0.0	2.42	4.20454484074e-05
0.0	2.44	3.12884971392e-05
