# mass number (A) = 56
# number of protons (Z) = 26
# k (1/fm)	P (1/fm)	relative two_body (fm^3)

0.0	0.0	8.72899162619
0.0	0.02	8.71939136264
0.0	0.04	8.69071712951
0.0	0.06	8.64334606673
0.0	0.08	8.5778983608
0.0	0.1	8.49522488953
0.0	0.12	8.39639034977
0.0	0.14	8.28265228301
0.0	0.16	8.15543651597
0.0	0.18	8.0163096244
0.0	0.2	7.86694910274
0.0	0.22	7.70911197834
0.0	0.24	7.54460264334
0.0	0.26	7.37524068663
0.0	0.28	7.20282949264
0.0	0.3	7.02912633082
0.0	0.32	6.85581459151
0.0	0.34	6.68447873191
0.0	0.36	6.51658238476
0.0	0.38	6.35344995584
0.0	0.4	6.19625190236
0.0	0.42	6.04599374823
0.0	0.44	5.90350876272
0.0	0.46	5.76945411217
0.0	0.48	5.64431019726
0.0	0.5	5.52838281572
0.0	0.52	5.42180774559
0.0	0.54	5.32455732879
0.0	0.56	5.23644864796
0.0	0.58	5.1571529283
0.0	0.6	5.08620585627
0.0	0.62	5.02301858105
0.0	0.64	4.96688924652
0.0	0.66	4.91701498214
0.0	0.68	4.87250435384
0.0	0.7	4.83239033297
0.0	0.72	4.79564387818
0.0	0.74	4.76118823679
0.0	0.76	4.72791405861
0.0	0.78	4.69469537569
0.0	0.8	4.6604064403
0.0	0.82	4.62393933395
0.0	0.84	4.58422217065
0.0	0.86	4.54023762338
0.0	0.88	4.49104141366
0.0	0.9	4.43578032653
0.0	0.92	4.37370925469
0.0	0.94	4.30420674204
0.0	0.96	4.22678849119
0.0	0.98	4.14111832508
0.0	1.0	4.0470161481
0.0	1.02	3.94446253573
0.0	1.04	3.8335996889
0.0	1.06	3.71472861475
0.0	1.08	3.58830253201
0.0	1.1	3.45491663951
0.0	1.12	3.3152945226
0.0	1.14	3.17027159741
0.0	1.16	3.02077610005
0.0	1.18	2.86780821262
0.0	1.2	2.71241797522
0.0	1.22	2.55568266248
0.0	1.24	2.39868430249
0.0	1.26	2.24248798766
0.0	1.28	2.08812157331
0.0	1.3	1.93655728397
0.0	1.32	1.7886956551
0.0	1.34	1.64535213369
0.0	1.36	1.50724655112
0.0	1.38	1.37499557031
0.0	1.4	1.24910810268
0.0	1.42	1.12998359217
0.0	1.44	1.01791297743
0.0	1.46	0.913082072176
0.0	1.48	0.815577048808
0.0	1.5	0.725391672809
0.0	1.52	0.642435914593
0.0	1.54	0.566545560902
0.0	1.56	0.497492457452
0.0	1.58	0.434995036533
0.0	1.6	0.378728815224
0.0	1.62	0.328336589156
0.0	1.64	0.28343809095
0.0	1.66	0.243638929014
0.0	1.68	0.208538669163
0.0	1.7	0.177737966695
0.0	1.72	0.150844698428
0.0	1.74	0.127479081737
0.0	1.76	0.107277799953
0.0	1.78	0.0898971801665
0.0	1.8	0.0750154903772
0.0	1.82	0.0623344381766
0.0	1.84	0.0515799631231
0.0	1.86	0.0425024201429
0.0	1.88	0.0348762523322
0.0	1.9	0.028499249123
0.0	1.92	0.0231914806151
0.0	1.94	0.0187939916713
0.0	1.96	0.0151673307677
0.0	1.98	0.0121899791732
0.0	2.0	0.00975673629153
0.0	2.02	0.00777710737646
0.0	2.04	0.00617373062684
0.0	2.06	0.00488087215247
0.0	2.08	0.00384300962378
0.0	2.1	0.00301351868619
0.0	2.12	0.00235347046835
0.0	2.14	0.00183054373742
0.0	2.16	0.00141805140711
0.0	2.18	0.00109407811721
0.0	2.2	0.000840723385253
0.0	2.22	0.000643443286022
0.0	2.24	0.000490482639299
0.0	2.26	0.000372389182348
0.0	2.28	0.000281601075725
0.0	2.3	0.000212099254145
0.0	2.32	0.000159116511673
0.0	2.34	0.000118895737225
0.0	2.36	8.84903373212e-05
0.0	2.38	6.56005538123e-05
0.0	2.4	4.84400696723e-05
0.0	2.42	3.56279695307e-05
0.0	2.44	2.61017639995e-05
0.0	2.46	1.90477851525e-05
0.0	2.48	1.38458067328e-05
0.0	2.5	1.00252329348e-05
0.0	2.52	7.23063312589e-06
0.0	2.54	5.19477811628e-06
0.0	2.56	3.71765964125e-06
0.0	2.58	2.65025266569e-06
0.0	2.6	1.88201463296e-06
0.0	2.62	1.33131174062e-06
0.0	2.64	9.38124592293e-07
0.0	2.66	6.58518787136e-07
0.0	2.68	4.60474474712e-07
0.0	2.7	3.20756528266e-07
0.0	2.72	2.22577245908e-07
0.0	2.74	1.53859410478e-07
0.0	2.76	1.05951737716e-07
0.0	2.78	7.26834381893e-08
0.0	2.8	4.96716742171e-08
0.0	2.82	3.3816655109e-08
0.0	2.84	2.29352527151e-08
0.0	2.86	1.54963680169e-08
0.0	2.88	1.04306713972e-08
0.0	2.9	6.99444014612e-09
0.0	2.92	4.67255443188e-09
0.0	2.94	3.10970237503e-09
0.0	2.96	2.06180988828e-09
0.0	2.98	1.36190245922e-09
0.0	3.0	8.96217055985e-10
0.0	3.02	5.87560250538e-10
0.0	3.04	3.83765354861e-10
0.0	3.06	2.49721192071e-10
0.0	3.08	1.61891257779e-10
0.0	3.1	1.045615024e-10
0.0	3.12	6.72825862325e-11
0.0	3.14	4.31338254485e-11
0.0	3.16	2.75498778554e-11
0.0	3.18	1.75311220741e-11
0.0	3.2	1.11145015148e-11
0.0	3.22	7.02040844365e-12
0.0	3.24	4.41803073573e-12
0.0	3.26	2.7700707925e-12
0.0	3.28	1.73041622358e-12
0.0	3.3	1.07698493642e-12
0.0	3.32	6.67835898249e-13
0.0	3.34	4.12603288737e-13
0.0	3.36	2.53980335945e-13
0.0	3.38	1.55766351587e-13
0.0	3.4	9.51820355176e-14
0.0	3.42	5.79489711504e-14
0.0	3.44	3.51517915585e-14
0.0	3.46	2.124524583e-14
0.0	3.48	1.27935233142e-14
0.0	3.5	7.67598647196e-15
0.0	3.52	4.58876027395e-15
0.0	3.54	2.73322354261e-15
0.0	3.56	1.62209023138e-15
0.0	3.58	9.59171743802e-16
0.0	3.6	5.65119994844e-16
0.0	3.62	3.31748752576e-16
0.0	3.64	1.94045524099e-16
0.0	3.66	1.13090214054e-16
0.0	3.68	6.56711812266e-17
0.0	3.7	3.79974416634e-17
0.0	3.72	2.19060924406e-17
0.0	3.74	1.25836836139e-17
0.0	3.76	7.20251626776e-18
0.0	3.78	4.10766992543e-18
0.0	3.8	2.33422596075e-18
