# mass number (A) = 27
# number of protons (Z) = 13
# k (1/fm)	P (1/fm)	relative two_body (fm^3)

0.0	0.0	3.41094158019
0.0	0.05	3.43987082731
0.0	0.1	3.52624447188
0.0	0.15	3.66870005793
0.0	0.2	3.86458660311
0.0	0.25	4.10946451803
0.0	0.3	4.39654200696
0.0	0.35	4.71617281152
0.0	0.4	5.05555453557
0.0	0.45	5.39876028218
0.0	0.5	5.72720399703
0.0	0.55	6.02058134109
0.0	0.6	6.25824918626
0.0	0.65	6.42092070776
0.0	0.7	6.49247698133
0.0	0.75	6.46164813058
0.0	0.8	6.32331135577
0.0	0.85	6.07919502673
0.0	0.9	5.73786204633
0.0	0.95	5.31395634745
0.0	1.0	4.82681154742
0.0	1.05	4.29861719343
0.0	1.1	3.75239704904
0.0	1.15	3.21006582298
0.0	1.2	2.69079670026
0.0	1.25	2.20986270787
0.0	1.3	1.77802722909
0.0	1.35	1.40147137215
0.0	1.4	1.08217415879
0.0	1.45	0.818615621137
0.0	1.5	0.606655985024
0.0	1.55	0.440453081214
0.0	1.6	0.313307643957
0.0	1.65	0.218363168206
0.0	1.7	0.149124972553
0.0	1.75	0.0997956267333
0.0	1.8	0.0654473131061
0.0	1.85	0.0420650487745
0.0	1.9	0.0264990931301
0.0	1.95	0.0163625820272
0.0	2.0	0.00990410411216
0.0	2.05	0.0058769550985
0.0	2.1	0.00341896330298
0.0	2.15	0.00195016851145
0.0	2.2	0.00109072628663
0.0	2.25	0.000598212037138
0.0	2.3	0.000321750662856
0.0	2.35	0.000169721658076
0.0	2.4	8.78084897791e-05
0.0	2.45	4.45599196916e-05
0.0	2.5	2.2181323627e-05
0.0	2.55	1.0831571875e-05
0.0	2.6	5.18897484201e-06
0.0	2.65	2.4388329884e-06
0.0	2.7	1.12464802667e-06
0.0	2.75	5.08871593268e-07
0.0	2.8	2.25932684892e-07
0.0	2.85	9.8435276834e-08
0.0	2.9	4.20866374306e-08
0.0	2.95	1.76595530453e-08
0.0	3.0	7.27238446014e-09
0.0	3.05	2.93937235903e-09
0.0	3.1	1.16608832115e-09
0.0	3.15	4.54072477983e-10
0.0	3.2	1.73561371587e-10
0.0	3.25	6.51226176346e-11
0.0	3.3	2.39870974005e-11
0.0	3.35	8.67373810848e-12
0.0	3.4	3.07916426073e-12
0.0	3.45	1.07317875736e-12
0.0	3.5	3.67230029651e-13
0.0	3.55	1.23380073633e-13
0.0	3.6	4.07010823271e-14
0.0	3.65	1.31835979905e-14
0.0	3.7	4.19316131524e-15
0.0	3.75	1.3096070222e-15
0.0	3.8	4.01646543775e-16
0.0	3.85	1.20965670762e-16
0.0	3.9	3.57772051695e-17
0.0	3.95	1.03917245487e-17
0.0	4.0	2.96425958781e-18

0.05	0.0	3.47816133932
0.05	0.05	3.50690576195
0.05	0.1	3.59271410239
0.05	0.15	3.73419262434
0.05	0.2	3.92864231116
0.05	0.25	4.17156507411
0.05	0.3	4.45610900231
0.05	0.35	4.77257710978
0.05	0.4	5.10813786359
0.05	0.45	5.44686869636
0.05	0.5	5.7702309627
0.05	0.55	6.05801617015
0.05	0.6	6.28972497877
0.05	0.65	6.44625517276
0.05	0.7	6.51169986291
0.05	0.75	6.47501048845
0.05	0.8	6.33127442548
0.05	0.85	6.08239936019
0.05	0.9	5.73708053356
0.05	0.95	5.31003698336
0.05	1.0	4.82061702286
0.05	1.05	4.29096838403
0.05	1.1	3.74402634048
0.05	1.15	3.20158425766
0.05	1.2	2.68267659838
0.05	1.25	2.20243516267
0.05	1.3	1.77149207477
0.05	1.35	1.39591609954
0.05	1.4	1.07759786556
