# mass number (A) = 12
# number of protons (Z) = 6
# k (1/fm)	P (1/fm)	relative two_body (fm^3)

0.0	0.0	10.0406341189
0.0	0.02	10.0443623897
0.0	0.04	10.0554867391
0.0	0.06	10.0738261331
0.0	0.08	10.099080045
0.0	0.1	10.130830285
0.0	0.12	10.1685436318
0.0	0.14	10.2115753284
0.0	0.16	10.259173515
0.0	0.18	10.3104846759
0.0	0.2	10.3645601744
0.0	0.22	10.4203639417
0.0	0.24	10.4767813682
0.0	0.26	10.5326294254
0.0	0.28	10.5866680167
0.0	0.3	10.6376125244
0.0	0.32	10.6841474825
0.0	0.34	10.7249412682
0.0	0.36	10.7586616623
0.0	0.38	10.7839920967
0.0	0.4	10.7996483648
0.0	0.42	10.8043955461
0.0	0.44	10.7970648651
0.0	0.46	10.7765701916
0.0	0.48	10.7419238736
0.0	0.5	10.6922515957
0.0	0.52	10.6268059618
0.0	0.54	10.5449785149
0.0	0.56	10.4463099346
0.0	0.58	10.3304981819
0.0	0.6	10.1974044041
0.0	0.62	10.0470564544
0.0	0.64	9.87964993482
0.0	0.66	9.69554672104
0.0	0.68	9.49527098516
0.0	0.7	9.27950278448
0.0	0.72	9.04906933884
0.0	0.74	8.80493416723
0.0	0.76	8.54818429934
0.0	0.78	8.28001581602
0.0	0.8	8.00171800425
0.0	0.82	7.71465643607
0.0	0.84	7.42025529668
0.0	0.86	7.11997929408
0.0	0.88	6.81531548198
0.0	0.9	6.50775531871
0.0	0.92	6.19877726843
0.0	0.94	5.88983022826
0.0	0.96	5.58231803627
0.0	0.98	5.27758528153
0.0	1.0	4.97690460115
0.0	1.02	4.68146560921
0.0	1.04	4.39236556258
0.0	1.06	4.11060182736
0.0	1.08	3.8370661705
0.0	1.1	3.57254086309
0.0	1.12	3.31769654693
0.0	1.14	3.07309178448
0.0	1.16	2.83917418484
0.0	1.18	2.61628297528
0.0	1.2	2.40465286957
0.0	1.22	2.20441907063
0.0	1.24	2.01562323616
0.0	1.26	1.83822023156
0.0	1.28	1.67208549404
0.0	1.3	1.51702283605
0.0	1.32	1.37277252262
0.0	1.34	1.23901946786
0.0	1.36	1.11540140794
0.0	1.38	1.00151692227
0.0	1.4	0.896933190233
0.0	1.42	0.801193387237
0.0	1.44	0.713823640497
0.0	1.46	0.634339481693
0.0	1.48	0.56225174971
0.0	1.5	0.497071911975
