# mass number (A) = 4
# number of protons (Z) = 2
# k (1/fm)	P (1/fm)	relative two_body (fm^3)

0.0	0.0	58.2262870167
0.0	0.02	58.1738425396
0.0	0.04	58.0167923592
0.0	0.06	57.7559836791
0.0	0.08	57.3928200435
0.0	0.1	56.9292487563
0.0	0.12	56.367743489
0.0	0.14	55.7112822957
0.0	0.16	54.9633213074
0.0	0.18	54.1277644315
0.0	0.2	53.2089294286
0.0	0.22	52.2115107768
0.0	0.24	51.1405397722
0.0	0.26	50.0013423385
0.0	0.28	48.7994950394
0.0	0.3	47.540779801
0.0	0.32	46.2311378555
0.0	0.34	44.8766234168
0.0	0.36	43.4833575879
0.0	0.38	42.0574829837
0.0	0.4	40.6051195319
0.0	0.42	39.1323218845
0.0	0.44	37.6450388389
0.0	0.46	36.1490751299
0.0	0.48	34.6500559117
0.0	0.5	33.1533942033
0.0	0.52	31.6642615246
0.0	0.54	30.1875619002
0.0	0.56	28.7279093613
0.0	0.58	27.2896090254
0.0	0.6	25.8766417858
0.0	0.62	24.4926525998
0.0	0.64	23.1409423161
0.0	0.66	21.824462946
0.0	0.68	20.5458162444
0.0	0.7	19.3072554305
0.0	0.72	18.110689855
0.0	0.74	16.9576923899
0.0	0.76	15.8495093007
0.0	0.78	14.787072344
0.0	0.8	13.7710128223
0.0	0.82	12.8016773217
0.0	0.84	11.879144856
0.0	0.86	11.0032451412
0.0	0.88	10.1735777319
0.0	0.9	9.38953175729
0.0	0.92	8.65030600842
0.0	0.94	7.9549291415
0.0	0.96	7.30227977856
0.0	0.98	6.6911063055
0.0	1.0	6.12004618684
0.0	1.02	5.58764463689
0.0	1.04	5.09237250829
0.0	1.06	4.63264328003
0.0	1.08	4.2068290477
0.0	1.1	3.81327543993
0.0	1.12	3.45031540382
0.0	1.14	3.1162818218
0.0	1.16	2.80951893915
0.0	1.18	2.52839259814
0.0	1.2	2.27129928903
0.0	1.22	2.03667404161
0.0	1.24	1.8229971924
0.0	1.26	1.62880007233
0.0	1.28	1.4526696683
0.0	1.3	1.29325231852
0.0	1.32	1.14925650672
0.0	1.34	1.01945482417
0.0	1.36	0.902685170615
0.0	1.38	0.797851266793
0.0	1.4	0.703922550807
0.0	1.42	0.61993353003
0.0	1.44	0.544982658262
0.0	1.46	0.478230805394
0.0	1.48	0.418899383641
0.0	1.5	0.366268190835
0.0	1.52	0.319673027201
0.0	1.54	0.278503137803
0.0	1.56	0.242198528361
0.0	1.58	0.21024719763
0.0	1.6	0.182182324981
0.0	1.62	0.15757944734
0.0	1.64	0.136053655303
0.0	1.66	0.117256834075
0.0	1.68	0.100874970881
0.0	1.7	0.0866255468246
0.0	1.72	0.0742550276863
0.0	1.74	0.0635364649851
0.0	1.76	0.0542672157704
0.0	1.78	0.0462667870017
0.0	1.8	0.0393748080934
0.0	1.82	0.0334491331857
0.0	1.84	0.0283640729647
0.0	1.86	0.0240087543742
0.0	1.88	0.0202856053236
0.0	1.9	0.0171089604821
0.0	1.92	0.0144037834427
0.0	1.94	0.0121044999168
0.0	1.96	0.0101539361654
0.0	1.98	0.00850235656902
0.0	2.0	0.00710659405579
0.0	2.02	0.00592926704547
0.0	2.04	0.00493807659147
0.0	2.06	0.00410517751169
0.0	2.08	0.00340661746855
0.0	2.1	0.00282183818143
0.0	2.12	0.00233323321558
0.0	2.14	0.00192575708227
0.0	2.16	0.00158658069478
0.0	2.18	0.00130478854682
0.0	2.2	0.00107111330675
0.0	2.22	0.000877703847235
0.0	2.24	0.000717923050897
0.0	2.26	0.000586172044029
0.0	2.28	0.000477737810444
0.0	2.3	0.000388661422629
0.0	2.32	0.00031562439697
0.0	2.34	0.000255850932327
0.0	2.36	0.000207024026236
0.0	2.38	0.000167213680338
0.0	2.4	0.00013481560635
0.0	2.42	0.000108499026484
0.0	2.44	8.71623281713e-05
0.0	2.46	6.98954831285e-05
0.0	2.48	5.59482760079e-05
0.0	2.5	4.47035090365e-05
0.0	2.52	3.56544572084e-05
0.0	2.54	2.83859446952e-05
0.0	2.56	2.25584982024e-05
0.0	2.58	1.78951079993e-05
0.0	2.6	1.4170193221e-05
0.0	2.62	1.1200425693e-05
0.0	2.64	8.83711678945e-06
0.0	2.66	6.95991552539e-06
0.0	2.68	5.47160390546e-06
0.0	2.7	4.2938082068e-06
0.0	2.72	3.36347296371e-06
0.0	2.74	2.62996851262e-06
0.0	2.76	2.05272355198e-06
0.0	2.78	1.5992917246e-06
0.0	2.8	1.24377614587e-06
0.0	2.82	9.655484368e-07
0.0	2.84	7.48209495163e-07
0.0	2.86	5.78748227641e-07
0.0	2.88	4.46862016785e-07
0.0	2.9	3.44409019947e-07
0.0	2.92	2.6496767875e-07
0.0	2.94	2.03483216398e-07
0.0	2.96	1.55984553788e-07
0.0	2.98	1.19358102105e-07
0.0	3.0	9.11673901947e-08
0.0	3.02	6.95095455659e-08
0.0	3.04	5.29013413839e-08
0.0	3.06	4.01889100355e-08
0.0	3.08	3.04763589379e-08
0.0	3.1	2.30694499883e-08
0.0	3.12	1.74312571352e-08
0.0	3.14	1.3147327667e-08
0.0	3.16	9.89836747384e-09
0.0	3.18	7.43886996786e-09
0.0	3.2	5.58043006947e-09
0.0	3.22	4.17874318768e-09
0.0	3.24	3.12349634071e-09
0.0	3.26	2.33052426916e-09
0.0	3.28	1.73573558308e-09
0.0	3.3	1.29041918755e-09
0.0	3.32	9.57624758613e-10
0.0	3.34	7.09377203953e-10
0.0	3.36	5.24537327208e-10
0.0	3.38	3.87162136894e-10
0.0	3.4	2.85250665278e-10
0.0	3.42	2.09786608588e-10
0.0	3.44	1.54009023398e-10
0.0	3.46	1.12857877971e-10
0.0	3.48	8.25533880643e-11
0.0	3.5	6.02775000328e-11
0.0	3.52	4.39332033487e-11
0.0	3.54	3.19630208229e-11
0.0	3.56	2.32124014719e-11
0.0	3.58	1.68271140167e-11
0.0	3.6	1.2176332811e-11
0.0	3.62	8.7950981634e-12
0.0	3.64	6.34135666691e-12
0.0	3.66	4.56395105833e-12
0.0	3.68	3.27881629752e-12
0.0	3.7	2.35131329823e-12
0.0	3.72	1.6831438073e-12
0.0	3.74	1.20267769204e-12
0.0	3.76	8.57816895714e-13
0.0	3.78	6.10741237659e-13
0.0	3.8	4.34047443126e-13
0.0	3.82	3.07917568117e-13
0.0	3.84	2.18046461108e-13
0.0	3.86	1.54127780808e-13
0.0	3.88	1.08750213099e-13
0.0	3.9	7.65943290942e-14
0.0	3.92	5.38493449547e-14
0.0	3.94	3.77904045844e-14
0.0	3.96	2.64728053738e-14
0.0	3.98	1.85112480547e-14
0.0	4.0	1.2920780322e-14

0.02	0.0	58.1738425396
0.02	0.02	58.1214452994
0.02	0.04	57.9645365742
0.02	0.06	57.7039628047
0.02	0.08	57.341126271
0.02	0.1	56.877972523
0.02	0.12	56.3169730041
0.02	0.14	55.6611030861
0.02	0.16	54.9138157869
0.02	0.18	54.079011498
0.02	0.2	53.1610040908
0.02	0.22	52.1644838149
0.02	0.24	51.094477435
0.02	0.26	49.9563060777
