# mass number (A) = 27
# number of protons (Z) = 13
# k (1/fm)	cm two_body (fm^3)
0.0	0.377936737423
0.01	0.377953327262
0.02	0.378003092721
0.03	0.378086021626
0.04	0.378202093675
0.05	0.378351280432
0.06	0.378533545303
0.07	0.378748843519
0.08	0.378997122105
0.09	0.37927831985
0.1	0.379592367272
0.11	0.379939186573
0.12	0.380318691599
0.13	0.380730787783
0.14	0.3811753721
0.15	0.381652333002
0.16	0.382161550362
0.17	0.382702895404
0.18	0.383276230638
0.19	0.38388140979
0.2	0.384518277722
0.21	0.385186670361
0.22	0.385886414615
0.23	0.386617328295
0.24	0.38737922003
0.25	0.38817188918
0.26	0.388995125755
0.27	0.389848710321
0.28	0.390732413919
0.29	0.391645997969
0.3	0.392589214189
0.31	0.393561804502
0.32	0.394563500951
0.33	0.395594025612
0.34	0.396653090508
0.35	0.397740397525
0.36	0.398855638332
0.37	0.399998494303
0.38	0.401168636437
0.39	0.402365725287
0.4	0.403589410888
0.41	0.404839332695
0.42	0.406115119517
0.43	0.40741638946
0.44	0.408742749876
0.45	0.410093797315
0.46	0.411469117482
0.47	0.412868285201
0.48	0.414290864389
0.49	0.415736408026
0.5	0.417204458144
0.51	0.418694545815
0.52	0.420206191154
0.53	0.421738903316
0.54	0.423292180521
0.55	0.424865510069
0.56	0.426458368374
0.57	0.428070221006
0.58	0.429700522736
0.59	0.431348717601
0.6	0.433014238965
0.61	0.434696509606
0.62	0.436394941798
0.63	0.438108937412
0.64	0.439837888026
0.65	0.441581175044
0.66	0.443338169828
0.67	0.445108233837
0.68	0.446890718783
0.69	0.448684966792
0.7	0.45049031058
0.71	0.45230607364
0.72	0.45413157044
0.73	0.455966106629
0.74	0.45780897926
0.75	0.459659477021
0.76	0.461516880481
0.77	0.463380462338
0.78	0.465249487693
0.79	0.46712321432
0.8	0.46900089296
0.81	0.470881767614
0.82	0.472765075862
0.83	0.474650049175
0.84	0.476535913254
0.85	0.478421888367
0.86	0.480307189705
0.87	0.482191027744
0.88	0.484072608614
0.89	0.485951134486
0.9	0.487825803963
0.91	0.489695812476
0.92	0.491560352697
0.93	0.493418614958
0.94	0.495269787672
0.95	0.497113057775
0.96	0.498947611157
0.97	0.50077263312
0.98	0.502587308828
0.99	0.50439082377
1.0	0.506182364228
1.01	0.507961117749
1.02	0.509726273625
1.03	0.511477023376
1.04	0.513212561235
1.05	0.514932084642
1.06	0.516634794734
1.07	0.518319896849
1.08	0.519986601019
1.09	0.521634122476
1.1	0.523261682151
1.11	0.524868507182
1.12	0.526453831414
1.13	0.528016895907
