# mass number (A) = 40
# number of protons (Z) = 18
# k (1/fm)	cm two_body (fm^3)
0.0	0.455585411218
0.01	0.455585447394
0.02	0.455585565814
0.03	0.455585796143
0.04	0.455586187754
0.05	0.455586809634
0.06	0.455587750243
0.07	0.455589117337
0.08	0.45559103776
0.09	0.455593657179
0.1	0.455597139805
0.11	0.455601668056
0.12	0.455607442195
0.13	0.45561467993
0.14	0.455623615974
0.15	0.455634501574
0.16	0.455647604007
0.17	0.45566320604
0.18	0.455681605359
0.19	0.455703113964
0.2	0.455728057541
0.21	0.455756774795
0.22	0.455789616764
0.23	0.455826946097
0.24	0.455869136318
0.25	0.455916571049
0.26	0.455969643227
0.27	0.456028754288
0.28	0.456094313333
0.29	0.456166736277
0.3	0.456246444977
0.31	0.456333866346
0.32	0.456429431454
0.33	0.456533574606
0.34	0.456646732425
0.35	0.456769342907
0.36	0.456901844482
0.37	0.457044675057
0.38	0.457198271061
0.39	0.457363066481
0.4	0.457539491904
0.41	0.457727973544
0.42	0.457928932288
0.43	0.45814278273
0.44	0.458369932219
0.45	0.458610779904
0.46	0.458865715801
0.47	0.459135119851
0.48	0.459419361003
0.49	0.459718796308
0.5	0.460033770017
0.51	0.460364612705
0.52	0.460711640413
0.53	0.461075153797
0.54	0.461455437311
0.55	0.461852758403
0.56	0.462267366735
0.57	0.462699493434
0.58	0.463149350358
0.59	0.463617129399
0.6	0.46410300181
0.61	0.46460711756
0.62	0.465129604724
0.63	0.465670568901
0.64	0.466230092668
0.65	0.466808235066
0.66	0.467405031122
0.67	0.468020491409
0.68	0.468654601637
0.69	0.469307322287
0.7	0.469978588282
0.71	0.470668308696
0.72	0.471376366504
0.73	0.472102618372
0.74	0.472846894487
0.75	0.473608998429
0.76	0.474388707083
0.77	0.475185770599
0.78	0.475999912381
0.79	0.476830829137
0.8	0.477678190953
0.81	0.478541641423
0.82	0.479420797811
0.83	0.480315251268
0.84	0.481224567076
0.85	0.482148284947
0.86	0.483085919357
0.87	0.484036959922
0.88	0.485000871815
0.89	0.485977096228
0.9	0.486965050865
0.91	0.487964130481
0.92	0.48897370746
0.93	0.489993132422
0.94	0.491021734882
0.95	0.492058823929
0.96	0.493103688949
0.97	0.494155600382
0.98	0.495213810513
0.99	0.496277554286
1.0	0.497346050161
1.01	0.498418500993
1.02	0.49949409494
1.03	0.500572006404
1.04	0.501651396986
1.05	0.502731416481
1.06	0.503811203878
1.07	0.504889888399
1.08	0.505966590545
1.09	0.507040423165
1.1	0.508110492543
1.11	0.5091758995
1.12	0.510235740504
1.13	0.5112891088
1.14	0.512335095547
1.15	0.51337279096
1.16	0.514401285462
1.17	0.515419670844
1.18	0.516427041422
1.19	0.517422495198
1.2	0.518405135025
1.21	0.519374069764
1.22	0.52032841544
1.23	0.521267296393
1.24	0.522189846421
1.25	0.523095209913
1.26	0.523982542977
1.27	0.524851014545
1.28	0.525699807476
1.29	0.526528119634
1.3	0.527335164953
1.31	0.528120174484
1.32	0.528882397416
1.33	0.529621102082
1.34	0.530335576936
1.35	0.531025131507
1.36	0.531689097324
1.37	0.532326828819
1.38	0.532937704191
1.39	0.533521126248
1.4	0.534076523215
1.41	0.5346033495
1.42	0.535101086441
1.43	0.535569243004
1.44	0.53600735645
1.45	0.536414992962
1.46	0.536791748238
1.47	0.537137248038
1.48	0.537451148695
1.49	0.537733137582
1.5	0.537982933539
1.51	0.538200287255
1.52	0.538384981612
1.53	0.538536831975
1.54	0.53865568645
1.55	0.538741426089
1.56	0.538793965052
1.57	0.538813250726
1.58	0.538799263794
1.59	0.538752018267
1.6	0.538671561457
1.61	0.538557973919
1.62	0.538411369339
1.63	0.538231894376
1.64	0.538019728465
1.65	0.537775083571
1.66	0.537498203898
1.67	0.537189365559
1.68	0.536848876197
1.69	0.536477074566
1.7	0.536074330068
1.71	0.535641042255
1.72	0.535177640281
1.73	0.534684582319
1.74	0.53416235494
1.75	0.533611472455
1.76	0.533032476211
1.77	0.532425933868
1.78	0.53179243862
1.79	0.531132608406
1.8	0.530447085065
1.81	0.52973653348
1.82	0.529001640679
1.83	0.528243114916
1.84	0.527461684718
1.85	0.526658097912
1.86	0.525833120629
1.87	0.524987536276
1.88	0.5241221445
1.89	0.523237760127
1.9	0.522335212077
1.91	0.521415342276
1.92	0.520479004543
1.93	0.519527063467
1.94	0.51856039328
1.95	0.517579876708
1.96	0.516586403828
1.97	0.515580870907
1.98	0.514564179248
1.99	0.513537234025
2.0	0.512500943124
2.01	0.511456215981
2.02	0.510403962424
2.03	0.509345091524
2.04	0.508280510443
2.05	0.507211123301
2.06	0.506137830046
2.07	0.505061525339
2.08	0.503983097448
2.09	0.502903427164
2.1	0.501823386725
2.11	0.500743838766
2.12	0.499665635282
2.13	0.498589616618
2.14	0.497516610477
2.15	0.496447430954
2.16	0.495382877597
2.17	0.494323734492
2.18	0.493270769376
2.19	0.492224732783
2.2	0.491186357219
2.21	0.490156356365
2.22	0.489135424318
2.23	0.488124234867
2.24	0.487123440796
2.25	0.486133673228
2.26	0.485155541012
2.27	0.484189630135
2.28	0.483236503181
2.29	0.482296698827
2.3	0.481370731379
2.31	0.480459090348
2.32	0.479562240064
2.33	0.478680619338
2.34	0.477814641157
2.35	0.476964692431
2.36	0.476131133772
2.37	0.475314299322
2.38	0.474514496621
2.39	0.473732006518
2.4	0.472967083127
2.41	0.472219953816
2.42	0.471490819254
2.43	0.470779853483
2.44	0.470087204044
2.45	0.46941299214
2.46	0.468757312837
2.47	0.46812023531
2.48	0.467501803128
2.49	0.466902034575
2.5	0.466320923013
2.51	0.46575843728
2.52	0.465214522129
2.53	0.464689098698
2.54	0.464182065018
2.55	0.463693296556
2.56	0.46322264679
2.57	0.462769947815
2.58	0.462335010981
2.59	0.461917627564
2.6	0.461517569458
2.61	0.461134589903
2.62	0.460768424231
2.63	0.460418790646
2.64	0.460085391015
2.65	0.459767911694
2.66	0.459466024364
2.67	0.459179386893
2.68	0.458907644211
2.69	0.458650429202
2.7	0.458407363614
2.71	0.458178058976
2.72	0.457962117527
2.73	0.457759133163
2.74	0.457568692379
2.75	0.457390375228
2.76	0.457223756277
2.77	0.457068405573
2.78	0.456923889606
2.79	0.45678977227
2.8	0.45666561583
2.81	0.456550981875
2.82	0.456445432277
2.83	0.456348530133
2.84	0.456259840702
2.85	0.456178932341
2.86	0.456105377414
2.87	0.456038753197
2.88	0.455978642771
2.89	0.455924635893
2.9	0.455876329848
2.91	0.455833330293
2.92	0.455795252067
2.93	0.455761719986
2.94	0.455732369619
2.95	0.45570684803
2.96	0.455684814502
2.97	0.455665941232
2.98	0.455649913996
2.99	0.455636432787
3.0	0.455625212423
3.01	0.455615983125
3.02	0.455608491056
3.03	0.455602498837
3.04	0.455597786023
3.05	0.455594149545
3.06	0.455591404115
3.07	0.455589382603
3.08	0.455587936365
3.09	0.455586935543
3.1	0.455586269324
3.11	0.455585846163
3.12	0.455585593962
3.13	0.455585460215
3.14	0.455585412116
#normalisation = 0.999991480866
#sigma**2 n(k)k**2 = 0.440583232981
#kurtosis n(k)k**2 = -0.716773028102
#skewness n(k)k**2 = -5.57153357534e-05
