# mass number (A) = 56
# number of protons (Z) = 26
# k (1/fm)	cm two_body (fm^3)
0.0	0.437897278253
0.02	0.437915616962
0.04	0.437970682112
0.06	0.438062620693
0.08	0.43819167738
0.1	0.438358194058
0.12	0.438562609097
0.14	0.438805456357
0.16	0.439087363834
0.18	0.439409051911
0.2	0.439771331118
0.22	0.440175099329
0.24	0.440621338311
0.26	0.441111109523
0.28	0.441645549101
0.3	0.442225861913
0.32	0.442853314631
0.34	0.443529227724
0.36	0.44425496632
0.38	0.445031929877
0.4	0.445861540625
0.42	0.446745230762
0.44	0.447684428386
0.46	0.448680542188
0.48	0.449734944931
0.5	0.450848955776
0.52	0.452023821531
0.54	0.453260696915
0.56	0.454560623972
0.58	0.455924510767
0.6	0.457353109529
0.62	0.458846994435
0.64	0.460406539222
0.66	0.462031894863
0.68	0.463722967522
0.7	0.465479397046
0.72	0.467300536248
0.74	0.469185431227
0.76	0.471132803007
0.78	0.473141030739
0.8	0.475208136741
0.82	0.477331773618
0.84	0.479509213698
0.86	0.481737341028
0.88	0.484012646112
0.9	0.486331223604
0.92	0.488688773106
0.94	0.491080603206
0.96	0.493501638868
0.98	0.49594643225
1.0	0.498409176988
1.02	0.500883725949
1.04	0.503363612438
1.06	0.505842074769
1.08	0.50831208412
1.1	0.510766375508
1.12	0.513197481723
1.14	0.515597770007
1.16	0.51795948121
1.18	0.520274771181
1.2	0.522535754051
1.22	0.524734547097
1.24	0.526863316819
1.26	0.528914325859
1.28	0.530879980365
1.3	0.532752877398
1.32	0.534525851975
1.34	0.536192023317
1.36	0.537744839913
1.38	0.53917812297
1.4	0.540486107866
1.42	0.541663483214
1.44	0.542705427188
1.46	0.543607640746
1.48	0.544366377469
1.5	0.544978469709
1.52	0.545441350798
1.54	0.54575307313
1.56	0.545912321909
1.58	0.545918424458
1.6	0.545771354986
1.62	0.545471734771
1.64	0.545020827757
1.66	0.544420531605
1.68	0.54367336429
1.7	0.542782446364
1.72	0.541751479065
1.74	0.540584718474
1.76	0.539286945961
1.78	0.537863435221
1.8	0.53631991618
1.82	0.534662536141
1.84	0.532897818502
1.86	0.531032619454
1.88	0.52907408303
1.9	0.527029594937
1.92	0.524906735558
1.94	0.522713232562
1.96	0.520456913521
1.98	0.518145658941
2.0	0.515787356102
2.02	0.513389854088
2.04	0.510960920358
2.06	0.508508199205
2.08	0.506039172398
2.1	0.503561122305
2.12	0.501081097732
2.14	0.498605882698
2.16	0.496141968335
2.18	0.493695528045
2.2	0.491272396025
2.22	0.488878049235
2.24	0.486517592843
2.26	0.484195749123
2.28	0.481916849804
2.3	0.479684831762
2.32	0.477503235969
2.34	0.475375209565
2.36	0.473303510881
2.38	0.471290517241
2.4	0.469338235326
2.42	0.467448313876
2.44	0.4656220585
2.46	0.46386044833
2.48	0.462164154275
2.5	0.460533558595
2.52	0.458968775556
2.54	0.457469672877
2.56	0.456035893744
2.58	0.454666879121
2.6	0.453361890139
2.62	0.452120030337
2.64	0.450940267552
2.66	0.44982145527
2.68	0.448762353283
2.7	0.44776164749
2.72	0.446817968734
2.74	0.445929910565
2.76	0.445096045853
2.78	0.444314942194
2.8	0.443585176077
2.82	0.442905345793
2.84	0.442274083085
2.86	0.441690063577
2.88	0.441152016006
2.9	0.440658730313
2.92	0.44020906466
2.94	0.439801951444
2.96	0.43943640239
2.98	0.439111512807
3.0	0.438826465097
3.02	0.438580531611
3.04	0.438373076926
3.06	0.438203559631
3.08	0.438071533711
3.1	0.437976649567
3.12	0.437918654764
3.14	0.43789739452
#normalisation = 0.999969838566
#sigma**2 n(k)k**2 = 0.433955927048
#kurtosis n(k)k**2 = -0.700390352255
#skewness n(k)k**2 = -0.000195718722572
