#m_1	m_2	CGcoefficient
-2	-4	1.0
-2	-3	0.8164965809
-2	-2	0.6513389473
-2	-1	0.5045249791
-2	0	0.3760507165
-2	1	0.2659080117
-2	2	0.174077656
-2	3	0.1005037815
-2	4	0.0449466575
-1	-4	0.5773502692
-1	-3	0.6963106238
-1	-2	0.713506068
-1	-1	0.6726999721
-1	0	0.59458839
-1	1	0.4923659639
-1	2	0.3760507165
-1	3	0.2542566905
-1	4	0.1348399725
0	-4	0.3015113446
0	-3	0.4670993665
0	-2	0.582575265
0	-1	0.6513389473
0	0	0.6741998625
0	1	0.6513389473
0	2	0.582575265
0	3	0.4670993665
0	4	0.3015113446
1	-4	0.1348399725
1	-3	0.2542566905
1	-2	0.3760507165
1	-1	0.4923659639
1	0	0.59458839
1	1	0.6726999721
1	2	0.713506068
1	3	0.6963106238
1	4	0.5773502692
2	-4	0.0449466575
2	-3	0.1005037815
2	-2	0.174077656
2	-1	0.2659080117
2	0	0.3760507165
2	1	0.5045249791
2	2	0.6513389473
2	3	0.8164965809
2	4	1.0
