# mass number (A) = 109
# number of protons (Z) = 47
#relative orbital quantum number l = 6
# k (1/fm)	cm two_body (fm^3)
0.0	0.251062864859
0.02	0.25079654955
0.04	0.249999516752
0.06	0.248677462789
0.08	0.24683974014
0.1	0.244499152823
0.12	0.241671684348
0.14	0.238376171551
0.16	0.234633939871
0.18	0.230468416915
0.2	0.225904741389
0.22	0.22096938365
0.24	0.215689792325
0.26	0.210094078869
0.28	0.204210748664
0.3	0.198068483655
0.32	0.191695977773
0.34	0.18512182275
0.36	0.178374438664
0.38	0.171482040835
0.4	0.164472632741
0.42	0.157374013407
0.44	0.150213787475
0.46	0.143019366667
0.48	0.135817952697
0.5	0.128636493622
0.52	0.121501608073
0.54	0.11443947454
0.56	0.107475685729
0.58	0.100635070742
0.6	0.0939414903522
0.62	0.0874176126777
0.64	0.0810846781807
0.66	0.074962263828
0.68	0.0690680566443
0.7	0.0634176466152
0.72	0.0580243480902
0.74	0.0528990575455
0.76	0.0480501539022
0.78	0.0434834456717
0.8	0.0392021671448
0.82	0.0352070237728
0.84	0.0314962849154
0.86	0.0280659203608
0.88	0.0249097755146
0.9	0.0220197789825
0.92	0.0193861754488
0.94	0.016997776301
0.96	0.014842220349
0.98	0.0129062372141
1.0	0.0111759064658
1.02	0.0096369063213
1.04	0.00827474662323
1.06	0.00707498182796
1.08	0.00602340080165
1.1	0.00510619128689
1.12	0.00431007792154
1.14	0.00362243362508
1.16	0.00303136498945
1.18	0.00252577300064
1.2	0.00209539096589
1.22	0.00173080192561
1.24	0.0014234380957
1.26	0.00116556502434
1.28	0.0009502531726
1.3	0.000771339557728
1.32	0.000623381949852
1.34	0.000501607907015
1.36	0.000401860686595
1.38	0.000320543801041
1.4	0.000254565706347
1.42	0.0002012858353
1.44	0.000158462923894
1.46	0.000124206335872
1.48	9.69308719955e-05
1.5	7.53153604905e-05
1.52	5.82651642132e-05
1.54	4.4878608299e-05
1.56	3.44172278889e-05
1.58	2.62796568439e-05
1.6	1.99789223412e-05
1.62	1.51228738794e-05
1.64	1.13974553247e-05
1.66	8.55252215095e-06
1.68	6.38991005237e-06
1.7	4.75347302814e-06
1.72	3.52082654631e-06
1.74	2.59655253339e-06
1.76	1.90664608664e-06
1.78	1.3940076802e-06
1.8	1.01480823975e-06
1.82	7.35577067967e-07
1.84	5.30883713333e-07
1.86	3.81504175585e-07
1.88	2.72979171526e-07
1.9	1.94487501071e-07
1.92	1.3797089866e-07
1.94	9.74582342651e-08
1.96	6.85466858268e-08
1.98	4.80057083428e-08
2.0	3.34764508786e-08
2.02	2.32448976057e-08
2.04	1.60716013985e-08
2.06	1.10645950485e-08
2.08	7.58504751768e-09
2.1	5.17760646355e-09
2.12	3.51924289588e-09
2.14	2.38188300965e-09
2.16	1.60525517443e-09
2.18	1.07726281672e-09
2.2	7.1987095916e-10
2.22	4.79009873539e-10
2.24	3.17389475258e-10
2.26	2.09411351463e-10
2.28	1.3758431928e-10
2.3	9.00119232761e-11
2.32	5.86401222259e-11
2.34	3.80412464722e-11
2.36	2.45742889715e-11
2.38	1.58079232393e-11
2.4	1.01259919465e-11
2.42	6.45907736498e-12
2.44	4.10274735348e-12
2.46	2.59508538168e-12
2.48	1.63456543479e-12
2.5	1.02524563162e-12
2.52	6.40368053514e-13
2.54	3.98298472524e-13
2.56	2.46698209924e-13
2.58	1.5216081788e-13
2.6	9.34588075103e-14
2.62	5.71635606314e-14
2.64	3.48177737661e-14
2.66	2.11186645619e-14
2.68	1.27560629164e-14
2.7	7.67277751882e-15
2.72	4.5959500491e-15
2.74	2.74148396213e-15
2.76	1.62848886295e-15
2.78	9.63326468082e-16
2.8	5.67482846685e-16
2.82	3.32907395956e-16
2.84	1.94485177535e-16
2.86	1.13146940767e-16
2.88	6.55531009614e-17
2.9	3.78214904328e-17
2.92	2.17310072185e-17
2.94	1.24341963993e-17
2.96	7.08521539589e-18
2.98	4.02056109788e-18
3.0	2.27205762225e-18
3.02	1.27865053323e-18
3.04	7.16613528589e-19
3.06	3.99962720823e-19
3.08	2.22308538297e-19
3.1	1.23053968255e-19
3.12	6.78326333356e-20
3.14	3.72379715258e-20
3.16	2.03581513486e-20
3.18	1.10839953864e-20
3.2	6.00980924488e-21
3.22	3.2451297117e-21
3.24	1.7450630179e-21
3.26	9.34541299128e-22
3.28	4.98419299288e-22
3.3	2.64728561476e-22
3.32	1.40028670854e-22
3.34	7.37639154359e-23
3.36	3.86974533573e-23
3.38	2.0217750443e-23
3.4	1.0519519023e-23
3.42	5.45094896447e-24
3.44	2.81295053911e-24
3.46	1.44566072254e-24
3.48	7.39921289913e-25
3.5	3.77155168376e-25
3.52	1.9145668536e-25
3.54	9.67915550047e-26
3.56	4.87328012558e-26
3.58	2.44355869074e-26
3.6	1.22023131586e-26
3.62	6.06848172877e-27
3.64	3.00563964884e-27
3.66	1.48256327038e-27
3.68	7.28298643557e-28
3.7	3.56308492773e-28
3.72	1.73605595251e-28
3.74	8.42408208124e-29
3.76	4.07102002537e-29
3.78	1.95932332436e-29
3.8	9.39142807296e-30
3.82	4.48311887379e-30
3.84	2.1313382942e-30
3.86	1.00913311153e-30
3.88	4.75848685199e-31
3.9	2.23467334143e-31
3.92	1.04516385597e-31
3.94	4.86833296872e-32
3.96	2.25840649857e-32
3.98	1.04339870034e-32
4.0	4.80092791735e-33
#normalisation = 0.0218013848207
#sigma**2 n(k)k**2 = 0.00970260398124
#kurtosis n(k)k**2 = 66.9914147863
#skewness n(k)k**2 = 7.9304550598
