# mass number (A) = 27
# number of protons (Z) = 13
#relative orbital quantum number l = 4
# k (1/fm)	cm two_body (fm^3)
0.0	0.23844910346
0.02	0.238125375118
0.04	0.237156824749
0.06	0.235551320614
0.08	0.233321858148
0.1	0.230486384798
0.12	0.227067559458
0.14	0.223092450987
0.16	0.218592181438
0.18	0.213601520566
0.2	0.208158438994
0.22	0.202303628073
0.24	0.196079994902
0.26	0.189532141242
0.28	0.182705835138
0.3	0.175647483911
0.32	0.168403616918
0.34	0.161020385966
0.36	0.153543090676
0.38	0.146015735317
0.4	0.138480622772
0.42	0.130977990375
0.44	0.12354569133
0.46	0.116218924405
0.48	0.109030013579
0.5	0.102008238267
0.52	0.0951797138286
0.54	0.0885673211129
0.56	0.0821906830144
0.58	0.0760661852505
0.6	0.0702070379734
0.62	0.0646233743137
0.64	0.0593223815652
0.66	0.0543084604526
0.68	0.0495834077639
0.7	0.0451466175909
0.72	0.0409952964746
0.74	0.0371246879044
0.76	0.0335283018522
0.78	0.030198145321
0.8	0.0271249502461
0.82	0.0242983954805
0.84	0.0217073200275
0.86	0.0193399251209
0.88	0.017183963205
0.9	0.0152269123024
0.92	0.0134561346857
0.94	0.0118590191663
0.96	0.0104231066868
0.98	0.00913619923437
1.0	0.00798645238887
1.02	0.0069624520747
1.04	0.00605327629364
1.06	0.00524854278829
1.08	0.00453844371345
1.1	0.00391376848391
1.12	0.00336591602229
1.14	0.00288689765409
1.16	0.00246933189169
1.18	0.0021064323202
1.2	0.00179198974797
1.22	0.00152034971918
1.24	0.00128638640699
1.26	0.00108547381897
1.28	0.000913455153231
1.3	0.000766611048357
1.32	0.000641627374312
1.34	0.00053556311797
1.36	0.000445818826943
1.38	0.000370105990736
1.4	0.000306417659875
1.42	0.000253000532203
1.44	0.000208328671566
1.46	0.000171078967643
1.48	0.000140108396853
1.5	0.000114433102676
1.52	9.32092791701e-05
1.54	7.57158133619e-05
1.56	6.13386200381e-05
1.58	4.95565856858e-05
1.6	3.99290262685e-05
1.62	3.20845556e-05
1.64	2.57112566666e-05
1.66	2.05480467838e-05
1.68	1.63771284186e-05
1.7	1.301742037e-05
1.72	1.0318868345e-05
1.74	8.15753939543e-06
1.76	6.43141086119e-06
1.78	5.05677111084e-06
1.8	3.96515623703e-06
1.82	3.10075375929e-06
1.84	2.41821115444e-06
1.86	1.88079355485e-06
1.88	1.45884114029e-06
1.9	1.12848253766e-06
1.92	8.7056589744e-07
1.94	6.69774215941e-07
1.96	5.13895914775e-07
1.98	3.93225680301e-07
2.0	3.00074123498e-07
2.02	2.28367967452e-07
2.04	1.73325233305e-07
2.06	1.3119230633e-07
2.08	9.90318533864e-08
2.1	7.45523630425e-08
2.12	5.59716212618e-08
2.14	4.19077482683e-08
2.16	3.12925340054e-08
2.18	2.33027462339e-08
2.2	1.73058703266e-08
2.22	1.28173944941e-08
2.24	9.46729748408e-09
2.26	6.97384455796e-09
2.28	5.12316648055e-09
2.3	3.7533981975e-09
2.32	2.7423998721e-09
2.34	1.99828250183e-09
2.36	1.45212150628e-09
2.38	1.05237130114e-09
2.4	7.60597688531e-10
2.42	5.48227697317e-10
2.44	3.94082283765e-10
2.46	2.82509343673e-10
2.48	2.01975498008e-10
2.5	1.44007305904e-10
2.52	1.02397730271e-10
2.54	7.26132878231e-11
2.56	5.1352529312e-11
2.58	3.62182567796e-11
2.6	2.5474942612e-11
2.62	1.78697654327e-11
2.64	1.25009913825e-11
2.66	8.72147673016e-12
2.68	6.06813960269e-12
2.7	4.21057170101e-12
2.72	2.91371142958e-12
2.74	2.01081434336e-12
2.76	1.38394036952e-12
2.78	9.49910630441e-13
2.8	6.50231619345e-13
2.82	4.4388798271e-13
2.84	3.02202920694e-13
2.86	2.05184189751e-13
2.88	1.38934178182e-13
2.9	9.38197488271e-14
2.92	6.31828776594e-14
2.94	4.24350291166e-14
2.96	2.84229776554e-14
2.98	1.89860495236e-14
3.0	1.26479346107e-14
3.02	8.40281071375e-15
3.04	5.56736270616e-15
3.06	3.67870038627e-15
3.08	2.42414886784e-15
3.1	1.5931039764e-15
3.12	1.0441164145e-15
3.14	6.82454484022e-16
3.16	4.44854949017e-16
3.18	2.89189904524e-16
3.2	1.87485547723e-16
3.22	1.21219483842e-16
3.24	7.81622462118e-17
3.26	5.02622121888e-17
3.28	3.22334011832e-17
3.3	2.06153462918e-17
3.32	1.31490719502e-17
3.34	8.36410614812e-18
3.36	5.30595956848e-18
3.38	3.35682192766e-18
3.4	2.11793504771e-18
3.42	1.33265255848e-18
3.44	8.36259769208e-19
3.46	5.23341816692e-19
3.48	3.26625161616e-19
3.5	2.03298326744e-19
3.52	1.26193776488e-19
3.54	7.81199644493e-20
3.56	4.82287608028e-20
3.58	2.96940979014e-20
3.6	1.82328322153e-20
3.62	1.11649839072e-20
3.64	6.81839306909e-21
3.66	4.15265577825e-21
3.68	2.52225968759e-21
3.7	1.52782506631e-21
3.72	9.22948418224e-22
3.74	5.56033803963e-22
3.76	3.34075730862e-22
3.78	2.00174441618e-22
3.8	1.19616830541e-22
3.82	7.12846337337e-23
3.84	4.2366200846e-23
3.86	2.51109466619e-23
3.88	1.48431684778e-23
3.9	8.75004154214e-24
3.92	5.144149474e-24
3.94	3.01603939926e-24
3.96	1.76352007655e-24
3.98	1.02835667748e-24
4.0	5.98035690476e-25
#normalisation = 0.0168803178599
#sigma**2 n(k)k**2 = 0.00734825271861
#kurtosis n(k)k**2 = 94.0539397744
#skewness n(k)k**2 = 9.29837509058
