# mass number (A) = 40
# number of protons (Z) = 18
#relative orbital quantum number l = 4
# k (1/fm)	cm two_body (fm^3)
0.0	0.385538808058
0.02	0.385035543894
0.04	0.383529610757
0.06	0.381032538764
0.08	0.377563385733
0.1	0.373148501424
0.12	0.36782120297
0.14	0.361621366926
0.16	0.354594944631
0.18	0.346793408865
0.2	0.338273140791
0.22	0.329094767076
0.24	0.319322457758
0.26	0.309023195907
0.28	0.298266030369
0.3	0.287121322966
0.32	0.27566000131
0.34	0.263952828041
0.36	0.252069696714
0.38	0.240078963814
0.4	0.228046825448
0.42	0.216036746244
0.44	0.204108946803
0.46	0.192319954812
0.48	0.180722223641
0.5	0.169363820915
0.52	0.158288188249
0.54	0.147533972041
0.56	0.137134924009
0.58	0.127119869016
0.6	0.117512736696
0.62	0.108332652499
0.64	0.0995940829736
0.66	0.0913070295289
0.68	0.0834772643963
0.7	0.0761066022374
0.72	0.0691932006553
0.74	0.0627318828602
0.76	0.0567144758554
0.78	0.0511301577544
0.8	0.0459658081943
0.82	0.0412063562568
0.84	0.0368351208332
0.86	0.0328341389533
0.88	0.0291844782172
0.9	0.0258665301188
0.92	0.0228602816951
0.94	0.0201455635807
0.96	0.0177022731599
0.98	0.0155105720926
1.0	0.0135510580254
1.02	0.0118049107798
1.04	0.0102540137373
1.06	0.00888105149791
1.08	0.00766958519021
1.1	0.00660410704312
1.12	0.00567007600473
1.14	0.00485393630704
1.16	0.004143120938
1.18	0.00352604199517
1.2	0.00299206986619
1.22	0.00253150311594
1.24	0.00213553086509
1.26	0.00179618932596
1.28	0.0015063140256
1.3	0.00125948909773
1.32	0.00104999487073
1.34	0.000872754821856
1.36	0.000723282813131
1.38	0.000597631374658
1.4	0.000492341659147
1.42	0.000404395559773
1.44	0.000331170362887
1.46	0.000270396199053
1.48	0.000220116460546
1.5	0.000178651271024
1.52	0.000144564023195
1.54	0.000116630942453
1.56	9.38135877897e-05
1.58	7.52341649833e-05
1.6	6.01534999339e-05
1.62	4.79515011602e-05
1.64	3.81099286321e-05
1.66	3.01972803281e-05
1.68	2.38556071033e-05
1.7	1.87890696871e-05
1.72	1.47540580313e-05
1.74	1.15507020185e-05
1.76	9.01561302263e-06
1.78	7.01570741229e-06
1.8	5.44297529057e-06
1.82	4.21007017506e-06
1.84	3.24660760309e-06
1.86	2.49607254722e-06
1.88	1.91324685395e-06
1.9	1.46207854068e-06
1.92	1.11392461436e-06
1.94	8.46108064849e-07
1.96	6.40737820114e-07
1.98	4.83747740478e-07
2.0	3.64117203967e-07
2.02	2.73241537968e-07
2.04	2.04425536542e-07
2.06	1.52477626405e-07
2.08	1.13385968855e-07
2.1	8.40609715117e-08
2.12	6.21313925817e-08
2.14	4.57835089554e-08
2.16	3.36347413103e-08
2.18	2.46347340064e-08
2.2	1.79882197212e-08
2.22	1.30950986881e-08
2.24	9.50406570997e-09
2.26	6.87685608898e-09
2.28	4.96078142988e-09
2.3	3.56771135467e-09
2.32	2.55804753608e-09
2.34	1.82854908811e-09
2.36	1.30311753732e-09
2.38	9.25847285675e-10
2.4	6.55803584314e-10
2.42	4.63112753254e-10
2.44	3.26045414364e-10
2.46	2.2884832342e-10
2.48	1.60138422464e-10
2.5	1.11717555817e-10
2.52	7.77007618622e-11
2.54	5.38774472489e-11
2.56	3.72448767269e-11
2.58	2.56686951057e-11
2.6	1.76367552705e-11
2.62	1.20812303718e-11
2.64	8.25051695415e-12
2.66	5.61731292234e-12
2.68	3.81288304078e-12
2.7	2.58021390493e-12
2.72	1.7407454064e-12
2.74	1.17082526136e-12
2.76	7.85102129257e-13
2.78	5.24852705342e-13
2.8	3.49804918223e-13
2.82	2.32429658911e-13
2.84	1.53969365533e-13
2.86	1.01684374089e-13
2.88	6.69500998574e-14
2.9	4.39466056721e-14
2.92	2.87591823339e-14
2.94	1.87631095907e-14
2.96	1.22042241653e-14
2.98	7.91393749517e-15
3.0	5.11625445245e-15
3.02	3.29752987358e-15
3.04	2.11886082016e-15
3.06	1.35735428574e-15
3.08	8.66884248984e-16
3.1	5.51958114164e-16
3.12	3.50371087979e-16
3.14	2.21731576728e-16
3.16	1.39895578581e-16
3.18	8.799492182e-17
3.2	5.51808552323e-17
3.22	3.44982020402e-17
3.24	2.15021423994e-17
3.26	1.33611631476e-17
3.28	8.27721212435e-18
3.3	5.11212204306e-18
3.32	3.14771698317e-18
3.34	1.93226863369e-18
3.36	1.18254240107e-18
3.38	7.21511668285e-19
3.4	4.38881672539e-19
3.42	2.66151557136e-19
3.44	1.6091187234e-19
3.46	9.69894971581e-20
3.48	5.82825979739e-20
3.5	3.49165001189e-20
3.52	2.08545176994e-20
3.54	1.24178746535e-20
3.56	7.37177555877e-21
3.58	4.36289421599e-21
3.6	2.57427562264e-21
3.62	1.5143045368e-21
3.64	8.88074209143e-22
3.66	5.19234073047e-22
3.68	3.02660007979e-22
3.7	1.75883403605e-22
3.72	1.01899649004e-22
3.74	5.88570590728e-23
3.76	3.3892414482e-23
3.78	1.94573898305e-23
3.8	1.11363997103e-23
3.82	6.35452713756e-24
3.84	3.61493010494e-24
3.86	2.05019347684e-24
3.88	1.15922598262e-24
3.9	6.53461074381e-25
3.92	3.67239793422e-25
3.94	2.05758688283e-25
3.96	1.14933096399e-25
3.98	6.4004505737e-26
4.0	3.5534854862e-26
#normalisation = 0.0281477848148
#sigma**2 n(k)k**2 = 0.0122085823584
#kurtosis n(k)k**2 = 53.9985059266
#skewness n(k)k**2 = 7.09269030961
