# mass number (A) = 12
# number of protons (Z) = 6
#relative orbital quantum number l = 2
# k (1/fm)	cm two_body (fm^3)
0.0	1.02616798355
0.02	1.0250239709
0.04	1.0215995796
0.06	1.01591766451
0.08	1.00801603463
0.1	0.99794703412
0.12	0.985776964804
0.14	0.971585359153
0.16	0.955464114834
0.18	0.937516504035
0.2	0.917856072491
0.22	0.896605444617
0.24	0.87389505231
0.26	0.849861805827
0.28	0.824647725614
0.3	0.798398554102
0.32	0.771262366326
0.34	0.74338819765
0.36	0.714924706108
0.38	0.686018885729
0.4	0.65681484588
0.42	0.627452670092
0.44	0.598067366074
0.46	0.568787916779
0.48	0.539736440369
0.5	0.511027464965
0.52	0.482767321995
0.54	0.455053659984
0.56	0.427975078716
0.58	0.401610881853
0.6	0.376030944437
0.62	0.351295690158
0.64	0.327456171924
0.66	0.304554248126
0.68	0.282622846032
0.7	0.261686303
0.72	0.241760775697
0.74	0.222854707138
0.76	0.204969341294
0.78	0.18809927502
0.8	0.172233037323
0.82	0.157353686354
0.84	0.143439415023
0.86	0.130464156775
0.88	0.118398183782
0.9	0.10720869057
0.92	0.0968603569961
0.94	0.087315885286
0.96	0.0785365067728
0.98	0.0704824548175
1.0	0.0631134012422
1.02	0.05638885441
1.04	0.0502685178438
1.06	0.0447126089695
1.08	0.0396821382038
1.1	0.0351391491638
1.12	0.0310469212658
1.14	0.0273701363882
1.16	0.0240750116132
1.18	0.0211294003273
1.2	0.0185028641531
1.22	0.0161667183215
1.24	0.0140940531606
1.26	0.0122597343985
1.28	0.01064038495
1.3	0.009214350783
1.32	0.00796165336316
1.34	0.00686393103731
1.36	0.00590437156713
1.38	0.0050676378526
1.4	0.00433978870516
1.42	0.00370819634423
1.44	0.00316146210255
1.46	0.00268933164016
1.48	0.00228261078616
1.5	0.00193308295468
1.52	0.00163342891838
1.54	0.0013771495716
1.56	0.00115849217602
1.58	0.000972380456019
1.6	0.000814348798718
1.62	0.000680480714385
1.64	0.000567351627535
1.66	0.000471975995627
1.68	0.000391758691117
1.7	0.000324450532484
1.72	0.000268107809873
1.74	0.000221055620293
1.76	0.000181854804756
1.78	0.00014927226449
1.8	0.000122254424315
1.82	9.99036075865e-05
1.84	8.14570878926e-05
1.86	6.62685870952e-05
1.88	5.37919966712e-05
1.9	4.35671088876e-05
1.92	3.52071556155e-05
1.94	2.83879649989e-05
1.96	2.28385593271e-05
1.98	1.83330309264e-05
2.0	1.46835463953e-05
2.02	1.17343427933e-05
2.04	9.35659227056e-06
2.06	7.44402393741e-06
2.08	5.90920340953e-06
2.1	4.68038135899e-06
2.12	3.69883249812e-06
2.14	2.91661571134e-06
2.16	2.29469452622e-06
2.18	1.80136479524e-06
2.2	1.41094337486e-06
2.22	1.10267777405e-06
2.24	8.59842246852e-07
2.26	6.68990669798e-07
2.28	5.19340826278e-07
2.3	4.0226846733e-07
2.32	3.10892782285e-07
2.34	2.39737742121e-07
2.36	1.84456219985e-07
2.38	1.41605890922e-07
2.4	1.08467707043e-07
2.42	8.28992727631e-08
2.44	6.32167412111e-08
2.46	4.80999484209e-08
2.48	3.65164238551e-08
2.5	2.76606888014e-08
2.52	2.09058997917e-08
2.54	1.57654314529e-08
2.56	1.18624386489e-08
2.58	8.90580579756e-09
2.6	6.67119421591e-09
2.62	4.98614691306e-09
2.64	3.71841346685e-09
2.66	2.76682321189e-09
2.68	2.05416944142e-09
2.7	1.52167617342e-09
2.72	1.1247068473e-09
2.74	8.29444936759e-10
2.76	6.10333072703e-10
2.78	4.48102503582e-10
2.8	3.28260751254e-10
2.82	2.39933931499e-10
2.84	1.74982857374e-10
2.86	1.27329918257e-10
2.88	9.24477911404e-11
2.9	6.69720727348e-11
2.92	4.84085488532e-11
2.94	3.49125451365e-11
2.96	2.51230335845e-11
2.98	1.80382237681e-11
3.0	1.29225012803e-11
3.02	9.23699099203e-12
3.04	6.58787846859e-12
3.06	4.68804487347e-12
3.08	3.32865713797e-12
3.1	2.35818292271e-12
3.12	1.66692875644e-12
3.14	1.17567615502e-12
3.16	8.27350442826e-13
3.18	5.80928147786e-13
3.2	4.06992549159e-13
3.22	2.84499573627e-13
3.24	1.98430260986e-13
3.26	1.38090979397e-13
3.28	9.58856989932e-14
3.3	6.64314129632e-14
3.32	4.59223668376e-14
3.34	3.16742368357e-14
3.36	2.17981269954e-14
3.38	1.49679843245e-14
3.4	1.02550689193e-14
3.42	7.01043504338e-15
3.44	4.7817016845e-15
3.46	3.25425146901e-15
3.48	2.20978928443e-15
3.5	1.49720662278e-15
3.52	1.01214734035e-15
3.54	6.82710935705e-16
3.56	4.59474171339e-16
3.58	3.08543548114e-16
3.6	2.06729739858e-16
3.62	1.38203986148e-16
3.64	9.2186919534e-17
3.66	6.13548868187e-17
3.68	4.07436692847e-17
3.7	2.69961752796e-17
3.72	1.78474207822e-17
3.74	1.17728011668e-17
3.76	7.74845790362e-18
3.78	5.08840732503e-18
3.8	3.33410738021e-18
3.82	2.17975869677e-18
3.84	1.42189778539e-18
3.86	9.25463849561e-19
3.88	6.01009951016e-19
3.9	3.89435007475e-19
3.92	2.51778961376e-19
3.94	1.62418318102e-19
3.96	1.04539809083e-19
3.98	6.71366271089e-20
4.0	4.30198069892e-20
#normalisation = 0.0976430973171
#sigma**2 n(k)k**2 = 0.0481685344506
#kurtosis n(k)k**2 = 12.4779367407
#skewness n(k)k**2 = 3.54696785356
