# mass number (A) = 48
# number of protons (Z) = 20
#relative orbital quantum number l = 5
# k (1/fm)	cm two_body (fm^3)
0.0	0.309392907871
0.02	0.308966720443
0.04	0.307691600144
0.06	0.305577828043
0.08	0.302642390396
0.1	0.298908758079
0.12	0.294406583195
0.14	0.289171318084
0.16	0.28324376333
0.18	0.276669552493
0.2	0.26949858232
0.22	0.261784398048
0.24	0.253583544015
0.26	0.244954890246
0.28	0.235958945907
0.3	0.22665717049
0.32	0.217111293401
0.34	0.207382652189
0.36	0.197531559047
0.38	0.187616704411
0.4	0.177694605559
0.42	0.167819107005
0.44	0.158040938348
0.46	0.148407333922
0.48	0.138961717364
0.5	0.129743452854
0.52	0.120787663527
0.54	0.112125116284
0.56	0.103782171094
0.58	0.0957807917691
0.6	0.0881386142758
0.62	0.0808690677936
0.64	0.0739815430896
0.66	0.0674816022395
0.68	0.0613712233736
0.7	0.0556490739264
0.72	0.0503108058118
0.74	0.0453493660465
0.76	0.0407553165624
0.78	0.036517157293
0.8	0.0326216470558
0.82	0.0290541172767
0.84	0.0257987741808
0.86	0.0228389857005
0.88	0.0201575500013
0.9	0.0177369431748
0.92	0.0155595442961
0.94	0.0136078366545
0.96	0.0118645845492
0.98	0.0103129855694
1.0	0.00893679875187
1.02	0.00772044942205
1.04	0.00664911187088
1.06	0.00570877129945
1.08	0.00488626667958
1.1	0.00416931633063
1.12	0.00354652810652
1.14	0.00300739612731
1.16	0.00254228598222
1.18	0.00214241028255
1.2	0.00179979636007
1.22	0.00150724779615
1.24	0.00125830133574
1.26	0.00104718059447
1.28	0.000868747812475
1.3	0.000718454750002
1.32	0.000592293662673
1.34	0.000486749140753
1.36	0.000398751451716
1.38	0.000325631889755
1.4	0.000265080512189
1.42	0.00021510653167
1.44	0.000174001535433
1.46	0.000140305618584
1.48	0.000112776447304
1.5	9.03612093022e-05
1.52	7.21713619625e-05
1.54	5.74600525047e-05
1.56	4.56020578711e-05
1.58	3.60760739129e-05
1.6	2.84491725276e-05
1.62	2.23632405739e-05
1.64	1.75232145795e-05
1.66	1.36869294288e-05
1.68	1.0656406482e-05
1.7	8.27041610049e-06
1.72	6.39816064185e-06
1.74	4.93393603684e-06
1.76	3.79264256892e-06
1.78	2.90602804317e-06
1.8	2.21955883429e-06
1.82	1.68982610357e-06
1.84	1.28240559817e-06
1.86	9.70099775795e-07
1.88	7.31500466757e-07
1.9	5.49818862899e-07
1.92	4.11937311762e-07
1.94	3.07644218942e-07
1.96	2.29019364805e-07
1.98	1.69942177776e-07
2.0	1.25700037046e-07
2.02	9.26775682839e-08
2.04	6.81112131508e-08
2.06	4.9896162233e-08
2.08	3.64351036402e-08
2.1	2.65202141562e-08
2.12	1.92414600591e-08
2.14	1.39156290132e-08
2.16	1.00316261363e-08
2.18	7.20847475208e-09
2.2	5.16319888456e-09
2.22	3.68635919485e-09
2.24	2.62349158204e-09
2.26	1.86107915839e-09
2.28	1.31599151526e-09
2.3	9.27564978897e-10
2.32	6.51686244393e-10
2.34	4.56389535998e-10
2.36	3.18592597564e-10
2.38	2.21686136378e-10
2.4	1.53760300916e-10
2.42	1.0630476383e-10
2.44	7.32595168913e-11
2.46	5.0324352203e-11
2.48	3.44584044773e-11
2.5	2.35187902965e-11
2.52	1.60006512807e-11
2.54	1.08508368318e-11
2.56	7.33485832611e-12
2.58	4.94223268204e-12
2.6	3.31938517777e-12
2.62	2.22226150191e-12
2.64	1.48298164613e-12
2.66	9.86460149564e-13
2.68	6.54073463942e-13
2.7	4.32291595089e-13
2.72	2.84793712449e-13
2.74	1.87019725232e-13
2.76	1.22418743362e-13
2.78	7.98752038709e-14
2.8	5.19492976248e-14
2.82	3.36783727181e-14
2.84	2.17633786975e-14
2.86	1.40186252371e-14
2.88	9.00095325529e-15
2.9	5.76070518371e-15
2.92	3.6750812723e-15
2.94	2.33702034257e-15
2.96	1.48136602342e-15
2.98	9.35980291212e-16
3.0	5.89488807545e-16
3.02	3.70074411658e-16
3.04	2.31583324938e-16
3.06	1.44454257919e-16
3.08	8.98169591077e-17
3.1	5.56661758266e-17
3.12	3.4389793715e-17
3.14	2.11774177195e-17
3.16	1.29993545574e-17
3.18	7.95382507379e-18
3.2	4.85105108416e-18
3.22	2.94918036637e-18
3.24	1.78719771658e-18
3.26	1.07956738739e-18
3.28	6.5002926421e-19
3.3	3.90141515508e-19
3.32	2.33409021649e-19
3.34	1.39193652955e-19
3.36	8.274231322e-20
3.38	4.90278021192e-20
3.4	2.89576850563e-20
3.42	1.70487292881e-20
3.44	1.00052295389e-20
3.46	5.85287265285e-21
3.48	3.41285768009e-21
3.5	1.98369306528e-21
3.52	1.149312352e-21
3.54	6.63756953386e-22
3.56	3.82109303147e-22
3.58	2.19267247758e-22
3.6	1.2542024729e-22
3.62	7.15104285507e-23
3.64	4.06423728851e-23
3.66	2.30248487135e-23
3.68	1.30023746147e-23
3.7	7.31908564579e-24
3.72	4.10676029712e-24
3.74	2.29694372961e-24
3.76	1.28058950229e-24
3.78	7.11669252616e-25
3.8	3.94235070311e-25
3.82	2.17691363176e-25
3.84	1.19821881614e-25
3.86	6.57415843892e-26
3.88	3.59545116347e-26
3.9	1.96008957675e-26
3.92	1.06514281471e-26
3.94	5.76964726059e-27
3.96	3.11530290336e-27
3.98	1.67672173057e-27
4.0	8.99562825348e-28
#normalisation = 0.0207894897404
#sigma**2 n(k)k**2 = 0.00857825687811
#kurtosis n(k)k**2 = 74.7186995792
#skewness n(k)k**2 = 8.31352753485
