# mass number (A) = 56
# number of protons (Z) = 26
#relative orbital quantum number l = 3
# k (1/fm)	cm two_body (fm^3)
0.0	1.16181617959
0.02	1.16098093294
0.04	1.15847961691
0.06	1.1543254324
0.08	1.14854014638
0.1	1.14115374647
0.12	1.13220396979
0.14	1.12173571841
0.16	1.10980037679
0.18	1.09645504916
0.2	1.08176173744
0.22	1.06578648194
0.24	1.04859848837
0.26	1.03026926508
0.28	1.01087179432
0.3	0.990479760093
0.32	0.969166853242
0.34	0.94700617154
0.36	0.924069729085
0.38	0.900428084966
0.4	0.876150096428
0.42	0.851302796705
0.44	0.825951392455
0.46	0.800159370665
0.48	0.7739887002
0.5	0.747500109056
0.52	0.720753415077
0.54	0.693807885611
0.56	0.666722600405
0.58	0.639556792024
0.6	0.612370139347
0.62	0.585222992004
0.64	0.558176507093
0.66	0.531292683752
0.68	0.504634286131
0.7	0.478264650664
0.72	0.452247379039
0.74	0.426645923677
0.76	0.401523077511
0.78	0.376940384295
0.8	0.352957489252
0.82	0.329631452527
0.84	0.307016049511
0.86	0.285161082622
0.88	0.26411172856
0.9	0.243907943502
0.92	0.224583946239
0.94	0.206167796087
0.96	0.188681078623
0.98	0.172138708207
1.0	0.156548851959
1.02	0.141912975587
1.04	0.12822600745
1.06	0.115476613532
1.08	0.103647572824
1.1	0.0927162400207
1.12	0.082655080483
1.14	0.073432261155
1.16	0.0650122805229
1.18	0.0573566207462
1.2	0.0504244057074
1.22	0.0441730498406
1.24	0.0385588841276
1.26	0.0335377474744
1.28	0.0290655337255
1.3	0.0250986867128
1.32	0.0215946379004
1.34	0.0185121832806
1.36	0.015811798141
1.38	0.0134558900926
1.4	0.0114089922989
1.42	0.00963790013633
1.44	0.00811175554294
1.46	0.00680208407764
1.48	0.00568279021779
1.5	0.00473011669804
1.52	0.00392257375545
1.54	0.00324084402883
1.56	0.00266766859394
1.58	0.00218771923296
1.6	0.00178746156862
1.62	0.00145501316923
1.64	0.00118000017737
1.66	0.000953415455302
1.68	0.000767480693123
1.7	0.000615514406709
1.72	0.000491807273511
1.74	0.000391505822392
1.76	0.000310505114447
1.78	0.000245350726694
1.8	0.000193150079425
1.82	0.00015149292875
1.84	0.000118380674827
1.86	9.21640089794e-05
1.88	7.14883342993e-05
1.9	5.52463389598e-05
1.92	4.25370740579e-05
1.94	3.26308831362e-05
1.96	2.49395438152e-05
1.98	1.89910088418e-05
2.0	1.44081704861e-05
2.02	1.08911153128e-05
2.04	8.20238315251e-06
2.06	6.15479238307e-06
2.08	4.6014416293e-06
2.1	3.42754438593e-06
2.12	2.54379689965e-06
2.14	1.88102027768e-06
2.16	1.38585484462e-06
2.18	1.01731807977e-06
2.2	7.440670303e-07
2.22	5.4223202877e-07
2.24	3.93711050577e-07
2.26	2.84833387112e-07
2.28	2.05317775921e-07
2.3	1.47464024944e-07
2.32	1.05528798197e-07
2.34	7.52458876169e-08
2.36	5.34592545391e-08
2.38	3.7843635568e-08
2.4	2.66927974492e-08
2.42	1.87597940808e-08
2.44	1.31370005528e-08
2.46	9.16642460301e-09
2.48	6.37295331727e-09
2.5	4.41489031175e-09
2.52	3.04746621067e-09
2.54	2.09603752074e-09
2.56	1.43648712196e-09
2.58	9.80953216925e-10
2.6	6.67482768126e-10
2.62	4.52562265008e-10
2.64	3.05748572805e-10
2.66	2.05825718813e-10
2.68	1.38065514704e-10
2.7	9.22831520529e-11
2.72	6.14628213664e-11
2.74	4.07902772851e-11
2.76	2.69746691519e-11
2.78	1.77751017182e-11
2.8	1.16714749381e-11
2.82	7.63656818329e-12
2.84	4.97886924708e-12
2.86	3.23462799036e-12
2.88	2.09401704664e-12
2.9	1.35082610756e-12
2.92	8.6832665319e-13
2.94	5.56201748508e-13
2.96	3.55016194215e-13
2.98	2.2580399692e-13
3.0	1.43114543448e-13
3.02	9.03869267684e-14
3.04	5.68850555939e-14
3.06	3.56748754234e-14
3.08	2.22945873352e-14
3.1	1.38838551859e-14
3.12	8.61579452369e-15
3.14	5.32790111211e-15
3.16	3.28317078097e-15
3.18	2.01608206986e-15
3.2	1.23367641325e-15
3.22	7.52269633413e-16
3.24	4.57115448169e-16
3.26	2.76795632902e-16
3.28	1.67022275413e-16
3.3	1.00432027927e-16
3.32	6.0180193247e-17
3.34	3.59351331455e-17
3.36	2.13830714273e-17
3.38	1.26796383185e-17
3.4	7.49256272211e-18
3.42	4.41206023257e-18
3.44	2.58905199929e-18
3.46	1.51401148192e-18
3.48	8.82281901343e-19
3.5	5.12361063592e-19
3.52	2.96507814459e-19
3.54	1.70996872333e-19
3.56	9.82727025505e-20
3.58	5.62821972218e-20
3.6	3.21220528306e-20
3.62	1.82696542399e-20
3.64	1.0355064942e-20
3.66	5.84886306756e-21
3.68	3.29220496938e-21
3.7	1.84671430006e-21
3.72	1.03231118289e-21
3.74	5.75069397862e-22
3.76	3.19248754566e-22
3.78	1.76619280166e-22
3.8	9.73750202443e-23
3.82	5.35005396876e-23
3.84	2.92934490021e-23
3.86	1.5983989349e-23
3.88	8.6916605971e-24
3.9	4.71003148996e-24
3.92	2.54360048154e-24
3.94	1.36892160449e-24
3.96	7.34198336331e-25
3.98	3.9242249526e-25
4.0	2.09026143796e-25
#normalisation = 0.177317049898
#sigma**2 n(k)k**2 = 0.0959175806397
#kurtosis n(k)k**2 = 4.06969947208
#skewness n(k)k**2 = 2.26920423832
