# mass number (A) = 16
# number of protons (Z) = 8
#relative orbital quantum number l = 1
# k (1/fm)	cm two_body (fm^3)
0.0	2.90518835017
0.02	2.90403258091
0.04	2.90055705581
0.06	2.89473741662
0.08	2.88653403729
0.1	2.87589345223
0.12	2.86275030016
0.14	2.8470297299
0.16	2.82865020176
0.18	2.80752660782
0.2	2.78357362577
0.22	2.75670921525
0.24	2.72685816252
0.26	2.6939555785
0.28	2.65795025741
0.3	2.618807808
0.32	2.57651347626
0.34	2.53107458755
0.36	2.4825225473
0.38	2.43091435138
0.4	2.37633357101
0.42	2.31889079086
0.44	2.25872349318
0.46	2.19599539506
0.48	2.13089525892
0.5	2.06363520913
0.52	1.9944485985
0.54	1.92358747823
0.56	1.85131973248
0.58	1.77792594497
0.6	1.70369606871
0.62	1.6289259722
0.64	1.55391393517
0.66	1.47895716552
0.68	1.40434840509
0.7	1.33037268735
0.72	1.25730430341
0.74	1.18540402559
0.76	1.11491662947
0.78	1.04606874694
0.8	0.979067073475
0.82	0.914096944328
0.84	0.85132128536
0.86	0.790879936218
0.88	0.732889335818
0.9	0.677442553385
0.92	0.624609642307
0.94	0.574438289186
0.96	0.526954726491
0.98	0.482164874411
1.0	0.440055675591
1.02	0.400596585599
1.04	0.363741182019
1.06	0.329428855905
1.08	0.297586550957
1.1	0.268130517992
1.12	0.240968055001
1.14	0.215999206189
1.16	0.193118396775
1.18	0.172215983864
1.2	0.15317970729
1.22	0.135896027878
1.24	0.120251344028
1.26	0.106133080734
1.28	0.093430648193
1.3	0.0820362698324
1.32	0.0718456820303
1.34	0.0627587098145
1.36	0.0546797245862
1.38	0.0475179912728
1.4	0.041187913377
1.42	0.0356091851255
1.44	0.0307068603816
1.46	0.0264113481794
1.48	0.0226583447107
1.5	0.019388711367
1.52	0.0165483080549
1.54	0.0140877904803
1.56	0.0119623794811
1.58	0.0101316097979
1.6	0.00855906493501
1.62	0.00721210401247
1.64	0.00606158574571
1.66	0.00508159395304
1.68	0.0042491682754
1.7	0.00354404312275
1.72	0.00294839723934
1.74	0.00244661571231
1.76	0.00202506573931
1.78	0.00167188702131
1.8	0.00137679725674
1.82	0.00113091288056
1.84	0.000926584914734
1.86	0.000757249569796
1.88	0.000617293058506
1.9	0.000501929945435
1.92	0.000407094257373
1.94	0.00032934251313
1.96	0.000265767793218
1.98	0.000213923955467
2.0	0.000171759107743
2.02	0.00013755746964
2.04	0.000109888787951
2.06	8.75645127003e-05
2.08	6.95999889427e-05
2.1	5.51819720821e-05
2.12	4.36408291378e-05
2.14	3.44268437242e-05
2.16	2.70900971189e-05
2.18	2.1263450754e-05
2.2	1.66482059896e-05
2.22	1.30020646045e-05
2.24	1.01290577027e-05
2.26	7.87115149528e-06
2.28	6.10127559365e-06
2.3	4.71755306505e-06
2.32	3.63854166283e-06
2.34	2.79932249442e-06
2.36	2.14829613789e-06
2.38	1.64456707923e-06
2.4	1.25581555552e-06
2.42	9.56571697233e-07
2.44	7.26820505177e-07
2.46	5.50877906882e-07
2.48	4.16488136019e-07
2.5	3.14101172066e-07
2.52	2.36296158323e-07
2.54	1.77322758009e-07
2.56	1.32737468061e-07
2.58	9.91161287245e-08
2.6	7.38273686381e-08
2.62	5.4854619116e-08
2.64	4.06567131341e-08
2.66	3.00590366655e-08
2.68	2.21687935218e-08
2.7	1.63092404385e-08
2.72	1.19687983715e-08
2.74	8.76179241653e-09
2.76	6.39825301161e-09
2.78	4.66075572779e-09
2.8	3.3867114066e-09
2.82	2.45486369318e-09
2.84	1.77502445158e-09
2.86	1.28029331095e-09
2.88	9.21177242943e-10
2.9	6.61158999735e-10
2.92	4.73367037295e-10
2.94	3.38080316781e-10
2.96	2.40864013968e-10
2.98	1.71180578406e-10
3.0	1.21357876556e-10
3.02	8.58247850245e-11
3.04	6.05465103108e-11
3.06	4.26086233491e-11
3.08	2.99115027078e-11
3.1	2.09465088505e-11
3.12	1.46324852784e-11
3.14	1.01966592316e-11
3.16	7.08812566851e-12
3.18	4.91517438068e-12
3.2	3.40001466803e-12
3.22	2.34615826554e-12
3.24	1.61498608459e-12
3.26	1.10895911637e-12
3.28	7.59622568877e-13
3.3	5.19058197113e-13
3.32	3.53810251329e-13
3.34	2.40580942845e-13
3.36	1.63188206782e-13
3.38	1.10421421903e-13
3.4	7.45341313633e-14
3.42	5.01873910968e-14
3.44	3.37110190646e-14
3.46	2.25884921867e-14
3.48	1.50987489497e-14
3.5	1.00677704375e-14
3.52	6.69675663441e-15
3.54	4.44359890437e-15
3.56	2.9413354291e-15
3.58	1.94219963953e-15
3.6	1.27933133072e-15
3.62	8.4064433486e-16
3.64	5.51038402706e-16
3.66	3.60323007409e-16
3.68	2.35040606267e-16
3.7	1.52944831463e-16
3.72	9.92814094436e-17
3.74	6.42898633169e-17
3.76	4.15296934366e-17
3.78	2.67618920256e-17
3.8	1.72035065834e-17
3.82	1.1032131321e-17
3.84	7.05739380576e-18
3.86	4.50372605284e-18
3.88	2.86709750398e-18
3.9	1.82077397576e-18
3.92	1.15348747434e-18
3.94	7.28975931099e-19
3.96	4.59575791868e-19
3.98	2.89031337641e-19
4.0	1.81332954622e-19
#normalisation = 0.499999999161
#sigma**2 n(k)k**2 = 0.190058855013
#kurtosis n(k)k**2 = -0.804910119528
#skewness n(k)k**2 = 0.675622177675
