# mass number (A) = 27
# number of protons (Z) = 13
# P (GeV)	cm two_body (GeV^-3)
0.0	5.05992254255
0.02	5.05631724909
0.04	5.04552256441
0.06	5.02760176955
0.08	5.00265931931
0.1	4.97083934579
0.12	4.93232361035
0.14	4.88732894971
0.16	4.83610427259
0.18	4.77892717298
0.2	4.71610023369
0.22	4.64794709971
0.24	4.57480840462
0.26	4.49703763476
0.28	4.41499701554
0.3	4.32905350111
0.32	4.23957494411
0.34	4.14692651545
0.36	4.05146743546
0.38	3.95354806833
0.4	3.85350742029
0.42	3.75167107058
0.44	3.64834955186
0.46	3.54383718432
0.48	3.4384113557
0.5	3.33233222796
0.52	3.22584284066
0.54	3.11916957194
0.56	3.01252290993
0.58	2.90609848138
0.6	2.80007827984
0.62	2.69463203318
0.64	2.58991865003
0.66	2.48608768554
0.68	2.38328077046
0.7	2.28163295202
0.72	2.18127390138
0.74	2.08232894963
0.76	1.9849199227
0.78	1.88916575422
0.8	1.79518286435
0.82	1.70308530195
0.84	1.61298465566
0.86	1.52498974798
0.88	1.43920613322
0.9	1.35573542668
0.92	1.27467449709
0.94	1.19611455789
0.96	1.12014019543
0.98	1.04682837248
1.0	0.976247445418
1.02	0.908456231276
1.04	0.843503158118
1.06	0.781425528324
1.08	0.722248919663
1.1	0.665986743894
1.12	0.61263997705
1.14	0.562197069833
1.16	0.514634040936
1.18	0.469914750668
1.2	0.427991347241
1.22	0.388804873636
1.24	0.352286019118
1.26	0.318355996375
1.28	0.286927522952
1.3	0.257905884085
1.32	0.231190053287
1.34	0.20667384701
1.36	0.184247090343
1.38	0.163796771935
1.4	0.145208168103
1.42	0.128365918196
1.44	0.113155035757
1.46	0.0994618426839
1.48	0.0871748162939
1.5	0.0761853420058
1.52	0.0663883669892
1.54	0.0576829526859
1.56	0.0499727264291
1.58	0.0431662344647
1.6	0.0371772004782
1.62	0.0319246952266
1.64	0.0273332240643
1.66	0.0233327400414
1.68	0.0198585908438
1.7	0.0168514081762
1.72	0.0142569482628
1.74	0.0120258920129
1.76	0.0101136130758
1.78	0.00847992155173
1.8	0.00708879053702
1.82	0.00590807202572
1.84	0.00490920796646
1.86	0.00406694153234
1.88	0.00335903291275
1.9	0.0027659832055
1.92	0.00227076928968
1.94	0.00185859190807
1.96	0.00151663859076
1.98	0.00123386251644
2.0	0.00100077793712
2.02	0.000809272386866
2.04	0.000652435554439
2.06	0.000524404421323
2.08	0.00042022404509
2.1	0.000335723200138
2.12	0.000267403966821
2.14	0.000212344280586
2.16	0.000168112409063
2.18	0.000132692311235
2.2	0.000104418843498
2.22	8.19218075897e-05
2.24	6.4077880306e-05
2.26	4.99695207386e-05
2.28	3.8850013786e-05
2.3	3.01138760243e-05
2.32	2.32719191145e-05
2.34	1.79303348072e-05
2.36	1.37732326841e-05
2.38	1.05481258815e-05
2.4	8.0539203127e-06
2.42	6.13101879644e-06
2.44	4.6532026879e-06
2.46	3.52099996828e-06
2.48	2.65629032132e-06
2.5	1.99793465271e-06
2.52	1.49824903031e-06
2.54	1.12017143425e-06
2.56	8.34994336341e-07
2.58	6.20557328247e-07
2.6	4.59812138679e-07
2.62	3.39687768313e-07
2.64	2.50196455603e-07
2.66	1.83732076679e-07
2.68	1.34521662014e-07
2.7	9.8198239367e-08
2.72	7.1469417653e-08
2.74	5.18612143704e-08
2.76	3.7520779216e-08
2.78	2.70650340594e-08
2.8	1.94649683518e-08
2.82	1.39575134177e-08
2.84	9.97866554254e-09
2.86	7.11291748391e-09
2.88	5.05515871594e-09
2.9	3.58207248138e-09
2.92	2.53073876167e-09
2.94	1.78268438774e-09
2.96	1.25203543782e-09
2.98	8.76747657799e-10
3.0	6.12137876884e-10
3.02	4.26129250573e-10
3.04	2.95768350808e-10
3.06	2.04682689249e-10
3.08	1.41231114711e-10
3.1	9.71628644299e-11
3.12	6.66486980311e-11
3.14	4.55832462548e-11
3.16	3.10843527908e-11
3.18	2.11349964201e-11
3.2	1.43280492566e-11
3.22	9.68494710462e-12
3.24	6.5272988481e-12
3.26	4.38628199138e-12
3.28	2.93891586878e-12
3.3	1.96338763824e-12
3.32	1.30783807946e-12
3.34	8.68623671229e-13
3.36	5.75227739604e-13
3.38	3.79821179114e-13
3.4	2.5006357796e-13
3.42	1.64155075765e-13
3.44	1.07446309205e-13
3.46	7.01233559866e-14
3.48	4.56319023878e-14
