# mass number (A) = 27
# number of protons (Z) = 13
#relative orbital quantum number l = 2
# k (1/fm)	total two_body (fm^3)
0.0	1.05027364107
0.02	1.04951246588
0.04	1.04723264113
0.06	1.04344521354
0.08	1.03816841036
0.1	1.03142736997
0.12	1.02325377773
0.14	1.01368541902
0.16	1.00276566448
0.18	0.990542903858
0.2	0.977069946335
0.22	0.962403405482
0.24	0.946603086711
0.26	0.929731393882
0.28	0.911852770054
0.3	0.893033184963
0.32	0.873339679048
0.34	0.852839970732
0.36	0.831602130383
0.38	0.809694321144
0.4	0.787184603641
0.42	0.7641407988
0.44	0.740630400488
0.46	0.716720527828
0.48	0.692477905617
0.5	0.667968860573
0.52	0.643259320981
0.54	0.618414807823
0.56	0.593500406511
0.58	0.568580709893
0.6	0.543719725142
0.62	0.518980739382
0.64	0.494426141319
0.66	0.470117198649
0.68	0.446113793446
0.7	0.422474120007
0.72	0.399254351672
0.74	0.376508284845
0.76	0.354286969734
0.78	0.332638338208
0.8	0.311606839628
0.82	0.291233095444
0.84	0.271553582949
0.86	0.252600357714
0.88	0.234400823075
0.9	0.216977553585
0.92	0.200348177698
0.94	0.184525323166
0.96	0.169516626802
0.98	0.155324808417
1.0	0.141947807026
1.02	0.129378975799
1.04	0.117607330829
1.06	0.106617847584
1.08	0.0963917980065
1.1	0.0869071205116
1.12	0.0781388147621
1.14	0.0700593529422
1.16	0.0626390993576
1.18	0.0558467305139
1.2	0.0496496483441
1.22	0.0440143799312
1.24	0.0389069578732
1.26	0.0342932763258
1.28	0.0301394186973
1.3	0.0264119539278
1.32	0.0230781992313
1.34	0.0201064480821
1.36	0.0174661630745
1.38	0.0151281340454
1.4	0.0130646025229
1.42	0.0112493541337
1.44	0.00965778106504
1.46	0.00826691703853
1.48	0.00705544750606
1.5	0.00600369794099
1.52	0.0050936031663
1.54	0.00430866065569
1.56	0.00363387066775
1.58	0.00305566594264
1.6	0.00256183351429
1.62	0.00214143098206
1.64	0.00178469935277
1.66	0.00148297431856
1.68	0.00122859758446
1.7	0.00101482961154
1.72	0.000835764901055
1.74	0.00068625071817
1.76	0.000561809944217
1.78	0.000458568555701
1.8	0.000373188059129
1.82	0.000302803063003
1.84	0.000244964042311
1.86	0.000197585245843
1.88	0.00015889761147
1.9	0.000127406487698
1.92	0.000101853909583
1.94	8.1185141633e-05
1.96	6.45191776542e-05
1.98	5.11228757932e-05
2.0	4.03884043262e-05
2.02	3.18136784615e-05
2.04	2.49854788648e-05
2.06	1.95649574332e-05
2.08	1.52752537569e-05
2.1	1.18909656651e-05
2.12	9.22923833805e-06
2.14	7.14225795145e-06
2.16	5.51095710017e-06
2.18	4.23975987563e-06
2.2	3.25221409741e-06
2.22	2.48737658987e-06
2.24	1.89683439474e-06
2.26	1.44226033901e-06
2.28	1.09341541028e-06
2.3	8.26522949054e-07
2.32	6.22950803059e-07
2.34	4.68147381843e-07
2.36	3.50786093855e-07
2.38	2.6208004822e-07
2.4	1.95235267117e-07
2.42	1.45016090856e-07
2.44	1.0740107192e-07
2.46	7.93115465741e-08
2.48	5.83983367208e-08
2.5	4.28747561093e-08
2.52	3.13863515839e-08
2.54	2.29096709519e-08
2.56	1.6673875694e-08
2.58	1.21002627219e-08
2.6	8.75577123035e-09
2.62	6.31736838572e-09
2.64	4.54486521142e-09
2.66	3.2602404398e-09
2.68	2.33196952547e-09
2.7	1.66318868687e-09
2.72	1.18278652711e-09
2.74	8.38722292905e-10
2.76	5.93031472749e-10
2.78	4.18105417868e-10
2.8	2.93929445425e-10
2.82	2.06039451016e-10
2.84	1.44015220837e-10
2.86	1.00373218857e-10
2.88	6.97556630227e-11
2.9	4.83385879744e-11
2.92	3.34011959808e-11
2.94	2.30135880292e-11
2.96	1.58110820494e-11
2.98	1.08316461812e-11
3.0	7.39918043934e-12
3.02	5.03999039575e-12
3.04	3.42320876711e-12
3.06	2.31843695046e-12
3.08	1.56572704716e-12
