# mass number (A) = 40
# number of protons (Z) = 18
# P (GeV)	cm two_body (GeV^-3)
0.0	4.85252646803
0.02	4.84957383251
0.04	4.84072725238
0.06	4.82602056327
0.08	4.80550968571
0.1	4.77927194012
0.12	4.74740513254
0.14	4.71002645206
0.16	4.66727122744
0.18	4.61929159374
0.2	4.56625511932
0.22	4.50834344039
0.24	4.44575094311
0.26	4.37868352477
0.28	4.30735745404
0.3	4.23199833932
0.32	4.15284020196
0.34	4.07012464085
0.36	3.98410006579
0.38	3.89502097051
0.4	3.80314721242
0.42	3.70874326591
0.44	3.61207741779
0.46	3.51342087948
0.48	3.4130467974
0.5	3.31122915288
0.52	3.20824155274
0.54	3.10435592254
0.56	2.99984112393
0.58	2.89496152628
0.6	2.78997556922
0.62	2.68513435659
0.64	2.58068032398
0.66	2.47684602026
0.68	2.3738530398
0.7	2.27191113538
0.72	2.17121753381
0.74	2.07195646635
0.76	1.97429891632
0.78	1.87840257575
0.8	1.78441199361
0.82	1.69245889005
0.84	1.60266260437
0.86	1.51513064044
0.88	1.42995927072
0.9	1.34723416061
0.92	1.26703097705
0.94	1.18941594957
0.96	1.11444635811
0.98	1.04217092884
1.0	0.972630127188
1.02	0.905856344926
1.04	0.841873986311
1.06	0.780699464827
1.08	0.722341128209
1.1	0.666799133907
1.12	0.614065300157
1.14	0.564122959257
1.16	0.516946839488
1.18	0.472503000451
1.2	0.430748843706
1.22	0.39163321659
1.24	0.355096622364
1.26	0.321071544622
1.28	0.289482888527
1.3	0.260248536162
1.32	0.23328000839
1.34	0.208483221326
1.36	0.185759321936
1.38	0.16500558457
1.4	0.146116348469
1.42	0.128983975369
1.44	0.113499806373
1.46	0.0995550980653
1.48	0.0870419193472
1.5	0.0758539925809
1.52	0.065887465132
1.54	0.0570416002059
1.56	0.049219378823
1.58	0.0423280077325
1.6	0.0362793309215
1.62	0.0309901450297
1.64	0.0263824213541
1.66	0.0223834391696
1.68	0.0189258367647
1.7	0.015947587879
1.72	0.0133919121397
1.74	0.0112071286404
1.76	0.00934646201666
1.78	0.00776781029313
1.8	0.00643348344225
1.82	0.00530992105916
1.84	0.00436739686406
1.86	0.00357971694088
1.88	0.00292391775077
1.9	0.00237996906001
1.92	0.00193048602663
1.94	0.0015604538263
1.96	0.00125696738752
1.98	0.00100898806363
2.0	0.000807118406696
2.02	0.000643395631433
2.04	0.000511103866897
2.06	0.00040460489026
2.08	0.000319186714586
2.1	0.000250929156311
2.12	0.000196585330158
2.14	0.000153477901386
2.16	0.000119408859029
2.18	9.25815506243e-05
2.2	7.15337306593e-05
2.22	5.50804140881e-05
2.24	4.2265385838e-05
2.26	3.23202913092e-05
2.28	2.46303162221e-05
2.3	1.87055525016e-05
2.32	1.41572366704e-05
2.34	1.06781357036e-05
2.36	8.02644037214e-06
2.38	6.01260627824e-06
2.4	4.48865706559e-06
2.42	3.33953207958e-06
2.44	2.47612182468e-06
2.46	1.82968892651e-06
2.48	1.34742017443e-06
2.5	9.88896951121e-07
2.52	7.23307399207e-07
2.54	5.27254534894e-07
2.56	3.83040724322e-07
2.58	2.77331017347e-07
2.6	2.00116297731e-07
2.62	1.43912539653e-07
2.64	1.03145102481e-07
2.66	7.36773515333e-08
2.68	5.24513212045e-08
2.7	3.7214954331e-08
2.72	2.63159327482e-08
2.74	1.85464946503e-08
2.76	1.30271154685e-08
2.78	9.11967970478e-09
2.8	6.3629328259e-09
2.82	4.42469191301e-09
2.84	3.06660740737e-09
2.86	2.11828433276e-09
2.88	1.45835322408e-09
2.9	1.00067960516e-09
2.92	6.84356910692e-10
2.94	4.66473494061e-10
2.96	3.16905220667e-10
2.98	2.14581022626e-10
3.0	1.4481518103e-10
3.02	9.74090009403e-11
3.04	6.53051813247e-11
3.06	4.36376206639e-11
3.08	2.90630146811e-11
3.1	1.92924650373e-11
3.12	1.27644913848e-11
3.14	8.41761954862e-12
3.16	5.53281685815e-12
3.18	3.62473066089e-12
3.2	2.36689416045e-12
3.22	1.54048251983e-12
3.24	9.99334140872e-13
3.26	6.46162643691e-13
3.28	4.16438893208e-13
3.3	2.67510087162e-13
3.32	1.71281160667e-13
3.34	1.09310198855e-13
3.36	6.95335667373e-14
3.38	4.40871610797e-14
3.4	2.78621495508e-14
3.42	1.75510458905e-14
3.44	1.10199166111e-14
3.46	6.89670341642e-15
3.48	4.30223100627e-15
3.5	2.67507412321e-15
3.52	1.65793998191e-15
3.54	1.02422091003e-15
3.56	6.30683203707e-16
3.58	3.87099507654e-16
3.6	2.36825585568e-16
3.62	1.44420942681e-16
3.64	8.77865903988e-17
3.66	5.31892077511e-17
3.68	3.212307173e-17
3.7	1.93379164399e-17
3.72	1.16038526589e-17
3.74	6.94057551708e-18
3.76	4.13799860834e-18
3.78	2.45916455149e-18
3.8	1.45676009812e-18
3.82	8.60186210395e-19
3.84	5.06292728282e-19
3.86	2.97041036268e-19
3.88	1.73715081142e-19
3.9	1.01266467187e-19
3.92	5.88439207232e-20
3.94	3.40836489905e-20
3.96	1.96788552065e-20
3.98	1.13256609104e-20
4.0	6.49737544323e-21
4.02	3.71555547815e-21
4.04	2.11797878051e-21
4.06	1.20346150852e-21
4.08	6.8164180689e-22
4.1	3.84852497988e-22
4.12	2.16594353001e-22
4.14	1.21510923886e-22
4.16	6.79515748283e-23
4.18	3.78791624762e-23
4.2	2.10483699646e-23
4.22	1.16588158071e-23
4.24	6.43737620639e-24
4.26	3.54309187756e-24
4.28	1.94390753475e-24
4.3	1.06313652681e-24
4.32	5.79593224609e-25
4.34	3.14977080074e-25
4.36	1.7063045922e-25
4.38	9.21417965709e-26
4.4	4.95997913552e-26
4.42	2.66150093203e-26
4.44	1.42363130682e-26
4.46	7.5908970307e-27
4.48	4.03472422805e-27
4.5	2.13776672923e-27
4.52	1.12910149631e-27
4.54	5.94473319536e-28
4.56	3.12003141341e-28
4.58	1.63234995447e-28
4.6	8.51325748259e-29
4.62	4.42595444386e-29
4.64	2.2937562167e-29
4.66	1.18499685067e-29
4.68	6.1026324807e-30
4.7	3.13290898167e-30
4.72	1.60327985094e-30
4.74	8.17904005957e-31
4.76	4.15936682115e-31
4.78	2.1085525868e-31
4.8	1.06555141297e-31
4.82	5.36781537115e-32
4.84	2.69559313359e-32
4.86	1.3494137893e-32
4.88	6.73395780956e-33
4.9	3.34988958885e-33
4.92	1.66121504277e-33
4.94	8.21215008588e-34
4.96	4.0469138385e-34
4.98	1.98805084539e-34
5.0	9.73571504624e-35
#normalisation = 0.986837334755
