# mass number (A) = 40
# number of protons (Z) = 18
#relative orbital quantum number l = 2
# k (1/fm)	total two_body (fm^3)
0.0	0.990955861789
0.05	0.986625288449
0.1	0.973869154838
0.15	0.953352261779
0.2	0.926052894452
0.25	0.893101035268
0.3	0.855608433597
0.35	0.81452875451
0.4	0.770576722788
0.45	0.724219147527
0.5	0.675732507962
0.55	0.625306233722
0.6	0.573161667905
0.65	0.519655680942
0.7	0.46534443567
0.75	0.410994434768
0.8	0.357541260934
0.85	0.306007949855
0.9	0.257402250047
0.95	0.212614076354
1.0	0.172331654104
1.05	0.136988657916
1.1	0.10674705603
1.15	0.0815132765392
1.2	0.0609800916553
1.25	0.0446839177473
1.3	0.0320669969027
1.35	0.0225355938561
1.4	0.0155080969127
1.45	0.0104499423763
1.5	0.00689495748032
1.55	0.00445466616937
1.6	0.00281821163876
1.65	0.0017459024185
1.7	0.00105918124695
1.75	0.000629278239488
1.8	0.000366148184937
1.85	0.000208657197337
1.9	0.000116464424251
1.95	6.36733915993e-05
2.0	3.40995638059e-05
2.05	1.78890378766e-05
2.1	9.19376359703e-06
2.15	4.62901226644e-06
2.2	2.28345241675e-06
2.25	1.1036305033e-06
2.3	5.22639732983e-07
2.35	2.42519396466e-07
2.4	1.10274121968e-07
2.45	4.91361331421e-08
2.5	2.14558224343e-08
2.55	9.18168093003e-09
2.6	3.85076953598e-09
2.65	1.58283657755e-09
2.7	6.37679185995e-10
2.75	2.51802423242e-10
2.8	9.74591151273e-11
2.85	3.69745452149e-11
2.9	1.37503421508e-11
2.95	5.01263968062e-12
3.0	1.79132093598e-12
3.05	6.2754584246e-13
3.1	2.1552292679e-13
3.15	7.25651192221e-14
3.2	2.39529421548e-14
3.25	7.75168455291e-15
3.3	2.45951242377e-15
3.35	7.65115097852e-16
3.4	2.33366311833e-16
3.45	6.97897628419e-17
3.5	2.04642439945e-17
3.55	5.88380267438e-18
3.6	1.65877178273e-18
3.65	4.58552234776e-19
3.7	1.24300215339e-19
3.75	3.30402153654e-20
3.8	8.61209067898e-21
3.85	2.20128189008e-21
3.9	5.5176033412e-22
3.95	1.35624844759e-22
4.0	3.26924918649e-23
#normalisation = 0.178917381795
