# mass number (A) = 9
# number of protons (Z) = 4
#relative orbital quantum number l = 1
# k (1/fm)	total two_body (fm^3)
0.0	3.31946913597
0.02	3.31680960209
0.04	3.30884258038
0.06	3.29560274304
0.08	3.27714765176
0.1	3.25355742047
0.12	3.22493424477
0.14	3.19140179958
0.16	3.15310450722
0.18	3.11020667879
0.2	3.06289153238
0.22	3.01136009268
0.24	2.95582997716
0.26	2.89653407529
0.28	2.83371912828
0.3	2.76764421774
0.32	2.69857917309
0.34	2.62680290846
0.36	2.55260170112
0.38	2.47626742428
0.4	2.39809574836
0.42	2.31838432525
0.44	2.23743097116
0.46	2.15553186379
0.48	2.07297976985
0.5	1.9900623193
0.52	1.90706034186
0.54	1.82424628148
0.56	1.74188270331
0.58	1.6602209069
0.6	1.57949965818
0.62	1.49994405118
0.64	1.42176450906
0.66	1.34515593208
0.68	1.27029699829
0.7	1.19734962073
0.72	1.1264585629
0.74	1.05775121227
0.76	0.991337509331
0.78	0.927310028139
0.8	0.865744202077
0.82	0.806698687092
0.84	0.750215853035
0.86	0.696322392392
0.88	0.645030034604
0.9	0.596336353218
0.92	0.550225652507
0.94	0.506669919719
0.96	0.46562982897
0.98	0.427055782825
1.0	0.390888977875
1.02	0.357062481096
1.04	0.325502304418
1.06	0.296128465741
1.08	0.268856025606
1.1	0.243596089756
1.12	0.220256768975
1.14	0.19874408881
1.16	0.178962842971
1.18	0.160817385476
1.2	0.144212357792
1.22	0.129053348431
1.24	0.115247483553
1.26	0.102703948206
1.28	0.0913344387611
1.3	0.0810535480092
1.32	0.0717790851187
1.34	0.0634323333292
1.36	0.055938248801
1.38	0.0492256044837
1.4	0.0432270832032
1.42	0.0378793244029
1.44	0.0331229291169
1.46	0.0289024278087
1.48	0.0251662156854
1.5	0.0218664600048
1.52	0.0189589837408
1.54	0.0164031297716
1.56	0.01416160951
1.58	0.0122003396238
1.6	0.0104882701937
1.62	0.00899720734908
1.64	0.00770163309834
1.66	0.00657852475503
1.68	0.00560717604365
1.7	0.004769021666
1.72	0.00404746681746
1.74	0.00342772286957
1.76	0.00289665018107
1.78	0.00244260876701
1.8	0.00205531734519
1.82	0.0017257210917
1.84	0.00144586827221
1.86	0.00120879577326
1.88	0.00100842343626
1.9	0.000839456995733
1.92	0.000697299341112
1.94	0.000577969756122
1.96	0.000478030740595
1.98	0.000394521984041
2.0	0.00032490103732
2.02	0.000266990216443
2.04	0.0002189292693
2.06	0.000179133340632
2.08	0.000146255781247
2.1	0.000119155363288
2.12	9.68674829134e-05
2.14	7.85789542582e-05
2.16	6.36060229236e-05
2.18	5.13752528754e-05
2.2	4.14069667422e-05
2.22	3.33009456453e-05
2.24	2.67241203551e-05
2.26	2.14000104357e-05
2.28	1.70996918235e-05
2.3	1.36340957991e-05
2.32	1.08474634074e-05
2.34	8.61179898646e-06
2.36	6.82218453465e-06
2.38	5.39283317934e-06
2.4	4.25377503796e-06
2.42	3.34808233078e-06
2.44	2.62955278461e-06
2.46	2.06078123712e-06
2.48	1.61155900083e-06
2.5	1.25754906677e-06
2.52	9.79192715606e-07
2.54	7.60809651848e-07
2.56	5.89859476368e-07
2.58	4.56337252197e-07
2.6	3.52280180246e-07
2.62	2.7136606367e-07
2.64	2.08587373079e-07
2.66	1.59987395402e-07
2.68	1.22447216486e-07
2.7	9.35142048637e-08
2.72	7.12642796794e-08
2.74	5.41916018139e-08
2.76	4.11204615864e-08
2.78	3.1135081738e-08
2.8	2.35238395809e-08
2.82	1.77350620662e-08
2.84	1.3342083587e-08
2.86	1.00156970526e-08
2.88	7.50248989606e-09
2.9	5.60785162791e-09
2.92	4.18267967633e-09
2.94	3.11300511821e-09
2.96	2.31191755068e-09
2.98	1.71329548212e-09
3.0	1.26695083051e-09
3.02	9.34878037583e-10
3.04	6.88363767976e-10
3.06	5.05765313743e-10
3.08	3.70807248736e-10
3.1	2.71278683212e-10
3.12	1.9803937401e-10
3.14	1.44263341514e-10
3.16	1.04864656713e-10
3.18	7.60625961199e-11
3.2	5.50531464289e-11
3.22	3.97614564571e-11
3.24	2.86557450145e-11
3.26	2.06077485594e-11
3.28	1.47883238923e-11
3.3	1.05895393027e-11
3.32	7.56667403744e-12
3.34	5.39514313258e-12
3.36	3.838583945e-12
3.38	2.72526901987e-12
3.4	1.93071477374e-12
3.42	1.36488921433e-12
