# mass number (A) = 12
# number of protons (Z) = 6
# P (GeV)	cm two_body (GeV^-3)
0.0	5.67931195526
0.02	5.67542540074
0.04	5.66378148642
0.06	5.64442733068
0.08	5.61744103527
0.1	5.58293105032
0.12	5.54103530115
0.14	5.49192009278
0.16	5.43577881075
0.18	5.37283044057
0.2	5.30331792983
0.22	5.2275064191
0.24	5.14568136826
0.26	5.05814660501
0.28	4.96522232198
0.3	4.86724304712
0.32	4.76455561062
0.34	4.65751712891
0.36	4.54649302394
0.38	4.43185509244
0.4	4.31397963743
0.42	4.19324567062
0.44	4.07003319164
0.46	3.94472154736
0.48	3.81768787198
0.5	3.68930560671
0.52	3.55994309627
0.54	3.42996225847
0.56	3.29971732225
0.58	3.16955362998
0.6	3.03980649961
0.62	2.91080014338
0.64	2.78284664064
0.66	2.65624496378
0.68	2.53128005752
0.7	2.40822197343
0.72	2.28732506308
0.74	2.16882723441
0.76	2.05294927735
0.78	1.93989426524
0.8	1.82984703982
0.82	1.72297378719
0.84	1.6194217126
0.86	1.5193188212
0.88	1.42277381114
0.9	1.32987608438
0.92	1.24069587898
0.94	1.15528452532
0.96	1.07367482638
0.98	0.995881560728
1.0	0.92190210459
1.02	0.851717167446
1.04	0.785291633689
1.06	0.722575501098
1.08	0.66350490528
1.1	0.608003217867
1.12	0.555982205181
1.14	0.507343233252
1.16	0.461978504614
1.18	0.419772312102
1.2	0.380602295009
1.22	0.344340683393
1.24	0.310855516985
1.26	0.280011826131
1.28	0.251672763281
1.3	0.225700674901
1.32	0.201958105071
1.34	0.180308723601
1.36	0.160618173018
1.38	0.142754830392
1.4	0.126590481478
1.42	0.112000906173
1.44	0.0988663756216
1.46	0.0870720626436
1.48	0.0765083682464
1.5	0.0670711680073
1.52	0.0586619829436
1.54	0.0511880801667
1.56	0.0445625091399
1.58	0.0387040797249
1.6	0.0335372884215
1.62	0.0289921992905
1.64	0.0250042860099
1.66	0.0215142413634
1.68	0.0184677602222
1.7	0.0158153017575
1.72	0.013511836239
1.74	0.0115165813475
1.76	0.00979273246459
1.78	0.00830719092373
1.8	0.00703029371828
1.82	0.0059355476786
1.84	0.00499937065923
1.86	0.00420084182683
1.88	0.00352146271659
1.9	0.00294493033253
1.92	0.00245692320961
1.94	0.00204490103552
1.96	0.00169791814601
1.98	0.00140645096285
2.0	0.00116223923342
2.02	0.000958140757489
2.04	0.000787999144578
2.06	0.000646524034733
2.08	0.00052918313154
2.1	0.000432105337436
2.12	0.00035199424401
2.14	0.000286051211367
2.16	0.000231907267933
2.18	0.000187563072509
2.2	0.00015133620147
2.22	0.000121815053507
2.24	9.7818700066e-05
2.26	7.83620498875e-05
2.28	6.26257392299e-05
2.3	4.9930204021e-05
2.32	3.97134353214e-05
2.34	3.1511964074e-05
2.36	2.49446644754e-05
2.38	1.96990068549e-05
2.4	1.55194302653e-05
2.42	1.21975417954e-05
2.44	9.56388373294e-06
2.46	7.48104103645e-06
2.48	5.83789013509e-06
2.5	4.54481588527e-06
2.52	3.52974669571e-06
2.54	2.73487850199e-06
2.56	2.11397659247e-06
2.58	1.63016042619e-06
2.6	1.25409071995e-06
2.62	9.62490397372e-07
2.64	7.36941664287e-07
2.66	5.62910677072e-07
2.68	4.28959164703e-07
2.7	3.26109107142e-07
2.72	2.47332302665e-07
2.74	1.87141505455e-07
2.76	1.41263899661e-07
2.78	1.06381102872e-07
2.8	7.9922754529e-08
2.82	5.99031263842e-08
2.84	4.47921655171e-08
2.86	3.34140092139e-08
2.88	2.48673501345e-08
2.9	1.84631269948e-08
2.92	1.36759109459e-08
2.94	1.0106085392e-08
2.96	7.45050630791e-09
2.98	5.47980575748e-09
3.0	4.02088382741e-09
3.02	2.94344074968e-09
3.04	2.14964580774e-09
3.06	1.566234478e-09
3.08	1.138479818e-09
3.1	8.25606297914e-10
3.12	5.9731054403e-10
3.14	4.3112906701e-10
3.16	3.10452227348e-10
3.18	2.23029864114e-10
3.2	1.59849923271e-10
3.22	1.14299261195e-10
3.24	8.15373131707e-11
3.26	5.8029890677e-11
3.28	4.1203099688e-11
3.3	2.91871171507e-11
3.32	2.0627000604e-11
3.34	1.45433654803e-11
3.36	1.02300580542e-11
3.38	7.17919921312e-12
3.4	5.02642280691e-12
3.42	3.51097319189e-12
3.44	2.44670645044e-12
3.46	1.70107103117e-12
3.48	1.17991202285e-12
3.5	8.165142428e-13
3.52	5.63722312689e-13
3.54	3.8828835453e-13
3.56	2.66828086222e-13
3.58	1.82935126268e-13
3.6	1.25127107052e-13
3.62	8.53875956345e-14
3.64	5.81336497808e-14
3.66	3.94866380315e-14
3.68	2.67585654627e-14
3.7	1.80911397354e-14
3.72	1.22028083863e-14
3.74	8.21192066472e-15
3.76	5.51342043114e-15
3.78	3.69308421606e-15
3.8	2.46802390879e-15
3.82	1.64551512908e-15
3.84	1.09457890446e-15
3.86	7.26415752991e-16
3.88	4.80968600181e-16
3.9	3.17717977247e-16
3.92	2.09392318796e-16
3.94	1.37680962403e-16
3.96	9.0319499647e-17
3.98	5.91131260804e-17
4.0	3.85994745012e-17
4.02	2.51463064709e-17
4.04	1.63441615029e-17
4.06	1.05985632048e-17
4.08	6.85689545261e-18
4.1	4.42592978763e-18
4.12	2.85021907261e-18
4.14	1.83125558272e-18
4.16	1.17386173275e-18
4.18	7.50727725189e-19
4.2	4.79011292852e-19
4.22	3.04934872957e-19
4.24	1.93671954651e-19
4.26	1.2272270805e-19
4.28	7.75857436151e-20
4.3	4.89370712054e-20
4.32	3.07959294775e-20
4.34	1.93351789846e-20
4.36	1.21116372487e-20
4.38	7.56933155929e-21
4.4	4.71967891744e-21
4.42	2.93607985862e-21
4.44	1.82231725817e-21
4.46	1.12844671275e-21
4.48	6.97170966339e-22
4.5	4.29733215109e-22
4.52	2.64277486303e-22
4.54	1.62152349612e-22
4.56	9.92632238368e-23
4.58	6.06255612323e-23
4.6	3.69424459992e-23
4.62	2.24594032097e-23
4.64	1.36230288161e-23
4.66	8.244270701e-24
4.68	4.97776191978e-24
4.7	2.9986067237e-24
4.72	1.80222335031e-24
4.74	1.08069122456e-24
4.76	6.46544981265e-25
4.78	3.85922559799e-25
4.8	2.29829664576e-25
4.82	1.36557854553e-25
4.84	8.09528533525e-26
4.86	4.78798408513e-26
4.88	2.82539050799e-26
4.9	1.66344978493e-26
4.92	9.77116889242e-27
4.94	5.72649829885e-27
4.96	3.34840299192e-27
4.98	1.95340570691e-27
5.0	1.13698177487e-27
#normalisation = 1.00000044517
