# mass number (A) = 12
# number of protons (Z) = 6
#relative orbital quantum number l = 2
# k (1/fm)	total two_body (fm^3)
0.0	1.02616862214
0.02	1.02502460878
0.04	1.02160021535
0.06	1.01591829672
0.08	1.00801666193
0.1	0.997947655148
0.12	0.985777578258
0.14	0.971585963776
0.16	0.955464709424
0.18	0.937517087456
0.2	0.917856643678
0.22	0.896606002579
0.24	0.873895596139
0.26	0.849862334701
0.28	0.824648238796
0.3	0.79839905095
0.32	0.771262846287
0.34	0.743388660265
0.36	0.71492515101
0.38	0.686019312642
0.4	0.65681525462
0.42	0.627453060559
0.44	0.598067738255
0.46	0.568788270738
0.48	0.53973677625
0.5	0.51102778298
0.52	0.482767622424
0.54	0.455053943167
0.56	0.427975345047
0.58	0.401611131777
0.6	0.376031178443
0.62	0.351295908771
0.64	0.327456375702
0.66	0.304554437652
0.68	0.282623021909
0.7	0.261686465849
0.72	0.241760926146
0.74	0.222854845822
0.76	0.204969468847
0.78	0.188099392075
0.8	0.172233144505
0.82	0.157353784276
0.84	0.143439504286
0.86	0.130464237964
0.88	0.118398257461
0.9	0.107208757286
0.92	0.0968604172728
0.94	0.0873159396232
0.96	0.0785365556465
0.98	0.0704824986791
1.0	0.063113440518
1.02	0.0563888895011
1.04	0.0502685491262
1.06	0.0447126367944
1.08	0.0396821628982
1.1	0.035139171031
1.12	0.0310469405865
1.14	0.0273701534208
1.16	0.0240750265953
1.18	0.0211294134762
1.2	0.0185028756675
1.22	0.0161667283821
1.24	0.0140940619314
1.26	0.0122597420278
1.28	0.0106403915715
1.3	0.00921435651714
1.32	0.00796165831774
1.34	0.00686393530877
1.36	0.00590437524146
1.38	0.00506764100622
1.4	0.00433979140583
1.42	0.00370819865186
1.44	0.00316146406995
1.46	0.00268933331375
1.48	0.00228261220664
1.5	0.00193308415765
1.52	0.00163342993487
1.54	0.00137715042861
1.56	0.00115849289695
1.58	0.000972381061136
1.6	0.000814349305492
1.62	0.000680481137852
1.64	0.000567351980601
1.66	0.00047197628934
1.68	0.000391758934911
1.7	0.000324450734391
1.72	0.000268107976718
1.74	0.000221055757857
1.76	0.000181854917925
1.78	0.000149272357383
1.8	0.000122254500394
1.82	9.99036697571e-05
1.84	8.14571385837e-05
1.86	6.62686283345e-05
1.88	5.37920301462e-05
1.9	4.35671359997e-05
1.92	3.52071775251e-05
1.94	2.83879826649e-05
1.96	2.28385735397e-05
1.98	1.83330423352e-05
2.0	1.4683555533e-05
2.02	1.17343500956e-05
2.04	9.35659809321e-06
2.06	7.44402856987e-06
2.08	5.90920708686e-06
2.1	4.68038427162e-06
2.12	3.69883479992e-06
2.14	2.91661752637e-06
2.16	2.29469595422e-06
2.18	1.80136591624e-06
2.2	1.4109442529e-06
2.22	1.10267846025e-06
2.24	8.59842781936e-07
2.26	6.68991086114e-07
2.28	5.19341149466e-07
2.3	4.02268717664e-07
2.32	3.10892975756e-07
2.34	2.39737891311e-07
2.36	1.84456334773e-07
2.38	1.41605979044e-07
2.4	1.08467774543e-07
2.42	8.28993243517e-08
2.44	6.32167805513e-08
2.46	4.80999783538e-08
2.48	3.65164465795e-08
2.5	2.76607060148e-08
2.52	2.09059128016e-08
2.54	1.57654412638e-08
2.56	1.1862446031e-08
2.58	8.90581133969e-09
2.6	6.67119836743e-09
2.62	4.98615001596e-09
2.64	3.71841578083e-09
2.66	2.76682493369e-09
2.68	2.05417071974e-09
2.7	1.52167712036e-09
2.72	1.12470754721e-09
2.74	8.29445452927e-10
2.76	6.10333452517e-10
2.78	4.48102782438e-10
2.8	3.28260955533e-10
2.82	2.39934080811e-10
2.84	1.74982966266e-10
2.86	1.27329997495e-10
2.88	9.24478486712e-11
2.9	6.69721144118e-11
2.92	4.84085789781e-11
2.94	3.49125668628e-11
2.96	2.51230492187e-11
2.98	1.80382349934e-11
3.0	1.29225093221e-11
3.02	9.23699674026e-12
3.04	6.58788256826e-12
3.06	4.68804779087e-12
3.08	3.32865920941e-12
3.1	2.35818439022e-12
3.12	1.66692979378e-12
3.14	1.17567688665e-12
3.16	8.27350957691e-13
3.18	5.80928509301e-13
3.2	4.06992802433e-13
3.22	2.84499750673e-13
3.24	1.98430384471e-13
3.26	1.38091065332e-13
3.28	9.58857586634e-14
3.3	6.64314543038e-14
3.32	4.59223954153e-14
3.34	3.16742565467e-14
3.36	2.17981405605e-14
3.38	1.49679936391e-14
3.4	1.0255075301e-14
3.42	7.01043940601e-15
3.44	4.78170466018e-15
3.46	3.25425349415e-15
3.48	2.2097906596e-15
3.5	1.4972075545e-15
3.52	1.01214797022e-15
3.54	6.8271136056e-16
3.56	4.59474457272e-16
3.58	3.08543740123e-16
3.6	2.06729868507e-16
3.62	1.38204072153e-16
3.64	9.21869769024e-17
3.66	6.13549250002e-17
3.68	4.07436946397e-17
3.7	2.69961920795e-17
3.72	1.78474318888e-17
3.74	1.1772808493e-17
3.76	7.74846272553e-18
3.78	5.08841049157e-18
3.8	3.33410945504e-18
3.82	2.17976005324e-18
3.84	1.42189867024e-18
3.86	9.25464425482e-19
3.88	6.01010325028e-19
3.9	3.89435249822e-19
3.92	2.5177911806e-19
3.94	1.62418419176e-19
3.96	1.04539874139e-19
3.98	6.71366688884e-20
4.0	4.30198337606e-20
4.02	2.75048188546e-20
