# mass number (A) = 48
# number of protons (Z) = 20
#relative orbital quantum number l = 4
# k (1/fm)	total two_body (fm^3)
0.0	0.445424077592
0.02	0.44493318179
0.04	0.443463438164
0.06	0.441023653619
0.08	0.437628425044
0.1	0.433298017958
0.12	0.428058197761
0.14	0.421940014772
0.16	0.414979544604
0.18	0.407217585781
0.2	0.398699316973
0.22	0.389473916572
0.24	0.379594147837
0.26	0.36911591323
0.28	0.358097782046
0.3	0.346600495834
0.32	0.334686456527
0.34	0.322419202574
0.36	0.309862878638
0.38	0.297081704711
0.4	0.284139450634
0.42	0.271098922089
0.44	0.258021464102
0.46	0.244966487947
0.48	0.231991027116
0.5	0.219149327617
0.52	0.206492477427
0.54	0.19406807932
0.56	0.181919970629
0.58	0.170087992763
0.6	0.158607812447
0.62	0.147510795847
0.64	0.136823935806
0.66	0.126569831572
0.68	0.116766719505
0.7	0.107428552456
0.72	0.0985651247077
0.74	0.0901822387365
0.76	0.0822819094216
0.78	0.0748626008829
0.8	0.0679194907539
0.82	0.0614447564647
0.84	0.0554278779997
0.86	0.0498559516037
0.88	0.0447140090398
0.9	0.0399853372392
0.92	0.0356517935168
0.94	0.0316941119406
0.96	0.0280921969282
0.98	0.0248254006766
1.0	0.0218727815988
1.02	0.0192133415261
1.04	0.0168262400202
1.06	0.01469098471
1.08	0.0127875971135
1.1	0.0110967539099
1.12	0.00959990408564
1.14	0.00827936278068
1.16	0.00711838300518
1.18	0.00610120667775
1.2	0.00521309665576
1.22	0.00444035158496
1.24	0.00377030549538
1.26	0.00319131411528
1.28	0.00269272987136
1.3	0.00226486749766
1.32	0.00189896209302
1.34	0.00158712135609
1.36	0.00132227359276
1.38	0.00109811294082
1.4	0.000909043097159
1.42	0.000750120667431
1.44	0.000616999094425
1.46	0.000505873960697
1.48	0.00041343030878
1.5	0.000336792479914
1.52	0.000273476842164
1.54	0.000221347662103
1.56	0.000178576271719
1.58	0.000143603593874
1.6	0.00011510601547
1.62	9.19645365791e-05
1.64	7.32370755537e-05
1.66	5.81337732784e-05
1.68	4.5995113186e-05
1.7	3.62726561019e-05
1.72	2.85121791681e-05
1.74	2.23390047573e-05
1.76	1.74453072459e-05
1.78	1.35791916682e-05
1.8	1.05353476234e-05
1.82	8.1470934694e-06
1.84	6.27963905351e-06
1.86	4.82440933586e-06
1.88	3.69428573667e-06
1.9	2.81963643705e-06
1.92	2.14502085672e-06
1.94	1.62646686565e-06
1.96	1.22923178321e-06
1.98	9.25969763591e-07
2.0	6.95238697009e-07
2.02	5.20289252063e-07
2.04	3.88087158432e-07
2.06	2.8852731762e-07
2.08	2.13804888517e-07
2.1	1.57914190878e-07
2.12	1.16251177751e-07
2.14	8.5299424627e-08
2.16	6.23831457261e-08
2.18	4.54737514025e-08
2.2	3.30389759348e-08
2.22	2.3925697855e-08
2.24	1.72693055386e-08
2.26	1.24238831102e-08
2.28	8.90865383014e-09
2.3	6.36706218356e-09
2.32	4.53563851332e-09
2.34	3.22040270322e-09
2.36	2.27905297947e-09
2.38	1.60757502027e-09
2.4	1.13021425261e-09
2.42	7.91996273082e-10
2.44	5.53169798929e-10
2.46	3.8509412934e-10
2.48	2.67207477609e-10
2.5	1.84800762366e-10
2.52	1.27389176364e-10
2.54	8.75256023226e-11
2.56	5.99393031011e-11
2.58	4.09131083538e-11
2.6	2.78347726897e-11
2.62	1.88750241153e-11
2.64	1.27574010311e-11
2.66	8.5943292261e-12
2.68	5.77081411407e-12
2.7	3.86222654581e-12
2.72	2.57640544553e-12
2.74	1.71303693058e-12
2.76	1.13526055795e-12
2.78	7.49895825633e-13
2.8	4.93722756782e-13
2.82	3.23998082657e-13
2.84	2.11923484685e-13
2.86	1.38163508363e-13
2.88	8.97812213948e-14
2.9	5.8150818117e-14
2.92	3.75408919312e-14
2.94	2.41563914364e-14
2.96	1.54931070514e-14
2.98	9.90431069368e-15
3.0	6.31087444249e-15
3.02	4.00806407115e-15
3.04	2.53723026833e-15
3.06	1.60090480108e-15
3.08	1.00681993925e-15
3.1	6.31130355247e-16
3.12	3.94337040647e-16
3.14	2.45582605734e-16
3.16	1.52443686355e-16
3.18	9.43199089609e-17
3.2	5.81674034193e-17
3.22	3.57551527432e-17
3.24	2.19068802855e-17
3.26	1.33784453865e-17
3.28	8.14355929911e-18
3.3	4.94090670254e-18
3.32	2.98801724164e-18
3.34	1.80112509839e-18
3.36	1.08215449245e-18
3.38	6.48066452434e-19
3.4	3.86843205978e-19
3.42	2.301631751e-19
3.44	1.36496781451e-19
3.46	8.06854002125e-20
3.48	4.75394057947e-20
3.5	2.79189482559e-20
3.52	1.63429758293e-20
3.54	9.53564925342e-21
3.56	5.54570427397e-21
3.58	3.21477599848e-21
3.6	1.85751598458e-21
3.62	1.06979975415e-21
3.64	6.14130656293e-22
3.66	3.51404781005e-22
3.68	2.00421087724e-22
3.7	1.13937917293e-22
3.72	6.45628216604e-23
3.74	3.64658501009e-23
3.76	2.05295790279e-23
3.78	1.1520301721e-23
3.8	6.44374010508e-24
3.82	3.59254960366e-24
3.84	1.99644967566e-24
3.86	1.10587244665e-24
3.88	6.10580628046e-25
3.9	3.36025746527e-25
3.92	1.843290869e-25
3.94	1.00787623549e-25
3.96	5.49304030469e-26
3.98	2.9840826121e-26
4.0	1.61585208066e-26
4.02	8.72138162064e-27
4.04	4.69204459655e-27
4.06	2.51612577651e-27
4.08	1.34491908777e-27
4.1	7.16562012989e-28
4.12	3.80544487665e-28
4.14	2.01442607766e-28
4.16	1.06289825306e-28
4.18	5.59019197032e-29
4.2	2.93060058054e-29
4.22	1.53137526945e-29
4.24	7.97630812794e-30
4.26	4.14111905229e-30
4.28	2.14303474908e-30
4.3	1.10544366489e-30
4.32	5.68381746423e-31
4.34	2.9129962949e-31
4.36	1.48811413587e-31
4.38	7.57755760902e-32
4.4	3.8460873158e-32
4.42	1.94583545415e-32
4.44	9.81274142216e-33
4.46	4.93255635614e-33
4.48	2.47144757489e-33
4.5	1.23432231327e-33
4.52	6.14474368721e-34
4.54	3.04913856691e-34
4.56	1.50816524315e-34
4.58	7.43565534927e-35
4.6	3.65416631395e-35
4.62	1.79001338577e-35
4.64	8.74023949315e-36
4.66	4.2539232099e-36
4.68	2.06374193555e-36
4.7	9.97977461077e-37
4.72	4.81045156539e-37
4.74	2.3112711389e-37
4.76	1.10691952724e-37
4.78	5.28422703724e-38
4.8	2.51447498299e-38
4.82	1.19265205665e-38
4.84	5.63872553978e-39
4.86	2.65735185503e-39
4.88	1.24829789318e-39
4.9	5.84505548362e-40
4.92	2.72810083651e-40
4.94	1.26921072513e-40
4.96	5.88584382158e-41
4.98	2.72073079346e-41
5.0	1.25361562596e-41
