# mass number (A) = 56
# number of protons (Z) = 26
# P (GeV)	cm two_body (GeV^-3)
0.0	4.59386331433
0.02	4.59078711706
0.04	4.5815764109
0.06	4.56628453386
0.08	4.54499933037
0.1	4.51784161072
0.12	4.48496306828
0.14	4.44654372439
0.16	4.40278898541
0.18	4.35392640701
0.2	4.30020226753
0.22	4.24187805409
0.24	4.1792269631
0.26	4.11253051008
0.28	4.04207533341
0.3	3.96815026335
0.32	3.89104371126
0.34	3.81104141705
0.36	3.72842457433
0.38	3.64346833536
0.4	3.55644068127
0.42	3.46760162865
0.44	3.37720273214
0.46	3.28548683411
0.48	3.19268800778
0.5	3.0990316387
0.52	3.0047345917
0.54	2.91000541572
0.56	2.81504454605
0.58	2.72004447369
0.6	2.62518986122
0.62	2.53065759594
0.64	2.43661678064
0.66	2.34322867171
0.68	2.25064658109
0.7	2.15901576351
0.72	2.0684733131
0.74	1.97914809283
0.76	1.89116071837
0.78	1.80462361307
0.8	1.71964114492
0.82	1.63630984907
0.84	1.55471873233
0.86	1.4749496484
0.88	1.39707772651
0.9	1.32117183081
0.92	1.24729502421
0.94	1.17550500927
0.96	1.1058545188
0.98	1.03839163146
1.0	0.973159992014
1.02	0.910198921386
1.04	0.849543408664
1.06	0.791223984332
1.08	0.73526648167
1.1	0.681691700199
1.12	0.630514991349
1.14	0.581745791535
1.16	0.535387131432
1.18	0.491435152115
1.2	0.449878659006
1.22	0.41069874304
1.24	0.373868495578
1.26	0.339352839238
1.28	0.307108491622
1.3	0.277084072893
1.32	0.249220361916
1.34	0.223450699371
1.36	0.199701530303
1.38	0.177893073233
1.4	0.157940098415
1.42	0.139752794301
1.44	0.123237698835
1.46	0.10829867084
1.48	0.0948378765425
1.5	0.0827567670244
1.52	0.0719570240708
1.54	0.0623414542378
1.56	0.0538148139396
1.58	0.0462845516685
1.6	0.0396614569945
1.62	0.0338602095557
1.64	0.0287998246938
1.66	0.0244039955934
1.68	0.0206013346456
1.7	0.0173255192029
1.72	0.0145153488821
1.74	0.0121147230902
1.76	0.0100725484891
1.78	0.00834258671925
1.8	0.00688325289712
1.82	0.00565737524022
1.84	0.00463192572203
1.86	0.00377773096669
1.88	0.00306917173046
1.9	0.00248387833667
1.92	0.00200242838792
1.94	0.00160805201989
1.96	0.00128634892435
1.98	0.00102502038646
2.0	0.000813618676184
2.02	0.000643315322942
2.04	0.000506689094808
2.06	0.000397533903969
2.08	0.000310686366677
2.1	0.00024187235472
2.12	0.000187571578547
2.14	0.000144899030279
2.16	0.000111501977329
2.18	8.54711230654e-05
2.2	6.52645289996e-05
2.22	4.96429127256e-05
2.24	3.76149877322e-05
2.26	2.83915864781e-05
2.28	2.13473992957e-05
2.3	1.59892623693e-05
2.32	1.19300330072e-05
2.34	8.86719554167e-06
2.36	6.56544328137e-06
2.38	4.84257870558e-06
2.4	3.55816396472e-06
2.42	2.60443579896e-06
2.44	1.89907275436e-06
2.46	1.37946801051e-06
2.48	9.98218466906e-07
2.5	7.19590408382e-07
2.52	5.16764659106e-07
2.54	3.69700296209e-07
2.56	2.63486416838e-07
2.58	1.87076825641e-07
