# mass number (A) = 4
# number of protons (Z) = 2
# P (GeV)	cm two_body (GeV^-3)
0.0	7.6306151143
0.02	7.62374221136
0.04	7.60316062284
0.06	7.56898137566
0.08	7.52138840573
0.1	7.46063690925
0.12	7.38705106344
0.14	7.30102114533
0.16	7.20300008448
0.18	7.09349949201
0.2	6.97308521489
0.22	6.84237246932
0.24	6.70202061188
0.26	6.55272761037
0.28	6.39522427923
0.3	6.23026834583
0.32	6.05863841481
0.34	5.88112789718
0.36	5.69853896979
0.38	5.51167662868
0.4	5.32134289671
0.42	5.12833124229
0.44	4.93342126144
0.46	4.73737367068
0.48	4.54092565228
0.5	4.34478658799
0.52	4.14963421081
0.54	3.95611119826
0.56	3.76482222389
0.58	3.57633147778
0.6	3.39116066016
0.62	3.20978744642
0.64	3.03264441618
0.66	2.86011843362
0.68	2.69255046136
0.7	2.53023578613
0.72	2.37342463032
0.74	2.22232312043
0.76	2.07709458083
0.78	1.93786111919
0.8	1.80470546836
0.82	1.6776730488
0.84	1.55677421535
0.86	1.44198665213
0.88	1.33325788034
0.9	1.23050784473
0.92	1.13363154604
0.94	1.04250168868
0.96	0.956971314883
0.98	0.876876399341
1.0	0.802038380366
1.02	0.732266606788
1.04	0.667360682269
1.06	0.607112691586
1.08	0.551309296186
1.1	0.499733688988
1.12	0.452167400988
1.14	0.408391954703
1.16	0.368190361767
1.18	0.331348464118
1.2	0.297656120147
1.22	0.266908238892
1.24	0.23890566688
1.26	0.213455933512
1.28	0.190373861961
1.3	0.169482053449
1.32	0.150611253434
1.34	0.133600608732
1.36	0.118297824905
1.38	0.10455923342
1.4	0.0922497780762
1.42	0.0812429300661
1.44	0.0714205408285
1.46	0.0626726414947
1.48	0.0548971973306
1.5	0.0479998250974
1.52	0.041893480728
1.54	0.0364981241564
1.56	0.0317403675532
1.58	0.0275531126262
1.6	0.023875182049
1.62	0.0206509494969
1.64	0.0178299721948
1.66	0.0153666293386
1.68	0.0132197692296
1.7	0.0113523674744
1.72	0.00973119815134
1.74	0.00832651942732
1.76	0.00711177473416
1.78	0.00606331027229
1.8	0.00516010931067
1.82	0.0043835434874
1.84	0.00371714108794
1.86	0.00314637208364
1.88	0.00265844955115
1.9	0.00224214696031
1.92	0.00188763071239
1.94	0.00158630722907
1.96	0.00133068383274
1.98	0.00111424261904
2.0	0.000931326498594
2.02	0.00077703657664
2.04	0.000647140042841
2.06	0.000537987757292
2.08	0.000446440741391
2.1	0.000369804811204
2.12	0.000305772625256
2.14	0.000252372456692
2.16	0.000207923040434
2.18	0.000170993888095
2.2	0.000140370506284
2.22	0.000115023996647
2.24	9.40845580882e-05
2.26	7.68184524194e-05
2.28	6.26080339968e-05
2.3	5.09344812767e-05
2.32	4.13629035503e-05
2.34	3.35295292084e-05
2.36	2.71307126826e-05
2.38	2.19135256923e-05
2.4	1.76677245994e-05
2.42	1.42189095991e-05
2.44	1.14227132249e-05
2.46	9.15987532966e-06
2.48	7.33207941635e-06
2.5	5.85844107866e-06
2.52	4.67255348067e-06
2.54	3.72000740083e-06
2.56	2.9563145129e-06
2.58	2.34517240524e-06
2.6	1.85701847233e-06
2.62	1.46782736731e-06
2.64	1.15811329205e-06
2.66	9.12104125532e-07
2.68	7.17059348959e-07
2.7	5.62708004915e-07
2.72	4.40786609424e-07
2.74	3.44660092731e-07
2.76	2.69011543819e-07
2.78	2.09588834033e-07
2.8	1.62998149869e-07
2.82	1.26536120933e-07
2.84	9.80536279228e-08
2.86	7.58455536062e-08
2.88	5.85617293151e-08
2.9	4.51351581521e-08
2.92	3.4724288253e-08
2.94	2.66666858923e-08
2.96	2.0441937048e-08
2.98	1.56420026865e-08
3.0	1.19475807439e-08
3.02	9.10929781305e-09
3.04	6.93277548361e-09
3.06	5.26679821188e-09
3.08	3.99395834864e-09
3.1	3.02327527271e-09
3.12	2.28438426993e-09
3.14	1.72297088392e-09
3.16	1.29719129147e-09
3.18	9.74871600413e-10
3.2	7.3132113027e-10
3.22	5.47628615192e-10
3.24	4.09337424866e-10
3.26	3.05417615027e-10
3.28	2.27469942758e-10
3.3	1.69110768706e-10
3.32	1.25497714715e-10
3.34	9.29646160105e-11
3.36	6.87411590553e-11
3.38	5.0737998331e-11
3.4	3.73823946083e-11
3.42	2.7492751956e-11
3.44	2.01830417479e-11
3.46	1.47901415931e-11
3.48	1.08187068586e-11
3.5	7.89942870084e-12
3.52	5.75749172185e-12
3.54	4.18878692574e-12
3.56	3.04200921243e-12
3.58	2.20521068962e-12
3.6	1.59572100412e-12
3.62	1.15260670766e-12
3.64	8.31041347593e-13
3.66	5.98110504911e-13
3.68	4.29692265792e-13
3.7	3.0814203878e-13
3.72	2.20577736167e-13
3.74	1.57612155002e-13
3.76	1.12417791089e-13
3.78	8.00382706469e-14
3.8	5.68823661879e-14
3.82	4.03529156609e-14
3.84	2.85752141688e-14
3.86	2.01986050292e-14
3.88	1.42518278645e-14
3.9	1.00377660195e-14
3.92	7.05701233172e-15
3.94	4.95247159269e-15
3.96	3.46928851474e-15
3.98	2.42591819654e-15
4.0	1.69328162013e-15
4.02	1.17977596707e-15
4.04	8.20516283428e-16
4.06	5.69629105711e-16
4.08	3.94743009662e-16
4.1	2.73057451555e-16
4.12	1.88543222572e-16
4.14	1.29952646189e-16
4.16	8.94080529747e-17
4.18	6.140241548e-17
4.2	4.20931651247e-17
4.22	2.8804146993e-17
4.24	1.96750462781e-17
4.26	1.34150969314e-17
4.28	9.1303867919e-18
4.3	6.20300091827e-18
4.32	4.20660586873e-18
4.34	2.84760082316e-18
4.36	1.92417117625e-18
4.38	1.29785330709e-18
4.4	8.73825712873e-19
4.42	5.87274765732e-19
4.44	3.93980901063e-19
4.46	2.63831293334e-19
4.48	1.76357832367e-19
4.5	1.17673997336e-19
4.52	7.83760855812e-20
4.54	5.21079443311e-20
4.56	3.45813242646e-20
4.58	2.29084976256e-20
4.6	1.51484746716e-20
4.62	9.99904470954e-21
4.64	6.5881795089e-21
4.66	4.3330095484e-21
4.68	2.84466531e-21
4.7	1.86418932094e-21
4.72	1.21945608001e-21
4.74	7.96268653713e-22
4.76	5.1900361635e-22
4.78	3.37674648914e-22
4.8	2.19302629238e-22
4.82	1.42169530266e-22
4.84	9.19997245314e-23
4.86	5.94270037236e-23
4.88	3.83176132239e-23
4.9	2.46621181084e-23
4.92	1.5844538922e-23
4.94	1.01612268371e-23
4.96	6.50474080605e-24
4.98	4.15653224334e-24
5.0	2.65124352044e-24
#normalisation = 1.00000000005
