# mass number (A) = 16
# number of protons (Z) = 8
# P (GeV)	cm two_body (GeV^-3)
0.0	5.60056066735
0.02	5.59678230768
0.04	5.58546311774
0.06	5.56665059405
0.08	5.54042333263
0.1	5.5068901971
0.12	5.46618918408
0.14	5.4184860146
0.16	5.36397248657
0.18	5.30286462816
0.2	5.23540069575
0.22	5.16183906184
0.24	5.08245603858
0.26	4.99754368148
0.28	4.90740761484
0.3	4.81236491654
0.32	4.71274209424
0.34	4.60887317927
0.36	4.50109795735
0.38	4.38976034841
0.4	4.27520694067
0.42	4.15778567727
0.44	4.03784468753
0.46	3.91573124956
0.48	3.79179086625
0.5	3.66636643372
0.52	3.53979747879
0.54	3.41241944167
0.56	3.28456297999
0.58	3.15655327242
0.6	3.02870930231
0.62	2.90134310571
0.64	2.77475897207
0.66	2.64925259092
0.68	2.52511014257
0.7	2.4026073362
0.72	2.28200840323
0.74	2.16356505864
0.76	2.04751544644
0.78	1.93408308911
0.8	1.82347586264
0.82	1.71588502084
0.84	1.61148429251
0.86	1.51042907519
0.88	1.41285574751
0.9	1.31888112027
0.92	1.22860204353
0.94	1.1420951835
0.96	1.05941697934
0.98	0.980603785717
1.0	0.905672202661
1.02	0.834619590233
1.04	0.767424761062
1.06	0.704048840251
1.08	0.644436278559
1.1	0.588516001828
1.12	0.536202677209
1.14	0.487398074888
1.16	0.441992502807
1.18	0.399866291255
1.2	0.360891304204
1.22	0.324932454802
1.24	0.291849203497
1.26	0.261497018737
1.28	0.233728782082
1.3	0.208396121682
1.32	0.185350660471
1.34	0.164445167881
1.36	0.145534606467
1.38	0.128477067327
1.4	0.113134590674
1.42	0.0993738702214
1.44	0.0870668421873
1.46	0.0760911616166
1.48	0.0663305704282
1.5	0.0576751629822
1.52	0.0500215561274
1.54	0.0432729715717
1.56	0.0373392390462
1.58	0.0321367291224
1.6	0.0275882247063
1.62	0.0236227401946
1.64	0.0201752970716
1.66	0.0171866643602
1.68	0.0146030718658
1.7	0.0123759035742
1.72	0.0104613779233
1.74	0.00882022097935
1.76	0.00741733784081
1.78	0.00622148687625
