# mass number (A) = 16
# number of protons (Z) = 8
#relative orbital quantum number l = 2
# k (1/fm)	total two_body (fm^3)
0.0	1.40955522487
0.02	1.40787494126
0.04	1.40284609893
0.06	1.39450458049
0.08	1.38290971627
0.1	1.36814358154
0.12	1.35031002904
0.14	1.32953347265
0.16	1.30595744235
0.18	1.27974293363
0.2	1.25106657816
0.22	1.22011866469
0.24	1.18710104107
0.26	1.15222492977
0.28	1.11570868977
0.3	1.07777555785
0.32	1.03865140162
0.34	0.998562515417
0.36	0.95773348873
0.38	0.916385174182
0.4	0.874732779828
0.42	0.832984107304
0.44	0.791337954161
0.46	0.749982695211
0.48	0.709095054124
0.5	0.668839072863
0.52	0.629365282961
0.54	0.59081007916
0.56	0.553295292602
0.58	0.516927957754
0.6	0.481800264399
0.62	0.447989683652
0.64	0.415559254816
0.66	0.384558018211
0.68	0.355021577791
0.7	0.326972776413
0.72	0.300422466101
0.74	0.275370355438
0.76	0.25180591639
0.78	0.229709333328
0.8	0.20905247775
0.82	0.189799893213
0.84	0.171909776113
0.86	0.15533493936
0.88	0.140023747376
0.9	0.12592101242
0.92	0.112968843797
0.94	0.101107443063
0.96	0.0902758399005
0.98	0.0804125647936
1.0	0.0714562560417
1.02	0.0633461999517
1.04	0.0560228042109
1.06	0.0494280055031
1.08	0.0435056133385
1.1	0.0382015928453
1.12	0.0334642899043
1.14	0.0292446025092
1.16	0.0254961026087
1.18	0.0221751129319
1.2	0.0192407434442
1.22	0.0166548921139
1.24	0.0143822146227
1.26	0.0123900675302
1.28	0.0106484292095
1.3	0.00912980263516
1.32	0.00780910382344
1.34	0.00666353941766
1.36	0.0056724765846
1.38	0.00481730805322
1.4	0.00408131478903
1.42	0.00344952846657
1.44	0.00290859558181
1.46	0.00244664474211
1.48	0.00205315838653
1.5	0.00171884992618
1.52	0.0014355470558
1.54	0.00119608177315
1.56	0.000994187454039
1.58	0.000824403165901
1.6	0.000681985262833
1.62	0.000562826186567
1.64	0.000463380301467
1.66	0.000380596514274
1.68	0.000311857369742
1.7	0.000254924269449
1.72	0.000207888431079
1.74	0.000169127187356
1.76	0.000137265215993
1.78	0.000111140292555
1.8	8.97731656819e-05
1.82	7.23411670788e-05
1.84	5.81551859071e-05
1.86	4.66396574852e-05
1.88	3.7315238596e-05
1.9	2.97838653564e-05
1.92	2.37159138174e-05
1.94	1.88392076726e-05
1.96	1.49296411867e-05
1.98	1.18032083496e-05
2.0	9.30925106258e-06
2.02	7.32475966059e-06
2.04	5.74957815732e-06
2.06	4.50238419508e-06
2.08	3.51732976343e-06
2.1	2.74124333884e-06
2.12	2.13130723011e-06
2.14	1.65313565771e-06
2.16	1.27918952827e-06
2.18	9.8747307779e-07
2.2	7.60465644851e-07
2.22	5.84248896038e-07
2.24	4.47795957331e-07
2.26	3.42394202938e-07
2.28	2.61178007364e-07
2.3	1.98751663265e-07
2.32	1.50885986244e-07
2.34	1.14274941226e-07
2.36	8.63409998938e-08
2.38	6.50799345569e-08
2.4	4.8937424324e-08
2.42	3.67112417454e-08
2.44	2.74739439528e-08
2.46	2.05119480447e-08
2.48	1.52776576604e-08
2.5	1.13519535946e-08
2.52	8.41488928954e-09
2.54	6.22286203555e-09
2.56	4.59087961998e-09
2.58	3.37882426242e-09
2.6	2.48084293599e-09
2.62	1.81717562096e-09
2.64	1.32787899276e-09
2.66	9.68019409919e-10
2.68	7.04001520595e-10
2.7	5.10772016157e-10
2.72	3.69695836968e-10
2.74	2.66947582014e-10
2.76	1.92296504216e-10
2.78	1.38191316284e-10
2.8	9.90727195148e-11
2.82	7.08584065521e-11
2.84	5.05583213207e-11
2.86	3.59880136188e-11
2.88	2.55556583297e-11
2.9	1.81042374322e-11
2.92	1.2794913868e-11
2.94	9.02107852579e-12
2.96	6.34517385882e-12
2.98	4.45238341102e-12
3.0	3.11677572071e-12
3.02	2.17661949581e-12
3.04	1.51643375844e-12
3.06	1.05397021932e-12
3.08	7.30797750769e-13
3.1	5.05510325445e-13
3.12	3.48840440442e-13
3.14	2.40152763207e-13
3.16	1.64934806922e-13
3.18	1.13005872126e-13
3.2	7.72420288984e-14
3.22	5.26708468111e-14
3.24	3.5830337193e-14
3.26	2.43161859747e-14
3.28	1.64628106787e-14
3.3	1.11192751713e-14
3.32	7.49226169957e-15
