#k	cm_distr
0.0	232910.6
0.00394654	232741.4
0.00789308	232234.9
0.0118396	231394.4
0.0157862	230225.1
0.0197327	228734.4
0.0236792	226931.4
0.0276258	224827.1
0.0315723	222434.0
0.0355189	219765.9
0.0394654	216837.9
0.0434119	213666.1
0.0473585	210267.3
0.051305	206658.3
0.0552516	202857.2
0.0591981	198881.4
0.0631446	194748.1
0.0670912	190475.7
0.0710377	186079.7
0.0749843	181576.8
0.0789308	176982.6
0.0828773	172311.7
0.0868239	167577.9
0.0907704	162794.2
0.094717	157973.0
0.0986635	153125.1
0.10261	148261.2
0.106557	143390.6
0.110503	138522.4
0.11445	133664.4
0.118396	128824.4
0.122343	124007.5
0.126289	119226.3
0.130236	114481.0
0.134182	109779.6
0.138129	105128.1
0.142075	100532.1
0.146022	95997.1
0.149969	91528.8
0.153915	87132.5
0.157862	82813.8
0.161808	78578.3
0.165755	74431.22
0.169701	70378.39
0.173648	66423.31
0.177594	62573.12
0.181541	58831.73
0.185487	55203.92
0.189434	51693.83
0.19338	48305.55
0.197327	45042.48
0.201274	41907.65
0.20522	38903.81
0.209167	36032.55
0.213113	33295.53
0.21706	30693.43
0.221006	28226.4
0.224953	25894.14
0.228899	23690.53
0.232846	21628.97
0.236792	19692.19
0.240739	17882.51
0.244685	16196.67
0.248632	14630.98
0.252579	13181.37
0.256525	11843.38
0.260472	10612.28
0.264418	9483.1
0.268365	8450.67
0.272311	7509.7
0.276258	6654.839
0.280204	5880.658
0.284151	5181.831
0.288097	4553.049
0.292044	3989.114
0.29599	3484.977
0.299937	3035.765
0.303884	2636.784
0.30783	2283.58
0.311777	1971.917
0.315723	1697.8
0.31967	1457.498
0.323616	1247.523
0.327563	1064.645
0.331509	905.885
0.335456	768.518
0.339402	650.0425
0.343349	548.1958
0.347296	460.9273
0.351242	386.3946
0.355189	322.9471
0.359135	269.1091
0.363082	223.5753
0.367028	185.1889
0.370975	152.9329
0.374921	125.9159
0.378868	103.3602
0.382814	84.5901
0.386761	69.02011
0.390707	56.14673
0.394654	45.53675
0.398601	36.82069
0.402547	29.6832
0.406494	23.85722
0.41044	19.11698
0.414387	15.27243
0.418333	12.16428
0.42228	9.65951
0.426226	7.64739
0.430173	6.036161
0.434119	4.750062
0.438066	3.726744
0.442012	2.915076
0.445959	2.273319
0.449906	1.767519
0.453852	1.370124
0.457799	1.058881
0.461745	0.815894
0.465692	0.6267627
0.469638	0.4800337
0.473585	0.3665524
0.477531	0.2790576
0.481478	0.2118114
0.485424	0.1602879
0.489371	0.1209344
0.493318	0.0909697
0.497264	0.0682247
0.501211	0.05101367
0.505157	0.03803042
0.509104	0.02826683
0.51305	0.02094715
0.516997	0.01547657
0.520943	0.0114006
0.52489	0.00837306
0.528836	0.006131203
0.532783	0.004475518
0.536729	0.003258257
0.540676	0.002364635
0.544623	0.001711106
0.548569	0.001234685
0.552516	0.000888288
0.556462	0.0006372193
0.560409	0.0004557871
0.564355	0.0003245735
0.568302	0.0002307046
0.572248	0.0001627684
0.576195	0.000115281
0.580141	8.13846e-05
0.584088	5.716458e-05
0.588034	4.003375e-05
0.591981	2.795399e-05
