#k	cm_distr
0.0	49240.19
0.00394654	49205.79
0.00789308	49102.19
0.0118396	48930.06
0.0157862	48690.01
0.0197327	48383.46
0.0236792	48011.2
0.0276258	47575.13
0.0315723	47077.02
0.0355189	46518.92
0.0394654	45903.14
0.0434119	45231.92
0.0473585	44508.2
0.051305	43734.86
0.0552516	42914.67
0.0591981	42050.73
0.0631446	41146.36
0.0670912	40204.73
0.0710377	39229.21
0.0749843	38223.25
0.0789308	37189.98
0.0828773	36133.17
0.0868239	35055.99
0.0907704	33961.86
0.094717	32854.0
0.0986635	31735.92
0.10261	30610.63
0.106557	29481.41
0.110503	28351.16
0.11445	27223.02
0.118396	26099.72
0.122343	24984.09
0.126289	23878.7
0.130236	22786.07
0.134182	21708.6
0.138129	20648.57
0.142075	19607.96
0.146022	18588.83
0.149969	17592.97
0.153915	16622.02
0.157862	15677.49
0.161808	14760.72
0.165755	13872.87
0.169701	13015.0
0.173648	12187.95
0.177594	11392.38
0.181541	10628.91
0.185487	9897.85
0.189434	9199.47
0.19338	8533.83
0.197327	7900.92
0.201274	7300.47
0.20522	6732.218
0.209167	6195.674
0.213113	5690.307
0.21706	5215.426
0.221006	4770.259
0.224953	4353.985
0.228899	3965.66
0.232846	3604.303
0.236792	3268.861
0.240739	2958.258
0.244685	2671.356
0.248632	2407.014
0.252579	2164.069
0.256525	1941.345
0.260472	1737.676
0.264418	1551.901
0.268365	1382.876
0.272311	1229.481
0.276258	1090.627
0.280204	965.255
0.284151	852.344
0.288097	750.916
0.292044	660.038
0.29599	578.8212
0.299937	506.4201
0.303884	442.05
0.30783	384.9627
0.311777	334.4662
0.315723	289.915
0.31967	250.7079
0.323616	216.2951
0.327563	186.1667
0.331509	159.8578
0.335456	136.9425
0.339402	117.0353
0.343349	99.7849
0.347296	84.8757
0.351242	72.0231
0.355189	60.97147
0.359135	51.49293
0.363082	43.38457
0.367028	36.46605
0.370975	30.5777
0.374921	25.57909
0.378868	21.34661
0.382814	17.77196
0.386761	14.76059
0.390707	12.2302
0.394654	10.10939
0.398601	8.33639
0.402547	6.85792
0.406494	5.628172
0.41044	4.607896
0.414387	3.76356
0.418333	3.066596
0.42228	2.492719
0.426226	2.021404
0.430173	1.635282
0.434119	1.319751
0.438066	1.06256
0.442012	0.853447
0.445959	0.683848
0.449906	0.5466446
0.453852	0.4359262
0.457799	0.346803
0.461745	0.2752418
0.465692	0.217926
0.469638	0.1721342
0.473585	0.1356401
0.477531	0.1066285
0.481478	0.0836222
0.485424	0.0654235
0.489371	0.05106331
0.493318	0.03976022
0.497264	0.03088552
0.501211	0.0239346
0.505157	0.01850337
0.509104	0.01427087
0.51305	0.0109804
0.516997	0.00842855
0.520943	0.00645442
0.52489	0.004931371
0.528836	0.003758544
0.532783	0.002858288
0.536729	0.002168217
0.540676	0.001640859
0.544623	0.001238828
0.548569	0.000933083
0.552516	0.000701136
0.556462	0.0005255957
0.560409	0.000393216
0.564355	0.0002933453
0.568302	0.0002182784
0.572248	0.0001620789
0.576195	0.0001200614
0.580141	8.88914e-05
0.584088	6.55593e-05
0.588034	4.831428e-05
0.591981	3.547043e-05
