#k	cm_distr
0.0	746.063196623
0.00394654	745.541984703
0.00789308	743.97228834
0.0118396	741.364259044
0.0157862	737.727139237
0.0197327	733.082444062
0.0236792	727.442143211
0.0276258	720.835024551
0.0315723	713.287906255
0.0355189	704.831848916
0.0394654	695.50185252
0.0434119	685.331856449
0.0473585	674.36640614
0.051305	662.649137939
0.0552516	650.222021528
0.0591981	637.132026585
0.0631446	623.429456121
0.0670912	609.162340421
0.0710377	594.38174007
0.0749843	579.139927777
0.0789308	563.484327765
0.0828773	547.472061223
0.0868239	531.151158438
0.0907704	514.573437569
0.094717	497.787686478
0.0986635	480.847086962
0.10261	463.797245064
0.106557	446.687857735
0.110503	429.562864351
0.11445	412.469840651
0.118396	395.450150257
0.122343	378.546671938
0.126289	361.798345076
0.130236	345.243351471
0.134182	328.918054748
0.138129	312.857000347
0.142075	297.090188256
0.146022	281.648830585
0.149969	266.560048535
0.153915	251.848690582
0.157862	237.537635505
0.161808	223.647186326
0.165755	210.194918796
0.169701	197.196893514
0.173648	184.665837749
0.177594	172.611751497
0.181541	161.044028693
0.185487	149.967366306
0.189434	139.385855242
0.19338	129.300404593
0.197327	119.710862843
0.201274	110.613139085
0.20522	102.003263624
0.209167	93.8738122187
0.213113	86.2167394193
0.21706	79.0215755323
0.221006	72.2766235926
0.224953	65.9694442111
0.228899	60.0857343629
0.232846	54.6106304175
0.236792	49.5281778356
0.240739	44.8220735931
0.244685	40.4750752724
0.248632	36.4698950016
0.252579	32.7889115751
0.256525	29.4143068182
0.260472	26.328414071
0.264418	23.5136424312
0.268365	20.9526585721
0.272311	18.6284928033
0.276258	16.5246451312
0.280204	14.6250701075
0.284151	12.9142980411
0.288097	11.3775107561
0.292044	10.0005718941
0.29599	8.77001479371
0.299937	7.67302885387
0.303884	6.69772468521
0.30783	5.83276592846
0.311777	5.06766773919
0.315723	4.39264981815
0.31967	3.79860307795
0.323616	3.27719721877
0.327563	2.82070648604
0.331509	2.42208694307
0.335456	2.07488556205
0.339402	1.77326143615
0.343349	1.51189184016
0.347296	1.28599495773
0.351242	1.09125866932
0.355189	0.923809794621
0.359135	0.780195607679
0.363082	0.657341715747
0.367028	0.552515695638
0.370975	0.463298305863
0.374921	0.387561819971
0.378868	0.323433359897
0.382814	0.269272017185
0.386761	0.22364521663
0.390707	0.185305989017
0.394654	0.153172516583
0.398601	0.126308890597
0.402547	0.103907838645
0.406494	0.0852753003891
0.41044	0.0698165790885
0.414387	0.0570236143338
0.418333	0.0464635578074
0.42228	0.0377684551059
0.426226	0.0306273215011
0.430173	0.0247769904279
0.434119	0.0199962195476
0.438066	0.0160993877197
0.442012	0.0129310101559
0.445959	0.0103613293305
0.449906	0.00828249073963
0.453852	0.00660493987257
0.457799	0.00525458887909
0.461745	0.00417032869191
0.465692	0.00330190781529
0.469638	0.00260809293181
0.473585	0.00205515223634
0.477531	0.00161558270919
0.481478	0.00126700254082
0.485424	0.000991264768561
0.489371	0.000773686216255
0.493318	0.000602427343023
0.497264	0.000467962243455
0.501211	0.000362645314445
0.505157	0.0002803539826
0.509104	0.000216225219496
0.51305	0.000166369632696
0.516997	0.000127705253694
0.520943	9.77942046436e-05
0.52489	7.47177135587e-05
0.528836	5.69476143632e-05
0.532783	4.33073772085e-05
0.536729	3.28517600357e-05
0.540676	2.48614903953e-05
0.544623	1.87701139607e-05
0.548569	1.41376157504e-05
0.552516	1.06232686232e-05
0.556462	7.96356813557e-06
0.560409	5.95781588014e-06
0.564355	4.44462404049e-06
0.568302	3.30724720716e-06
0.572248	2.45573996037e-06
0.576195	1.81911141844e-06
0.580141	1.34683887362e-06
0.584088	9.93322343524e-07
0.588034	7.32034262649e-07
0.591981	5.37430549951e-07
