#k	cm_distr
0.0	946096.0
0.00394654	945468.0
0.00789308	943590.0
0.0118396	940474.0
0.0157862	936139.0
0.0197327	930613.0
0.0236792	923929.0
0.0276258	916126.0
0.0315723	907253.0
0.0355189	897357.0
0.0394654	886488.0
0.0434119	874703.0
0.0473585	862059.0
0.051305	848612.0
0.0552516	834420.0
0.0591981	819535.0
0.0631446	804018.0
0.0670912	787916.7
0.0710377	771285.2
0.0749843	754173.6
0.0789308	736628.2
0.0828773	718696.3
0.0868239	700421.9
0.0907704	681849.0
0.094717	663018.1
0.0986635	643969.8
0.10261	624744.4
0.106557	605383.3
0.110503	585921.4
0.11445	566399.9
0.118396	546858.4
0.122343	527330.7
0.126289	507855.5
0.130236	488471.1
0.134182	469210.9
0.138129	450108.2
0.142075	431198.2
0.146022	412512.6
0.149969	394081.4
0.153915	375933.3
0.157862	358094.3
0.161808	340589.6
0.165755	323443.1
0.169701	306674.8
0.173648	290304.9
0.177594	274349.7
0.181541	258826.6
0.185487	243748.7
0.189434	229129.2
0.19338	214982.2
0.197327	201308.3
0.201274	188125.8
0.20522	175438.6
0.209167	163253.1
0.213113	151574.2
0.21706	140405.6
0.221006	129749.5
0.224953	119607.0
0.228899	109977.5
0.232846	100859.2
0.236792	92248.4
0.240739	84140.2
0.244685	76527.44
0.248632	69401.97
0.252579	62753.09
0.256525	56569.5
0.260472	50837.58
0.264418	45542.62
0.268365	40668.36
0.272311	36197.37
0.276258	32111.42
0.280204	28390.92
0.284151	25016.16
0.288097	21966.62
0.292044	19221.63
0.29599	16760.45
0.299937	14562.46
0.303884	12607.36
0.30783	10875.27
0.311777	9346.99
0.315723	8004.01
0.31967	6828.709
0.323616	5804.371
0.327563	4915.288
0.331509	4146.799
0.335456	3485.294
0.339402	2918.26
0.343349	2434.214
0.347296	2022.743
0.351242	1674.421
0.355189	1380.788
0.359135	1134.289
0.363082	928.227
0.367028	756.681
0.370975	614.4672
0.374921	497.0617
0.378868	400.541
0.382814	321.5175
0.386761	257.0902
0.390707	204.7802
0.394654	162.4841
0.398601	128.4266
0.402547	101.1159
0.406494	79.3058
0.41044	61.96002
0.414387	48.22142
0.418333	37.38445
0.42228	28.87126
0.426226	22.21075
0.430173	17.02108
0.434119	12.99381
0.438066	9.88081
0.442012	7.485462
0.445959	5.648779
0.449906	4.246406
0.453852	3.179954
0.457799	2.372221
0.461745	1.762889
0.465692	1.305067
0.469638	0.962451
0.473585	0.7070757
0.477531	0.5174823
0.481478	0.3772852
0.485424	0.2740237
0.489371	0.1982695
0.493318	0.1429132
0.497264	0.1026219
0.501211	0.07341081
0.505157	0.05231609
0.509104	0.0371421
0.51305	0.02626985
0.516997	0.01851006
0.520943	0.01299328
0.52489	0.00908649
0.528836	0.006330474
0.532783	0.00439383
0.536729	0.003038228
0.540676	0.002092995
0.544623	0.001436443
0.548569	0.000982161
0.552516	0.0006690566
0.556462	0.0004540482
0.560409	0.0003069939
0.564355	0.0002067939
0.568302	0.0001387807
0.572248	9.279082e-05
0.576195	6.18112e-05
0.580141	4.102205e-05
0.584088	2.712423e-05
0.588034	1.786846e-05
0.591981	1.172762e-05
