#k	cm_distr
0.0	5958.698
0.00394654	5953.326
0.00789308	5937.259
0.0118396	5910.565
0.0157862	5873.4
0.0197327	5825.962
0.0236792	5768.498
0.0276258	5701.32
0.0315723	5624.776
0.0355189	5539.263
0.0394654	5445.237
0.0434119	5343.161
0.0473585	5233.563
0.051305	5116.98
0.0552516	4993.983
0.0591981	4865.176
0.0631446	4731.155
0.0670912	4592.536
0.0710377	4449.957
0.0749843	4304.037
0.0789308	4155.401
0.0828773	4004.681
0.0868239	3852.477
0.0907704	3699.382
0.094717	3545.978
0.0986635	3392.817
0.10261	3240.42
0.106557	3089.299
0.110503	2939.921
0.11445	2792.738
0.118396	2648.138
0.122343	2506.5
0.126289	2368.175
0.130236	2233.443
0.134182	2102.596
0.138129	1975.843
0.142075	1853.393
0.146022	1735.398
0.149969	1621.991
0.153915	1513.261
0.157862	1409.281
0.161808	1310.083
0.165755	1215.673
0.169701	1126.038
0.173648	1041.132
0.177594	960.895
0.181541	885.246
0.185487	814.081
0.189434	747.293
0.19338	684.745
0.197327	626.305
0.201274	571.8221
0.20522	521.1379
0.209167	474.09
0.213113	430.5139
0.21706	390.2384
0.221006	353.0943
0.224953	318.9104
0.228899	287.5178
0.232846	258.7478
0.236792	232.4378
0.240739	208.4264
0.244685	186.5598
0.248632	166.6865
0.252579	148.6615
0.256525	132.3474
0.260472	117.6114
0.264418	104.3279
0.268365	92.3779
0.272311	81.6497
0.276258	72.0372
0.280204	63.4421
0.284151	55.7718
0.288097	48.94061
0.292044	42.86883
0.29599	37.48276
0.299937	32.71437
0.303884	28.50117
0.30783	24.78581
0.311777	21.51603
0.315723	18.64398
0.31967	16.12619
0.323616	13.9233
0.327563	11.9997
0.331509	10.32323
0.335456	8.86499
0.339402	7.59901
0.343349	6.50213
0.347296	5.55354
0.351242	4.734799
0.355189	4.029496
0.359135	3.423079
0.363082	2.902696
0.367028	2.456981
0.370975	2.075962
0.374921	1.750878
0.378868	1.474038
0.382814	1.238736
0.386761	1.039122
0.390707	0.870103
0.394654	0.727266
0.398601	0.606781
0.402547	0.5053478
0.406494	0.4201115
0.41044	0.3486224
0.414387	0.2887781
0.418333	0.238776
0.42228	0.197076
0.426226	0.1623659
0.430173	0.1335281
0.434119	0.1096145
0.438066	0.0898213
0.442012	0.07347
0.445959	0.05998702
0.449906	0.04889021
0.453852	0.03977441
0.457799	0.03230002
0.461745	0.02618299
0.465692	0.02118619
0.469638	0.01711212
0.473585	0.01379659
0.477531	0.01110347
0.481478	0.00891991
0.485424	0.00715289
0.489371	0.005725576
0.493318	0.00457482
0.497264	0.003648764
0.501211	0.002904925
0.505157	0.002308563
0.509104	0.001831327
0.51305	0.001450133
0.516997	0.001146216
0.520943	0.000904362
0.52489	0.000712254
0.528836	0.0005599459
0.532783	0.0004394144
0.536729	0.0003442077
0.540676	0.000269142
0.544623	0.0002100698
0.548569	0.0001636667
0.552516	0.0001272841
0.556462	9.88111e-05
0.560409	7.65695e-05
0.564355	5.922723e-05
0.568302	4.573042e-05
0.572248	3.524577e-05
0.576195	2.711599e-05
0.580141	2.082382e-05
0.584088	1.596299e-05
0.588034	1.221474e-05
0.591981	9.33005e-06
