#k	cm_distr
0.0	559.761538884
0.00394654	559.419928688
0.00789308	558.397886752
0.0118396	556.699596059
0.0157862	554.332957798
0.0197327	551.31098569
0.0236792	547.646693457
0.0276258	543.359136906
0.0315723	538.469695722
0.0355189	533.002538246
0.0394654	526.984156698
0.0434119	520.443831951
0.0473585	513.411774431
0.051305	505.918659339
0.0552516	497.995626653
0.0591981	489.673816349
0.0631446	480.982509302
0.0670912	471.952380713
0.0710377	462.609458025
0.0749843	452.981163009
0.0789308	443.092593558
0.0828773	432.969312339
0.0868239	422.633628589
0.0907704	412.109245874
0.094717	401.419867758
0.0986635	390.587803477
0.10261	379.636291822
0.106557	368.58819976
0.110503	357.467463244
0.11445	346.294485931
0.118396	335.093761503
0.122343	323.885926007
0.126289	312.691150709
0.130236	301.530815297
0.134182	290.423975577
0.138129	279.388990192
0.142075	268.443055846
0.146022	257.603694586
0.149969	246.886058102
0.153915	236.306831845
0.157862	225.879633744
0.161808	215.618314119
0.165755	205.537281019
0.169701	195.648897478
0.173648	185.963946295
0.177594	176.494372208
0.181541	167.250493238
0.185487	158.241000693
0.189434	149.474771791
0.19338	140.958685212
0.197327	132.699666116
0.201274	124.703477722
0.20522	116.9745354
0.209167	109.516882701
0.213113	102.333680098
0.21706	95.4272049927
0.221006	88.7991305789
0.224953	82.45033993
0.228899	76.3808330461
0.232846	70.5901916289
0.236792	65.0771143063
0.240739	59.83964902
0.244685	54.8755183687
0.248632	50.1814224444
0.252579	45.753735996
0.256525	41.5883689967
0.260472	37.6804831305
0.264418	34.0248729089
0.268365	30.6159145449
0.272311	27.4473242699
0.276258	24.5124418471
0.280204	21.8040446609
0.284151	19.3144592631
0.288097	17.0354684181
0.292044	14.9583343412
0.29599	13.073798699
0.299937	11.372291758
0.303884	9.84369999754
0.30783	8.47760779228
0.311777	7.26333924262
0.315723	6.19005577745
0.31967	5.24682540568
0.323616	4.4227956129
0.327563	3.70725935951
0.331509	3.0897536132
0.335456	2.56020249988
0.339402	2.10897400633
0.343349	1.72697061147
0.347296	1.40568552424
0.351242	1.13725706235
0.355189	0.914482130803
0.359135	0.730833418569
0.363082	0.580462559078
0.367028	0.458171453554
0.370975	0.359392192696
0.374921	0.280147783127
0.378868	0.21700752892
0.382814	0.167042180734
0.386761	0.127772764004
0.390707	0.0971187564365
0.394654	0.0733541574071
0.398601	0.0550552425143
0.402547	0.0410606161008
0.406494	0.0304303063379
0.41044	0.0224100472067
0.414387	0.0163998364165
0.418333	0.0119260395631
0.42228	0.00861823778806
0.426226	0.00618885433206
0.430173	0.0044164807044
0.434119	0.00313200266096
0.438066	0.00220724712636
0.442012	0.00154586282841
0.445959	0.00107593905454
0.449906	0.000744227931145
0.453852	0.000511602309372
0.457799	0.000349521284724
0.461745	0.00023732139089
0.465692	0.000160150136917
0.469638	0.000107411820247
0.473585	7.1600865149e-05
0.477531	4.74387155103e-05
0.481478	3.12393554778e-05
0.485424	2.04471968458e-05
0.489371	1.3302519507e-05
0.493318	8.6021765315e-06
0.497264	5.52922456267e-06
0.501211	3.53271932297e-06
0.505157	2.24361722531e-06
0.509104	1.41641519841e-06
0.51305	8.8887740081e-07
0.516997	5.5450427415e-07
0.520943	3.43872632307e-07
0.52489	2.11984320619e-07
0.528836	1.29912303525e-07
0.532783	7.91465184947e-08
0.536729	4.79364160043e-08
0.540676	2.88637098621e-08
0.544623	1.72780613888e-08
0.548569	1.02827420702e-08
0.552516	6.08408875919e-09
0.556462	3.57885575534e-09
0.560409	2.09307867472e-09
0.564355	1.21711748574e-09
0.568302	7.03688328692e-10
0.572248	4.04520061629e-10
0.576195	2.3113679158e-10
0.580141	1.31329418815e-10
0.584088	7.41933565518e-11
0.588034	4.16689611166e-11
0.591981	2.32720389554e-11
