# mass number (A) = 12
# number of protons (Z) = 6
# k (1/fm)	relative two_body (fm^3)
0.0	4.40544619999
0.02	4.40392604063
0.04	4.3993591746
0.06	4.3917266255
0.08	4.3809973869
0.1	4.36712934087
0.12	4.35007051868
0.14	4.32976067876
0.16	4.30613317093
0.18	4.2791170502
0.2	4.24863939823
0.22	4.21462780651
0.24	4.1770129719
0.26	4.13573135272
0.28	4.09072783211
0.3	4.04195833523
0.32	3.98939234722
0.34	3.93301528071
0.36	3.87283064454
0.38	3.80886196873
0.4	3.74115444557
0.42	3.66977625214
0.44	3.59481952548
0.46	3.5164009685
0.48	3.43466207186
0.5	3.34976894428
0.52	3.26191175155
0.54	3.1713037717
0.56	3.07818008145
0.58	2.98279589564
0.6	2.88542458804
0.62	2.78635542758
0.64	2.68589106906
0.66	2.58434484163
0.68	2.4820378813
0.7	2.37929615627
0.72	2.27644743445
0.74	2.17381824325
0.76	2.0717308703
0.78	1.97050045202
0.8	1.87043219422
0.82	1.77181876507
0.84	1.67493789658
0.86	1.58005022572
0.88	1.487397401
0.9	1.39720047442
0.92	1.30965859313
0.94	1.22494799887
0.96	1.14322133778
0.98	1.06460727736
1.0	0.989210422091
1.02	0.917111514796
1.04	0.84836790595
1.06	0.783014270017
1.08	0.721063544526
1.1	0.662508065326
1.12	0.607320869755
1.14	0.555457138421
1.16	0.506855745901
1.18	0.461440890909
1.2	0.419123777255
1.22	0.37980431821
1.24	0.343372838594
1.26	0.309711751014
1.28	0.278697184992
1.3	0.250200550348
1.32	0.224090018849
1.34	0.200231910958
1.36	0.178491977237
1.38	0.158736566693
1.4	0.14083367692
1.42	0.12465388335
1.44	0.110071147121
1.46	0.0969635031293
1.48	0.0852136315712
1.5	0.0747093178054
1.52	0.0653438066425
1.54	0.0570160581543
1.56	0.0496309128652
1.58	0.0430991747085
1.6	0.0373376204391
1.62	0.0322689443003
1.64	0.0278216466809
1.66	0.0239298752793
1.68	0.0205332269456
1.7	0.017576517926
1.72	0.0150095297021
1.74	0.0127867370304
1.76	0.0108670241574
1.78	0.0092133945408
1.8	0.00779267875222
1.82	0.00657524459462
1.84	0.0055347128471
1.86	0.00464768145787
1.88	0.00389346045458
1.9	0.00325381933178
1.92	0.00271274821415
1.94	0.00225623368109
1.96	0.00187204977581
1.98	0.00154956440775
2.0	0.00127956109102
2.02	0.00105407573916
2.04	0.000866248057416
2.06	0.000710186931413
2.08	0.000580849104674
2.1	0.000473930361013
2.12	0.000385768378638
2.14	0.000313256396643
2.16	0.000253766827902
2.18	0.000205083961886
2.2	0.00016534492334
2.22	0.000132988085402
2.24	0.000106708175949
2.26	8.54173615967e-05
2.28	6.82116429091e-05
2.3	5.43419453248e-05
2.32	4.31893418343e-05
2.34	3.42438943405e-05
2.36	2.7086650115e-05
2.38	2.1374377128e-05
2.4	1.68266668053e-05
2.42	1.32150746303e-05
2.44	1.03540077527e-05
2.46	8.09310430609e-06
2.48	6.31088146715e-06
2.5	4.90945847754e-06
2.52	3.81018701148e-06
2.54	2.95004456906e-06
2.56	2.27866718663e-06
2.58	1.75591588534e-06
2.6	1.34988713323e-06
2.62	1.03529138595e-06
2.64	7.9213570229e-07
2.66	6.04656701692e-07
2.68	4.6045892966e-07
2.7	3.4982119887e-07
2.72	2.65139840894e-07
2.74	2.00483183013e-07
2.76	1.51236090291e-07
2.78	1.13817204077e-07
2.8	8.54546706253e-08
2.82	6.40087809584e-08
2.84	4.78321172876e-08
2.86	3.56595934446e-08
2.88	2.65222482472e-08
2.9	1.96798543912e-08
2.92	1.45683863736e-08
2.94	1.07591874019e-08
2.96	7.92731958731e-09
2.98	5.82710114085e-09
3.0	4.27325153487e-09
3.02	3.12639958987e-09
3.04	2.28197588912e-09
3.06	1.66172274903e-09
3.08	1.20722281094e-09
3.1	8.74979861145e-10
3.12	6.32689807547e-10
3.14	4.56421582709e-10
3.16	3.28491740671e-10
3.18	2.35866397799e-10
3.2	1.68962925353e-10
3.22	1.20753819299e-10
3.24	8.60983488673e-11
3.26	6.12454231314e-11
3.28	4.34648014627e-11
3.3	3.07742428719e-11
3.32	2.173817287e-11
3.34	1.53195161561e-11
3.36	1.07709440919e-11
3.38	7.55526261961e-12
3.4	5.28728577677e-12
3.42	3.69150773718e-12
3.44	2.57136015284e-12
3.46	1.78694222135e-12
3.48	1.23893045365e-12
3.5	8.56983584752e-13
3.52	5.91408513184e-13
3.54	4.07185653092e-13
3.56	2.79696814924e-13
3.58	1.91678348568e-13
3.6	1.31053736064e-13
3.62	8.93957523654e-14
3.64	6.0838123438e-14
3.66	4.13072705388e-14
3.68	2.79813886623e-14
3.7	1.89105610224e-14
3.72	1.27506479071e-14
3.74	8.57734912073e-15
3.76	5.75661540264e-15
3.78	3.85456110469e-15
3.8	2.57499588839e-15
3.82	1.71621748568e-15
3.84	1.14120212353e-15
3.86	7.57090107928e-16
3.88	5.01103697802e-16
3.9	3.30904717607e-16
3.92	2.18008739129e-16
3.94	1.43298193491e-16
3.96	9.39731247116e-17
3.98	6.14841296896e-17
4.0	4.01346119769e-17
#normalisation = 1.00000005393
