# mass number (A) = 109
# number of protons (Z) = 47
#relative orbital quantum number l = 7
# k (1/fm)	cm two_body (fm^3)
0.0	0.0
0.02	2.8914746217e-24
0.04	4.70912906454e-20
0.06	1.36109049873e-17
0.08	7.53295910666e-16
0.1	1.68232384178e-14
0.12	2.11309180186e-13
0.14	1.78201868502e-12
0.16	1.12151699087e-11
0.18	5.63916797193e-11
0.2	2.37334716998e-10
0.22	8.64306438054e-10
0.24	2.79115527989e-09
0.26	8.14324303363e-09
0.28	2.17768162731e-08
0.3	5.39956098517e-08
0.32	1.25287294266e-07
0.34	2.74110791914e-07
0.36	5.6903342989e-07
0.38	1.12673584525e-06
0.4	2.13750991248e-06
0.42	3.89980002536e-06
0.44	6.86501150244e-06
0.46	1.1693175853e-05
0.48	1.93190920913e-05
0.5	3.10272664274e-05
0.52	4.85324083134e-05
0.54	7.40605204837e-05
0.56	0.000110423905614
0.58	0.000161081903024
0.6	0.000230178086947
0.62	0.000322544221473
0.64	0.000443661663485
0.66	0.000599572261628
0.68	0.000796733160866
0.7	0.0010418132316
0.72	0.00134143293463
0.74	0.00170185404024
0.76	0.00212863038673
0.78	0.00262623538103
0.8	0.00319768578001
0.82	0.00384418404153
0.84	0.00456480285751
0.86	0.00535623514469
0.88	0.00621263067038
0.9	0.00712553668203
0.92	0.00808395459281
0.94	0.00907451829263
0.96	0.0100817924581
0.98	0.0110886818511
1.0	0.0120769355728
1.02	0.0130277241128
1.04	0.0139222622492
1.06	0.0147424477837
1.08	0.0154714849329
1.1	0.0160944620193
1.12	0.0165988558193
1.14	0.0169749392946
1.16	0.0172160751242
1.18	0.0173188840176
1.2	0.0172832837734
1.22	0.0171124019507
1.24	0.0168123714143
1.26	0.0163920235051
1.28	0.0158624978936
1.3	0.0152367911021
1.32	0.0145292671598
1.34	0.0137551539088
1.36	0.012930047237
1.38	0.0120694431661
1.4	0.0111883145283
1.42	0.010300745199
1.44	0.0094196308016
1.46	0.0085564507371
1.48	0.0077211125501
1.5	0.00692186622419
1.52	0.00616528313708
1.54	0.00545629219383
1.56	0.00479826412541
1.58	0.0041931340781
1.6	0.00364155237585
1.62	0.00314305362972
1.64	0.00269623509698
1.66	0.00229893624544
1.68	0.00194841274589
1.7	0.00164149949227
1.72	0.00137475864278
1.74	0.00114461000909
1.76	0.000947442335767
1.78	0.000779705067739
1.8	0.000637981074917
1.82	0.000519041483053
1.84	0.000419884250627
1.86	0.000337758448042
1.88	0.000270176357584
1.9	0.000214915545361
1.92	0.000170012986241
1.94	0.000133753175848
1.96	0.000104651964548
1.98	8.14376186198e-05
2.0	6.30303719085e-05
2.02	4.85214916921e-05
2.04	3.715265628e-05
2.06	2.82962365768e-05
2.08	2.1436894072e-05
2.1	1.61547555729e-05
2.12	1.21103006091e-05
2.14	9.03099944979e-06
2.16	6.69966575274e-06
2.18	4.94443502989e-06
2.2	3.63024513884e-06
2.22	2.65167462733e-06
2.24	1.92698586957e-06
2.26	1.39321973246e-06
2.28	1.00219454622e-06
2.3	7.17272371134e-07
2.32	5.10768282317e-07
2.34	3.61892333334e-07
2.36	2.55128032706e-07
2.38	1.78964878509e-07
2.4	1.24915284225e-07
2.42	8.67578175373e-08
2.44	5.99589300701e-08
2.46	4.12342527965e-08
2.48	2.82181149329e-08
2.5	1.92163074009e-08
2.52	1.30223765612e-08
2.54	8.78203344064e-09
2.56	5.89373298563e-09
2.58	3.93624594688e-09
2.6	2.6162312473e-09
2.62	1.73052453892e-09
2.64	1.13918064937e-09
2.66	7.4632156074e-10
2.68	4.86612383796e-10
2.7	3.1576880023e-10
2.72	2.03933778615e-10
2.74	1.31083459019e-10
2.76	8.38590965105e-11
2.78	5.33950137235e-11
2.8	3.38379497178e-11
2.82	2.13434525832e-11
2.84	1.33994504113e-11
2.86	8.37288776727e-12
2.88	5.20755335604e-12
2.9	3.22378801883e-12
2.92	1.98644957879e-12
2.94	1.21834667886e-12
2.96	7.43790039091e-13
2.98	4.51980562342e-13
3.0	2.73390108892e-13
3.02	1.64605035576e-13
3.04	9.86516339044e-14
3.06	5.88531607872e-14
3.08	3.49496696145e-14
3.1	2.06598656198e-14
3.12	1.21569979327e-14
3.14	7.12103073721e-15
3.16	4.1522186769e-15
3.18	2.41013587445e-15
3.2	1.39261107017e-15
3.22	8.01028858424e-16
3.24	4.58669040326e-16
3.26	2.61448721595e-16
3.28	1.48358448971e-16
3.3	8.38068455193e-17
3.32	4.71292885814e-17
3.34	2.63845163041e-17
3.36	1.47047243248e-17
3.38	8.15862031385e-18
3.4	4.50641501093e-18
3.42	2.47800838555e-18
3.44	1.35654416103e-18
