# mass number (A) = 27
# number of protons (Z) = 13
#relative orbital quantum number l = 3
# k (1/fm)	cm two_body (fm^3)
0.0	0.0
0.02	2.98745160222e-10
0.04	1.90419228888e-08
0.06	2.15431037453e-07
0.08	1.19897623647e-06
0.1	4.51814852268e-06
0.12	1.32910042101e-05
0.14	3.29282246526e-05
0.16	7.18902091672e-05
0.18	0.000142414627329
0.2	0.000261149514947
0.22	0.000449629692664
0.24	0.00073454086887
0.26	0.00114772590489
0.28	0.00172590081163
0.3	0.00251006338464
0.32	0.00354459411385
0.34	0.00487606619451
0.36	0.00655179816463
0.38	0.00861819798139
0.4	0.0111189603892
0.42	0.0140931895198
0.44	0.0175735252605
0.46	0.0215843546882
0.48	0.0261401886542
0.5	0.031244278501
0.52	0.0368875391675
0.54	0.0430478330649
0.56	0.0496896546878
0.58	0.0567642396983
0.6	0.0642101049898
0.62	0.0719540088272
0.64	0.0799123034015
0.66	0.0879926367723
0.68	0.0960959478839
0.7	0.104118687662
0.72	0.11195519153
0.74	0.119500124263
0.76	0.126650916997
0.78	0.133310118357
0.8	0.139387586824
0.82	0.144802459264
0.84	0.149484840554
0.86	0.153377170934
0.88	0.15643524048
0.9	0.158628833374
0.92	0.159941997894
0.94	0.160372950642
0.96	0.159933635131
0.98	0.158648964942
1.0	0.156555790026
1.02	0.153701631162
1.04	0.150143231924
1.06	0.145944979822
1.08	0.141177248598
1.1	0.135914712187
1.12	0.130234677681
1.14	0.12421548024
1.16	0.117934977332
1.18	0.111469173433
1.2	0.104890999584
1.22	0.0982692653716
1.24	0.0916677940678
1.26	0.0851447453266
1.28	0.0787521238872
1.3	0.0725354675832
1.32	0.0665337035392
1.34	0.060779157903
1.36	0.0552977017971
1.38	0.0501090143755
1.4	0.0452269428986
1.42	0.0406599395083
1.44	0.0364115548186
1.46	0.0324809694287
1.48	0.0288635459011
1.5	0.0255513855278
1.52	0.0225338762106
1.54	0.0197982199234
1.56	0.0173299303998
1.58	0.0151132938294
1.6	0.0131317873832
1.62	0.0113684522684
1.64	0.00980621970455
1.66	0.00842818968404
1.68	0.00721786362144
1.7	0.00615933300786
1.72	0.0052374269674
1.74	0.00443782218246
1.76	0.00374711902792
1.78	0.00315288795373
1.8	0.00264369020548
1.82	0.0022090768981
1.84	0.00183957028329
1.86	0.0015266308008
1.88	0.00126261319878
1.9	0.00104071466884
1.92	0.000854917584369
1.94	0.000699929070036
1.96	0.000571119278819
1.98	0.000464459918001
2.0	0.000376464255681
2.02	0.000304129557718
2.04	0.000244882654969
2.06	0.000196529123064
2.08	0.000157206371528
2.1	0.000125340784654
2.12	9.96089310443e-05
2.14	7.89027597756e-05
2.16	6.22986257879e-05
2.18	4.90299324056e-05
2.2	3.84631419138e-05
2.22	3.00768829094e-05
2.24	2.34438730508e-05
2.26	1.82153753592e-05
2.28	1.41079131659e-05
2.3	1.08919812323e-05
2.32	8.38250683991e-06
2.34	6.43083337549e-06
2.36	4.91801900231e-06
2.38	3.74926351419e-06
2.4	2.84929672338e-06
2.42	2.15858122847e-06
2.44	1.63020077954e-06
2.46	1.22732247149e-06
2.48	9.21136517366e-07
2.5	6.89191329097e-07
2.52	5.14054070093e-07
2.54	3.82237796024e-07
2.56	2.83345851303e-07
2.58	2.09392444204e-07
2.6	1.54265399893e-07
2.62	1.13303108978e-07
2.64	8.29627700201e-08
2.66	6.05612838544e-08
2.68	4.40737044314e-08
2.7	3.197708559e-08
2.72	2.31299763607e-08
2.74	1.66797899988e-08
2.76	1.19918751245e-08
2.78	8.59541303257e-09
2.8	6.1423067234e-09
2.82	4.37605996687e-09
2.84	3.10830713093e-09
2.86	2.2011787907e-09
2.88	1.55410103684e-09
2.9	1.09395001975e-09
2.92	7.67735703227e-10
2.94	5.37184798262e-10
2.96	3.74744327051e-10
2.98	2.60643813351e-10
3.0	1.80743366491e-10
3.02	1.24963006495e-10
3.04	8.61402731793e-11
3.06	5.92022488303e-11
3.08	4.05675530383e-11
3.1	2.77159335723e-11
3.12	1.88795533059e-11
3.14	1.28223257882e-11
3.16	8.68272706094e-12
3.18	5.8622059905e-12
3.2	3.94623453496e-12
3.22	2.64863972085e-12
3.24	1.77248398528e-12
3.26	1.1826668583e-12
3.28	7.86800129894e-13
3.3	5.21902648511e-13
3.32	3.4517460072e-13
3.34	2.27621648228e-13
3.36	1.49663131429e-13
3.38	9.81168805761e-14
3.4	6.41359255625e-14
3.42	4.18012049575e-14
3.44	2.71648359604e-14
3.46	1.76018071139e-14
3.48	1.13720910568e-14
3.5	7.3258377766e-15
3.52	4.70553648688e-15
3.54	3.01367792037e-15
3.56	1.9245150789e-15
3.58	1.22541593381e-15
3.6	7.78008545469e-16
3.62	4.92520999085e-16
3.64	3.10889148235e-16
3.66	1.95671544292e-16
3.68	1.22798182206e-16
3.7	7.68420960142e-17
3.72	4.79457698413e-17
3.74	2.98295042423e-17
3.76	1.85049205111e-17
3.78	1.14465511128e-17
3.8	7.06007147291e-18
3.82	4.34201507671e-18
3.84	2.66269911598e-18
3.86	1.62817896909e-18
3.88	9.9273240318e-19
3.9	6.035496247e-19
3.92	3.65885508347e-19
3.94	2.21171706385e-19
3.96	1.33311234733e-19
3.98	8.01230424418e-20
4.0	4.80178022068e-20
#normalisation = 0.110849853144
#sigma**2 n(k)k**2 = 0.131465898205
#kurtosis n(k)k**2 = 6.25724933545
#skewness n(k)k**2 = 2.76590468018
