# mass number (A) = 40
# number of protons (Z) = 18
#relative orbital quantum number l = 5
# k (1/fm)	cm two_body (fm^3)
0.0	0.0
0.02	2.34932548858e-18
0.04	2.39485984839e-15
0.06	1.37063227044e-13
0.08	2.40839591516e-12
0.1	2.21278326826e-11
0.12	1.3475767519e-10
0.14	6.17326443671e-10
0.16	2.29413583438e-09
0.18	7.26140123954e-09
0.2	2.02377732793e-08
0.22	5.08567106663e-08
0.24	1.17269174849e-07
0.26	2.51446867039e-07
0.28	5.06553899766e-07
0.3	9.66677925391e-07
0.32	1.75907455071e-06
0.34	3.06888168023e-06
0.36	5.15601055323e-06
0.38	8.37363209021e-06
0.4	1.31873716509e-05
0.42	2.01940284337e-05
0.44	3.01383765719e-05
0.46	4.3926413085e-05
0.48	6.26333205147e-05
0.5	8.75044315848e-05
0.52	0.000119947634251
0.54	0.000161515943259
0.56	0.000213879383245
0.58	0.000278785861921
0.6	0.000358011332886
0.62	0.000453300220275
0.64	0.000566297759205
0.66	0.00069847655097
0.68	0.00085106019399
0.7	0.0010249472879
0.72	0.00122063938289
0.74	0.00143817653282
0.76	0.00167708399437
0.78	0.00193633329316
0.8	0.00221432036366
0.82	0.00250886278733
0.84	0.0028172173373
0.86	0.00313611813402
0.88	0.00346183477338
0.9	0.00379024886082
0.92	0.00411694652223
0.94	0.00443732371374
0.96	0.00474670055725
0.98	0.00504044051667
1.0	0.00531407002257
1.02	0.00556339415449
1.04	0.00578460419887
1.06	0.00597437329703
1.08	0.00612993695811
1.1	0.00624915590092
1.12	0.00633055946715
1.14	0.00637336867446
1.16	0.0063774988082
1.18	0.00634354224548
1.2	0.00627273292817
1.22	0.00616689452316
1.24	0.00602837480527
1.26	0.00585996915703
1.28	0.00566483629288
1.3	0.00544640938484
1.32	0.00520830570119
1.34	0.00495423768305
1.36	0.00468792809478
1.38	0.00441303151646
1.4	0.00413306402183
1.42	0.00385134242968
1.44	0.00357093405156
1.46	0.00329461740654
1.48	0.00302485395157
1.5	0.00276377049859
1.52	0.00251315166795
1.54	0.00227444146816
1.56	0.00204875289812
1.58	0.00183688433924
1.6	0.00163934143826
1.62	0.00145636317093
1.64	0.00128795081627
