# mass number (A) = 9
# number of protons (Z) = 4
#relative orbital quantum number l = 0
# k (1/fm)	cm two_body (fm^3)
0.0	4.514475221
0.02	4.50949078382
0.04	4.49457146156
0.06	4.46981882719
0.08	4.43540085933
0.1	4.39155000045
0.12	4.33856048312
0.14	4.27678496815
0.16	4.20663054906
0.18	4.12855418726
0.2	4.04305765055
0.22	3.95068203456
0.24	3.85200195198
0.26	3.74761947788
0.28	3.63815794144
0.3	3.52425565429
0.32	3.40655966429
0.34	3.28571962009
0.36	3.16238182735
0.38	3.03718357134
0.4	2.91074777347
0.42	2.78367804096
0.44	2.65655416039
0.46	2.52992807564
0.48	2.40432038182
0.5	2.28021735615
0.52	2.15806853745
0.54	2.03828485632
0.56	1.92123730913
0.58	1.80725616057
0.6	1.69663065219
0.62	1.58960918755
0.64	1.48639995914
0.66	1.38717197739
0.68	1.29205645876
0.7	1.20114852734
0.72	1.11450918268
0.74	1.03216748641
0.76	0.954122920347
0.78	0.880347870175
0.8	0.810790190609
0.82	0.745375810686
0.84	0.684011340864
0.86	0.626586647151
0.88	0.572977361329
0.9	0.523047300342
0.92	0.476650772028
0.94	0.433634748487
0.96	0.393840892397
0.98	0.357107425429
1.0	0.323270831584
1.02	0.292167391589
1.04	0.263634547601
1.06	0.237512100116
1.08	0.213643241394
1.1	0.191875431673
1.12	0.172061126115
1.14	0.154058361688
1.16	0.137731214186
1.18	0.122950136234
1.2	0.109592187484
1.22	0.0975411683852
1.24	0.0866876687582
1.26	0.0769290421837
1.28	0.068169316745
1.3	0.0603190521262
1.32	0.0532951524138
1.34	0.0470206432294
1.36	0.0414244210656
1.38	0.0364409819122
1.4	0.0320101354806
1.42	0.0280767105638
1.44	0.0245902563301
1.46	0.0215047436438
1.48	0.0187782698522
1.5	0.0163727698677
1.52	0.0142537358262
1.54	0.0123899471035
1.56	0.010753212036
1.58	0.0093181223009
1.6	0.00806182058577
1.62	0.00696378188634
1.64	0.00600560853963
1.66	0.00517083889974
1.68	0.00444476940642
1.7	0.00381428967113
1.72	0.00326773010882
1.74	0.00279472157312
1.76	0.00238606640312
1.78	0.0020336202588
1.8	0.00173018410563
1.82	0.00146940570535
1.84	0.00124568997502
1.86	0.00105411759035
1.88	0.000890371228094
1.9	0.000750668865952
1.92	0.000631703584659
1.94	0.000530589345503
1.96	0.000444812245772
1.98	0.000372186784623
2.0	0.000310816701581
2.02	0.000259059979167
2.04	0.000215497629644
2.06	0.000178905913325
2.08	0.000148231662261
2.1	0.000122570408195
2.12	0.000101147037511
2.14	8.32987184126e-05
2.16	6.84598667591e-05
2.18	5.6148936926e-05
2.2	4.59568427057e-05
2.22	3.75368307054e-05
2.24	3.05956449586e-05
2.26	2.48858365853e-05
2.28	2.01990863694e-05
2.3	1.63604211032e-05
2.32	1.3223216542e-05
2.34	1.06648908516e-05
2.36	8.58320256862e-06
2.38	6.89307638066e-06
2.4	5.52388850834e-06
2.42	4.41715118892e-06
2.44	3.52454276328e-06
2.46	2.80623620142e-06
2.48	2.22948461137e-06
2.5	1.76742740702e-06
2.52	1.39808540382e-06
2.54	1.10351721087e-06
2.56	8.69112932632e-07
2.58	6.83004423454e-07
2.6	5.35574189759e-07
2.62	4.19047543382e-07
2.64	3.27154808919e-07
2.66	2.54852308907e-07
2.68	1.98092522653e-07
2.7	1.53635264489e-07
2.72	1.18892980266e-07
2.74	9.1804339808e-08
2.76	7.07312287826e-08
2.78	5.43750349533e-08
2.8	4.17087981076e-08
2.82	3.19223654889e-08
2.84	2.43781789482e-08
2.86	1.85757284483e-08
2.88	1.41230497179e-08
2.9	1.07139312243e-08
2.92	8.10973545175e-09
2.94	6.12493894921e-09
2.96	4.61566096786e-09
2.98	3.4705871307e-09
3.0	2.60380708819e-09
3.02	1.94917746251e-09
3.04	1.45589693892e-09
3.06	1.08504197977e-09
3.08	8.068617245e-10
3.1	5.98671226414e-10
3.12	4.43214961677e-10
3.14	3.27398944701e-10
3.16	2.41310974884e-10
3.18	1.77465496933e-10
3.2	1.30223084981e-10
3.22	9.53453197641e-11
3.24	6.96543591272e-11
3.26	5.07732459387e-11
3.28	3.69283125754e-11
3.3	2.67992176669e-11
3.32	1.94054228901e-11
3.34	1.40204736027e-11
3.36	1.01074378304e-11
3.38	7.27040408804e-12
3.4	5.21813558327e-12
3.42	3.73690259845e-12
3.44	2.67022639264e-12
3.46	1.9038141982e-12
3.48	1.35438301882e-12
3.5	9.61389103876e-13
3.52	6.80922913817e-13
3.54	4.81213790519e-13
3.56	3.39328120887e-13
3.58	2.38750133658e-13
3.6	1.6761376991e-13
3.62	1.1741359425e-13
3.64	8.20672744002e-14
3.66	5.72354232014e-14
3.68	3.98293640763e-14
3.7	2.76557702112e-14
3.72	1.91607446063e-14
3.74	1.32459640733e-14
3.76	9.13691654795e-15
3.78	6.28870130726e-15
3.8	4.31884710913e-15
3.82	2.95951519554e-15
3.84	2.02357604348e-15
3.86	1.38059095474e-15
3.88	9.3984748865e-16
3.9	6.38405972455e-16
3.92	4.32697133431e-16
3.94	2.92630063071e-16
3.96	1.97470412829e-16
3.98	1.32963861912e-16
4.0	8.93334326569e-17
#normalisation = 0.465740739738
#sigma**2 n(k)k**2 = 0.168295659615
#kurtosis n(k)k**2 = -0.232321469361
#skewness n(k)k**2 = 0.918296577276
