# mass number (A) = 12
# number of protons (Z) = 6
#relative orbital quantum number l = 1
# k (1/fm)	cm two_body (fm^3)
0.0	0.0
0.02	0.00384804733545
0.04	0.0153407672476
0.06	0.0343247517682
0.08	0.0605471641838
0.1	0.0936599419764
0.12	0.133225558715
0.14	0.178724226331
0.16	0.229562390458
0.18	0.285082346368
0.2	0.344572782134
0.22	0.40728003939
0.24	0.472419870858
0.26	0.539189467751
0.28	0.606779529425
0.3	0.674386152021
0.32	0.741222322159
0.34	0.806528815633
0.36	0.869584319068
0.38	0.929714614004
0.4	0.986300687329
0.42	1.0387856586
0.44	1.08668044289
0.46	1.12956809662
0.48	1.16710682264
0.5	1.19903163897
0.52	1.22515474214
0.54	1.2453646213
0.56	1.25962400091
0.58	1.26796671002
0.6	1.27049359174
0.62	1.2673675797
0.64	1.25880807754
0.66	1.24508478313
0.68	1.22651110147
0.7	1.20343728949
0.72	1.17624347132
0.74	1.1453326564
0.76	1.11112388296
0.78	1.07404559845
0.8	1.03452937556
0.82	0.993004048299
0.84	0.949890337905
0.86	0.905596023289
0.88	0.860511695419
0.9	0.8150071206
0.92	0.769428223506
0.94	0.724094687915
0.96	0.679298161293
0.98	0.635301039004
1.0	0.592335795004
1.02	0.550604818523
1.04	0.510280710487
1.06	0.471506989202
1.08	0.434399152118
1.1	0.399046039188
1.12	0.365511443311
1.14	0.333835914507
1.16	0.304038706602
1.18	0.276119818186
1.2	0.250062083273
1.22	0.225833271268
1.24	0.203388160375
1.26	0.182670553344
1.28	0.16361520926
1.3	0.146149669873
1.32	0.130195963602
1.34	0.115672174743
1.36	0.102493869494
1.38	0.0905753741804
1.4	0.0798309043525
1.42	0.0701755463952
1.44	0.0615260957406
1.46	0.0538017578609
1.48	0.0469247198558
1.5	0.0408206017109
1.52	0.0354187971893
1.54	0.0306527148834
1.56	0.0264599302121
1.58	0.0227822591582
1.6	0.0195657643231
1.62	0.0167607034845
1.64	0.0143214303015
1.66	0.0122062561646
1.68	0.0103772814585
1.7	0.00880020373349
1.72	0.00744410947602
1.74	0.00628125537014
1.76	0.00528684415123
1.78	0.00443879939762
1.8	0.00371754288992
1.82	0.00310577750283
1.84	0.00258827798587
1.86	0.00215169144031
1.88	0.00178434881187
1.9	0.00147608829237
1.92	0.00121809115565
1.94	0.00100273024257
1.96	0.000823431051454
1.98	0.000674545181293
2.0	0.000551235709461
2.02	0.000449373959902
2.04	0.000365447026228
2.06	0.00029647535267
2.08	0.000239939639645
2.1	0.000193716325718
2.12	0.000156020900139
2.14	0.000125358316241
2.16	0.000100479802922
2.18	8.03454061961e-05
2.2	6.40916332531e-05
2.22	5.10036154182e-05
2.24	4.04912523179e-05
2.26	3.20688459745e-05
2.28	2.53377794283e-05
2.3	1.99718389564e-05
2.32	1.57048214034e-05
2.34	1.23201080925e-05
2.36	9.64192398018e-06
2.38	7.52803496315e-06
2.4	5.86366749854e-06
2.42	4.55646297128e-06
2.44	3.53230462304e-06
2.46	2.73187747618e-06
2.48	2.10784170792e-06
2.5	1.62251754076e-06
2.52	1.24599511179e-06
2.54	9.5459616751e-07
2.56	7.2962600169e-07
2.58	5.56364005441e-07
2.6	4.23249713527e-07
2.62	3.21228482261e-07
2.64	2.43227079756e-07
2.66	1.83734654206e-07
2.68	1.3846890086e-07
2.7	1.04110890544e-07
2.72	7.80950558518e-08
2.74	5.84433468653e-08
2.76	4.36346463916e-08
2.78	3.25022446354e-08
2.8	2.41535746705e-08
2.82	1.79075544171e-08
2.84	1.32458116951e-08
2.86	9.77482338466e-09
2.88	7.19660899192e-09
2.9	5.28610917718e-09
2.92	3.87377292544e-09
2.94	2.83219116463e-09
2.96	2.06586478961e-09
2.98	1.50339357851e-09
3.0	1.09152952096e-09
3.02	7.90661876095e-10
3.04	5.71398556157e-10
3.06	4.11984622035e-10
3.08	2.96358159777e-10
3.1	2.12690097471e-10
3.12	1.5229043226e-10
3.14	1.08791107698e-10
3.16	7.75371906601e-11
3.18	5.51344507502e-11
3.2	3.9114051918e-11
3.22	2.76846958016e-11
3.24	1.95498899318e-11
3.26	1.3773582116e-11
3.28	9.68161745484e-12
3.3	6.78965585859e-12
3.32	4.75058205075e-12
3.34	3.31623643062e-12
3.36	2.30963911436e-12
3.38	1.60488202477e-12
3.4	1.11260961848e-12
3.42	7.69561928573e-13
3.44	5.31062647343e-13
3.46	3.65636631916e-13
3.48	2.51163047406e-13
3.5	1.72133032878e-13
3.52	1.1769972762e-13
3.54	8.02952354864e-14
3.56	5.4652180214e-14
3.58	3.71132438649e-14
3.6	2.51451570396e-14
3.62	1.69974629433e-14
3.64	1.14635324053e-14
3.66	7.71361080875e-15
3.68	5.17847838667e-15
3.7	3.46858291024e-15
3.72	2.31796959688e-15
3.74	1.54550141207e-15
3.76	1.02810473749e-15
3.78	6.82357330378e-16
3.8	4.51848836894e-16
3.82	2.98525570866e-16
3.84	1.96778306721e-16
3.86	1.29413761654e-16
3.88	8.49163867847e-17
3.9	5.55917820014e-17
3.92	3.63109795028e-17
3.94	2.36632202031e-17
3.96	1.53857427619e-17
3.98	9.98095403621e-18
4.0	6.46003443258e-18
#normalisation = 0.492929291912
#sigma**2 n(k)k**2 = 0.244681027724
#kurtosis n(k)k**2 = -1.12628188622
#skewness n(k)k**2 = 0.53028321089
