# mass number (A) = 48
# number of protons (Z) = 20
#relative orbital quantum number l = 0
# k (1/fm)	cm two_body (fm^3)
0.0	3.62044325342
0.02	3.61243008171
0.04	3.58850728598
0.06	3.5490221276
0.08	3.49454381896
0.1	3.42584953343
0.12	3.34390549358
0.14	3.24984377671
0.16	3.14493561172
0.18	3.0305620433
0.2	2.90818290517
0.22	2.77930507189
0.24	2.64545094838
0.26	2.50812810889
0.28	2.36880091752
0.3	2.22886485366
0.32	2.08962413545
0.34	1.95227308749
0.36	1.81788154484
0.38	1.68738442835
0.4	1.56157547585
0.42	1.44110497377
0.44	1.32648121086
0.46	1.21807527265
0.48	1.11612871645
0.5	1.02076361161
0.52	0.931994399979
0.54	0.849741025913
0.56	0.773842800635
0.58	0.704072500946
0.6	0.640150252531
0.62	0.581756810203
0.64	0.528545917187
0.66	0.480155499091
0.68	0.436217521931
0.7	0.396366414263
0.72	0.360246018442
0.74	0.3275150932
0.76	0.29785143774
0.78	0.270954745509
0.8	0.246548323602
0.82	0.224379831624
0.84	0.204221202552
0.86	0.185867908754
0.88	0.169137730179
0.9	0.153869170149
0.92	0.139919648723
0.94	0.127163585601
0.96	0.11549046526
0.98	0.104802957658
1.0	0.0950151492736
1.02	0.0860509221527
1.04	0.0778425036388
1.06	0.0703291967117
1.08	0.0634562906067
1.1	0.0571741435308
1.12	0.0514374237215
1.14	0.0462044915541
1.16	0.0414369036131
1.18	0.0370990192763
1.2	0.0331576910853
1.22	0.0295820216884
1.24	0.0263431721545
1.26	0.0234142087261
1.28	0.0207699774115
1.3	0.0183869980521
1.32	0.0162433715401
1.34	0.0143186956301
1.36	0.0125939862563
1.38	0.0110516024303
1.4	0.00967517366593
1.42	0.00844952949091
1.44	0.00736063100029
1.46	0.00639550462375
1.48	0.00554217836566
1.5	0.00478962077046
1.52	0.00412768280173
1.54	0.00354704273128
1.56	0.0030391540349
1.58	0.00259619620102
1.6	0.00221102828615
1.62	0.00187714500248
1.64	0.00158863509789
1.66	0.00134014178686
1.68	0.00112682500661
1.7	0.000944325303025
1.72	0.000788729189622
1.74	0.000656535865454
1.76	0.000544625220123
1.78	0.000450227092798
1.8	0.000370891784655
1.82	0.000304461849226
1.84	0.000249045201946
1.86	0.00020298959897
1.88	0.000164858536639
1.9	0.000133408617945
1.92	0.000107568422223
1.94	8.64189005267e-05
1.96	6.91753030759e-05
1.98	5.51706281071e-05
2.0	4.38405645148e-05
2.02	3.47098847523e-05
2.04	2.73802302726e-05
2.06	2.15192197919e-05
2.08	1.68508011409e-05
2.1	1.31467605226e-05
2.12	1.02192985733e-05
2.14	7.91458057347e-06
2.16	6.10716821574e-06
2.18	4.69524223957e-06
2.2	3.5965286348e-06
2.22	2.74484569721e-06
2.24	2.08719465707e-06
2.26	1.58132261373e-06
2.28	1.19369283491e-06
2.3	8.97803898443e-07
2.32	6.72805486286e-07
2.34	5.02364741838e-07
2.36	3.73742866553e-07
2.38	2.77046985941e-07
2.4	2.0462721307e-07
2.42	1.50593257681e-07
2.44	1.10428868612e-07
2.46	8.06858685795e-08
2.48	5.87425670172e-08
2.5	4.26139494511e-08
2.52	3.08032764714e-08
2.54	2.21866196667e-08
2.56	1.59234542791e-08
2.58	1.13877562381e-08
2.6	8.11515008734e-09
2.62	5.76255692179e-09
2.64	4.07752758976e-09
2.66	2.87504265505e-09
2.68	2.02004032622e-09
2.7	1.4143170196e-09
2.72	9.86749812597e-10
2.74	6.86030500642e-10
2.76	4.75289661153e-10
2.78	3.28136328985e-10
2.8	2.25753063688e-10
2.82	1.54774252021e-10
2.84	1.05743037053e-10
2.86	7.19937969273e-11
2.88	4.88462003247e-11
2.9	3.30263838115e-11
2.92	2.22529636546e-11
2.94	1.49421573168e-11
2.96	9.99860291263e-12
2.98	6.66757353317e-12
3.0	4.43098863211e-12
3.02	2.93453697458e-12
3.04	1.93680728976e-12
3.06	1.27392190706e-12
3.08	8.35046027688e-13
3.1	5.45495068918e-13
3.12	3.55128554002e-13
3.14	2.30407281735e-13
3.16	1.48978671383e-13
3.18	9.59998780525e-14
3.2	6.16505998181e-14
3.22	3.94571105867e-14
3.24	2.51672557526e-14
3.26	1.59981688656e-14
3.28	1.01351387632e-14
3.3	6.39904651203e-15
3.32	4.0265034614e-15
3.34	2.52504537549e-15
3.36	1.57811852391e-15
3.38	9.82970202213e-16
3.4	6.10200193385e-16
3.42	3.77516985154e-16
3.44	2.32773587038e-16
3.46	1.43042403501e-16
3.48	8.76053467736e-17
3.5	5.34726773621e-17
3.52	3.25289097581e-17
3.54	1.97216877503e-17
3.56	1.19167093358e-17
3.58	7.17640583578e-18
3.6	4.30721613733e-18
3.62	2.57647540435e-18
3.64	1.53601552538e-18
3.66	9.12653796598e-19
3.68	5.40453015666e-19
3.7	3.18971433357e-19
3.72	1.87623886448e-19
3.74	1.09993612579e-19
3.76	6.42673357215e-20
3.78	3.74245935598e-20
3.8	2.17204247755e-20
3.82	1.25638981063e-20
3.84	7.24312193591e-21
3.86	4.16172044119e-21
3.88	2.38323095409e-21
3.9	1.3602097094e-21
3.92	7.73735463961e-22
3.94	4.38658347731e-22
3.96	2.47860839659e-22
3.98	1.39584568339e-22
4.0	7.834570875e-23
#normalisation = 0.184641180351
#sigma**2 n(k)k**2 = 0.0763796268186
#kurtosis n(k)k**2 = 6.09120023272
#skewness n(k)k**2 = 2.5459080949
