# mass number (A) = 56
# number of protons (Z) = 26
#relative orbital quantum number l = 3
# k (1/fm)	cm two_body (fm^3)
0.0	0.0
0.02	1.4356168093e-09
0.04	9.13739370141e-08
0.06	1.03127993258e-06
0.08	5.72030189887e-06
0.1	2.14631224815e-05
0.12	6.2805688208e-05
0.14	0.000154633662012
0.16	0.000335186852509
0.18	0.000658630294124
0.2	0.00119684031241
0.22	0.00204011061252
0.24	0.00329655566872
0.26	0.00509008095098
0.28	0.00755689473502
0.3	0.0108406463636
0.32	0.015086382497
0.34	0.0204336080738
0.36	0.0270088153249
0.38	0.0349178966347
0.4	0.0442388816046
0.42	0.0550154337252
0.44	0.0672515081764
0.46	0.0809075120781
0.48	0.0958982264643
0.5	0.11209265121
0.52	0.129315826919
0.54	0.147352578581
0.56	0.165953021723
0.58	0.184839579267
0.6	0.203715181747
0.62	0.222272268955
0.64	0.240202179958
0.66	0.25720451144
0.68	0.272996040754
0.7	0.287318847578
0.72	0.299947323192
0.74	0.310693824854
0.76	0.319412809629
0.78	0.326003362356
0.8	0.33041011142
0.82	0.332622599269
0.84	0.332673238628
0.86	0.330634037368
0.88	0.326612313265
0.9	0.320745643749
0.92	0.313196305235
0.94	0.304145452968
0.96	0.293787276934
0.98	0.282323344635
1.0	0.269957309686
1.02	0.256890128888
1.04	0.243315892076
1.06	0.22941833093
1.08	0.215368036939
1.1	0.201320386454
1.12	0.187414143252
1.14	0.173770687047
1.16	0.160493800069
1.18	0.147669933206
1.2	0.135368867794
1.22	0.123644688351
1.24	0.112536984625
1.26	0.10207220742
1.28	0.0922651108783
1.3	0.083120223481
1.32	0.0746333001992
1.34	0.0667927183633
1.36	0.059580789457
1.38	0.052974967777
1.4	0.0469489445132
1.42	0.0414736221759
1.44	0.036517969378
1.46	0.0320497598494
1.48	0.0280362023007
1.5	0.0244444695278
1.52	0.021242136114
1.54	0.0183975344107
1.56	0.0158800383315
1.58	0.0136602840136
1.6	0.0117103357195
1.62	0.0100038045651
1.64	0.00851592684786
1.66	0.00722360796673
1.68	0.0061054372023
1.7	0.00514167798752
1.72	0.00431423774375
1.74	0.00360662088552
1.76	0.00300386819697
1.78	0.00249248544246
1.8	0.00206036377937
1.82	0.00169669427895
1.84	0.00139187862239
1.86	0.00113743781348
1.88	0.000925920532489
1.9	0.000750812543809
1.92	0.000606448362374
1.94	0.000487926180608
1.96	0.000391026861376
1.98	0.000312137614972
2.0	0.000248180802556
2.02	0.000196548147182
2.04	0.000155040488735
2.06	0.000121813092306
2.08	9.53264117711e-05
2.1	7.43021216426e-05
2.12	5.76841603769e-05
2.14	4.46044761655e-05
2.16	3.43531303899e-05
2.18	2.63523926663e-05
2.2	2.01344527482e-05
2.22	1.53223764687e-05
2.24	1.16139433482e-05
2.26	8.76802052685e-06
2.28	6.59314950844e-06
2.3	4.93804723063e-06
2.32	3.68374982394e-06
2.34	2.73715493851e-06
2.36	2.02574577753e-06
2.38	1.49330626423e-06
2.4	1.0964615625e-06
2.42	8.01901117646e-07
2.44	5.84162270274e-07
2.46	4.23871232109e-07
2.48	3.06354795084e-07
2.5	2.20550644539e-07
2.52	1.58156683095e-07
2.54	1.12970495933e-07
2.56	8.0379172308e-08
2.58	5.69673211488e-08
2.6	4.02174588434e-08
2.62	2.82821758997e-08
2.64	1.98117660419e-08
2.66	1.38244722595e-08
2.68	9.60930000871e-09
2.7	6.65358306928e-09
2.72	4.5892621542e-09
2.74	3.15323549296e-09
2.76	2.15823630301e-09
2.78	1.4715445149e-09
2.8	9.99499078356e-10
2.82	6.76283379669e-10
2.84	4.55842770852e-10
2.86	3.06086493295e-10
2.88	2.04747528384e-10
2.9	1.36439846886e-10
2.92	9.05762739832e-11
2.94	5.99019475632e-11
2.96	3.94660135037e-11
2.98	2.590382737e-11
3.0	1.69381306025e-11
3.02	1.10339332776e-11
3.04	7.16079116635e-12
3.06	4.62977465819e-12
3.08	2.98214851956e-12
3.1	1.9136900692e-12
3.12	1.22345830647e-12
3.14	7.79263377593e-13
3.16	4.94491846777e-13
3.18	3.12619455875e-13
3.2	1.96905143328e-13
3.22	1.23561868788e-13
3.24	7.72503320408e-14
3.26	4.81179170029e-14
3.28	2.98611086247e-14
3.3	1.84628915115e-14
3.32	1.13733969533e-14
3.34	6.98038445424e-15
3.36	4.26843922433e-15
3.38	2.60052716225e-15
3.4	1.57854915084e-15
3.42	9.54687216944e-16
3.44	5.75270658148e-16
3.46	3.45376879942e-16
3.48	2.06597946992e-16
3.5	1.23132357204e-16
3.52	7.31195588603e-17
3.54	4.32625194098e-17
3.56	2.55040176297e-17
3.58	1.49804751376e-17
3.6	8.7672702545e-18
3.62	5.11242106001e-18
3.64	2.97039239904e-18
3.66	1.71960053906e-18
3.68	9.91903412077e-19
3.7	5.70086507658e-19
3.72	3.26469931323e-19
3.74	1.86285099361e-19
3.76	1.0591244359e-19
3.78	5.9999994835e-20
3.8	3.3868205432e-20
3.82	1.90489603253e-20
3.84	1.06755397055e-20
3.86	5.96141293212e-21
3.88	3.31703981418e-21
3.9	1.83905860529e-21
3.92	1.01597993856e-21
3.94	5.59268847026e-22
3.96	3.06763223394e-22
3.98	1.67661884065e-22
4.0	9.13092922743e-23
#normalisation = 0.177317049898
#sigma**2 n(k)k**2 = 0.166158216092
#kurtosis n(k)k**2 = 2.42903577648
#skewness n(k)k**2 = 1.97949525322
