# mass number (A) = 16
# number of protons (Z) = 8
#relative orbital quantum number l = 2
# k (1/fm)	cm two_body (fm^3)
0.0	0.0
0.02	5.50445052046e-07
0.04	8.7756623411e-06
0.06	4.41626227125e-05
0.08	0.000138415168734
0.1	0.000334319407072
0.12	0.000684208378421
0.14	0.00124807685353
0.16	0.00209140848594
0.18	0.00328278674458
0.2	0.00489136774543
0.22	0.00698429708986
0.24	0.00962415398976
0.26	0.0128665043125
0.28	0.0167576398142
0.3	0.0213325739461
0.32	0.0266133555025
0.34	0.0326077503983
0.36	0.0393083294344
0.38	0.0466919865032
0.4	0.0547198977873
0.42	0.0633379186086
0.44	0.0724774011616
0.46	0.0820564038697
0.48	0.0919812519156
0.5	0.102148398971
0.52	0.112446532522
0.54	0.122758859677
0.56	0.132965506991
0.58	0.142945966753
0.6	0.152581523196
0.62	0.161757595164
0.64	0.170365936652
0.66	0.178306643068
0.68	0.185489918812
0.7	0.191837570456
0.72	0.197284199096
0.74	0.201778075069
0.76	0.205281687758
0.78	0.207771972444
0.8	0.209240224736
0.82	0.209691720871
0.84	0.209145068906
0.86	0.207631321326
0.88	0.205192883923
0.9	0.201882258722
0.92	0.197760660462
0.94	0.192896546539
0.96	0.187364099603
0.98	0.181241700236
1.0	0.174610424474
1.02	0.167552597489
1.04	0.160150430822
1.06	0.152484766115
1.08	0.144633943701
1.1	0.136672809713
1.12	0.128671870741
1.14	0.120696600681
1.16	0.112806900263
1.18	0.105056706103
1.2	0.0974937428332
1.22	0.090159409168
1.24	0.0830887865646
1.26	0.0763107574733
1.28	0.0698482190498
1.3	0.0637183775615
1.32	0.0579331085428
1.34	0.0524993679767
1.36	0.0474196403583
1.38	0.0426924103636
1.4	0.0383126459387
1.42	0.0342722818948
1.44	0.0305606944673
1.46	0.0271651587381
1.48	0.0240712822634
1.5	0.0212634096713
1.52	0.0187249943413
1.54	0.0164389345437
1.56	0.0143878725562
1.58	0.0125544562984
1.6	0.0109215639018
1.62	0.00947249237443
1.64	0.00819111211815
1.66	0.00706198952678
1.68	0.00607048023056
1.7	0.00520279578164
1.72	0.0044460466974
1.74	0.00378826481331
1.76	0.00321840785548
1.78	0.00272634903968
1.8	0.00230285435126
1.82	0.00193954997141
1.84	0.00162888210063
1.86	0.00136407120043
1.88	0.00113906243741
1.9	0.000948473877591
1.92	0.000787543749209
1.94	0.000652077873466
1.96	0.000538398158953
1.98	0.000443292868813
2.0	0.000363969201773
2.02	0.000298008579641
2.04	0.000243324904846
2.06	0.000198125941458
2.08	0.000160877881038
2.1	0.000130273079311
2.12	0.000105200889639
2.14	8.47214729163e-05
2.16	6.80424292933e-05
2.18	5.4498073329e-05
2.2	4.35311592551e-05
2.22	3.46768555051e-05
2.24	2.75487661409e-05
2.26	2.18268000592e-05
2.28	1.72466957765e-05
2.3	1.35910192118e-05
2.32	1.06814633828e-05
2.34	8.37229161412e-06
2.36	6.54477915193e-06
2.38	5.10252153503e-06
2.4	3.96749131928e-06
2.42	3.07673753002e-06
2.44	2.37963431992e-06
2.46	1.83559660915e-06
2.48	1.41219089811e-06
2.5	1.08357893169e-06
2.52	8.29240453027e-07
2.54	6.32928933844e-07
2.56	4.81820946948e-07
2.58	3.65825806292e-07
2.6	2.77027301787e-07
2.62	2.09233865035e-07
2.64	1.57617385162e-07
2.66	1.18424217176e-07
2.68	8.87447527671e-08
2.7	6.63303154324e-08
2.72	4.94481544193e-08
2.74	3.67669964564e-08
2.76	2.72670169441e-08
2.78	2.01692545803e-08
2.8	1.48804518981e-08
2.82	1.09500909306e-08
2.84	8.03703605162e-09
2.86	5.88371894712e-09
2.88	4.29622417644e-09
2.9	3.12897532826e-09
2.92	2.27299606048e-09
2.94	1.64693968845e-09
2.96	1.19025573063e-09
2.98	8.58000464191e-10
3.0	6.16908112742e-10
3.02	4.42425547673e-10
3.04	3.1648103411e-10
3.06	2.25810408401e-10
3.08	1.60705218111e-10
3.1	1.14079265604e-10
3.12	8.0774655188e-11
3.14	5.70474308831e-11
3.16	4.01874599464e-11
3.18	2.82383555281e-11
3.2	1.97917181029e-11
3.22	1.38364187787e-11
3.24	9.64852322609e-12
3.26	6.71113178597e-12
3.28	4.65617472724e-12
3.3	3.22227163273e-12
3.32	2.22430933211e-12
3.34	1.5315428196e-12
3.36	1.05187656512e-12
3.38	7.20614225653e-13
3.4	4.92429457756e-13
3.42	3.35651872568e-13
3.44	2.28212106789e-13
3.46	1.54772405131e-13
3.48	1.04701837844e-13
3.5	7.06515454199e-14
3.52	4.75550090219e-14
3.54	3.1928517583e-14
3.56	2.13830552359e-14
3.58	1.42846596754e-14
3.6	9.51874705978e-15
3.62	6.32703190068e-15
3.64	4.19499262565e-15
3.66	2.7744308207e-15
3.68	1.8303270226e-15
3.7	1.20447041728e-15
3.72	7.90636377138e-16
3.74	5.17691696698e-16
3.76	3.38127033673e-16
3.78	2.20294373459e-16
3.8	1.43166777422e-16
3.82	9.28104628373e-17
3.84	6.00161282245e-17
3.86	3.87129131117e-17
3.88	2.49092734311e-17
3.9	1.59876295137e-17
3.92	1.02358843918e-17
3.94	6.53710430276e-18
3.96	4.16451720245e-18
3.98	2.64644919494e-18
4.0	1.6775773766e-18
#normalisation = 0.124999999583
#sigma**2 n(k)k**2 = 0.129637046511
#kurtosis n(k)k**2 = 5.56406413195
#skewness n(k)k**2 = 2.61906676027
