# mass number (A) = 109
# number of protons (Z) = 47
#relative orbital quantum number l = 2
# k (1/fm)	relative two_body (fm^3)
0.0	0.0
0.02	7.16656238522e-06
0.04	0.000113727990346
0.06	0.00056792993873
0.08	0.00176092261035
0.1	0.00419471448098
0.12	0.0084408343289
0.14	0.015092873752
0.16	0.0247165184833
0.18	0.0378008200648
0.2	0.0547143037258
0.22	0.0756690735114
0.24	0.100695405189
0.26	0.129628473495
0.28	0.16210791778
0.3	0.197589989477
0.32	0.23537112442
0.34	0.274621012508
0.36	0.314422651454
0.38	0.353816506657
0.4	0.391845771225
0.42	0.427599823396
0.44	0.460253288994
0.46	0.489098594286
0.48	0.513570489398
0.5	0.533261678089
0.52	0.547929350288
0.54	0.557493027791
0.56	0.56202465831
0.58	0.561732297534
0.6	0.556938985075
0.62	0.548058543243
0.64	0.535570014952
0.66	0.519992326204
0.68	0.501860534408
0.7	0.481704735443
0.72	0.460032380482
0.74	0.437314427076
0.76	0.413975443062
0.78	0.390387516449
0.8	0.366867612998
0.82	0.343677872829
0.84	0.321028249067
0.86	0.299080861093
0.88	0.27795545417
0.9	0.257735415395
0.92	0.238473881175
0.94	0.220199571671
0.96	0.202922092299
0.98	0.186636542135
1.0	0.171327357319
1.02	0.156971389778
1.04	0.143540275707
1.06	0.13100218411
1.08	0.119323054811
1.1	0.108467440255
1.12	0.0983990593143
1.14	0.0890811576786
1.16	0.0804767514158
1.18	0.0725488108033
1.2	0.0652604228045
1.22	0.0585749541621
1.24	0.0524562239589
1.26	0.0468686850332
1.28	0.0417776077181
1.3	0.0371492565926
1.32	0.032951050632
1.34	0.0291516986222
1.36	0.0257213042259
1.38	0.0226314380435
1.4	0.019855176886
1.42	0.0173671129104
1.44	0.0151433370628
1.46	0.0131614023349
1.48	0.0114002727013
1.5	0.00984026336478
1.52	0.00846297724149
1.54	0.00725124162537
1.56	0.00618904784868
1.58	0.0052614956301
1.6	0.00445474278935
1.62	0.00375596017489
1.64	0.00315329104053
1.66	0.00263581372472
1.68	0.0021935063193
1.7	0.00181721202933
1.72	0.00149860408049
1.74	0.00123014928137
1.76	0.0010050696482
1.78	0.000817301813517
1.8	0.000661454233886
1.82	0.000532762465005
1.84	0.000427042969376
1.86	0.00034064605751
1.88	0.00027040863784
1.9	0.000213607468819
1.92	0.000167913577623
1.94	0.000131348443947
1.96	0.000102242455648
1.98	7.91960360166e-05
2.0	6.10437297046e-05
2.02	4.68214236548e-05
2.04	3.57367766802e-05
2.06	2.71428409408e-05
2.08	2.05147828712e-05
2.1	1.54295512093e-05
2.12	1.15482955333e-05
2.14	8.60130910482e-06
2.16	6.37525323691e-06
2.18	4.70241488838e-06
2.2	3.45175262711e-06
2.22	2.52149642474e-06
2.24	1.83308200607e-06
2.26	1.32621895866e-06
2.28	9.54912056228e-07
2.3	6.84276081124e-07
2.32	4.88004934152e-07
2.34	3.46375327862e-07
2.36	2.4468342127e-07
2.38	1.72029100236e-07
2.4	1.20377113449e-07
2.42	8.38369254295e-08
2.44	5.8114012353e-08
2.46	4.00945252406e-08
2.48	2.75329330617e-08
2.5	1.88186064508e-08
2.52	1.28024856336e-08
2.54	8.66916275063e-09
2.56	5.84305654734e-09
2.58	3.92000872135e-09
2.6	2.61771167477e-09
2.62	1.73999550518e-09
2.64	1.15124982211e-09
2.66	7.58210230819e-10
2.68	4.97063289631e-10
2.7	3.2436873524e-10
2.72	2.10704926912e-10
2.74	1.36245401993e-10
2.76	8.76967368775e-11
2.78	5.61904211675e-11
2.8	3.58394371131e-11
2.82	2.27553116499e-11
2.84	1.43823449123e-11
2.86	9.04907987374e-12
2.88	5.6677329678e-12
2.9	3.53384036363e-12
2.92	2.19340757566e-12
2.94	1.35527936491e-12
2.96	8.33638052881e-13
2.98	5.10466837659e-13
3.0	3.11172247056e-13
3.02	1.88833682711e-13
3.04	1.1407888456e-13
3.06	6.86088478936e-14
3.08	4.10776753391e-14
3.1	2.44841047908e-14
3.12	1.45283725391e-14
3.14	8.58234085257e-15
3.16	5.0472202e-15
3.18	2.95500393058e-15
3.2	1.72236333128e-15
3.22	9.99433555327e-16
3.24	5.7736047639e-16
3.26	3.32051645583e-16
3.28	1.9012146546e-16
3.3	1.08373985156e-16
3.32	6.15019279049e-17
3.34	3.47475038989e-17
3.36	1.95447928558e-17
3.38	1.0944916966e-17
3.4	6.10195716979e-18
3.42	3.38690061058e-18
3.44	1.87160276008e-18
3.46	1.02968438846e-18
3.48	5.63994789973e-19
3.5	3.07558576341e-19
3.52	1.66979685655e-19
3.54	9.02575901843e-20
3.56	4.8572377989e-20
3.58	2.60244622813e-20
3.6	1.38823231789e-20
3.62	7.37278779149e-21
3.64	3.89844774639e-21
3.66	2.05231157761e-21
3.68	1.07569129246e-21
3.7	5.61339973676e-22
3.72	2.91648278217e-22
3.74	1.50865229587e-22
3.76	7.76991648254e-23
3.78	3.98420930543e-23
3.8	2.03407839288e-23
3.82	1.03393708216e-23
3.84	5.23266042762e-24
3.86	2.636660019e-24
3.88	1.32278717566e-24
3.9	6.60740901589e-25
3.92	3.28608572473e-25
3.94	1.62717464739e-25
3.96	8.02228576661e-26
3.98	3.93796504138e-26
4.0	1.92467071415e-26
#normalisation = 0.163640912271
#sigma**2 n(k)k**2 = 0.111225725968
#kurtosis n(k)k**2 = 4.09620709215
#skewness n(k)k**2 = 2.28675482745
