# mass number (A) = 27
# number of protons (Z) = 13
#relative orbital quantum number l = 1
# k (1/fm)	relative two_body (fm^3)
0.0	0.0
0.01	0.00157457313603
0.02	0.00629115163692
0.03	0.0141283543121
0.04	0.0250506839756
0.05	0.0390087335774
0.06	0.0559394726672
0.07	0.0757666120902
0.08	0.098401044251
0.09	0.123741355734
0.1	0.151674408557
0.11	0.182075985849
0.12	0.214811497301
0.13	0.24973673933
0.14	0.286698704539
0.15	0.325536434741
0.16	0.366081911545
0.17	0.408160978303
0.18	0.451594287035
0.19	0.496198263864
0.2	0.541786086412
0.21	0.58816866665
0.22	0.635155632687
0.23	0.682556303149
0.24	0.730180647915
0.25	0.777840229183
0.26	0.825349117102
0.27	0.872524774476
0.28	0.91918890539
0.29	0.965168262962
0.3	1.01029541182
0.31	1.05440944133
0.32	1.09735662604
0.33	1.13899103027
0.34	1.17917505428
0.35	1.21777991989
0.36	1.2546860939
0.37	1.28978364828
0.38	1.32297255647
0.39	1.35416292556
0.4	1.38327516478
0.41	1.410240091
0.42	1.43499897243
0.43	1.45750351225
0.44	1.47771577398
0.45	1.49560805111
0.46	1.51116268355
0.47	1.524371824
0.48	1.53523715727
0.49	1.54376957626
0.5	1.54998881804
0.51	1.55392306391
0.52	1.55560850735
0.53	1.55508889385
0.54	1.55241503669
0.55	1.54764431261
0.56	1.54084014157
0.57	1.53207145442
0.58	1.52141215249
0.59	1.50894056282
0.6	1.49473889266
0.61	1.47889268684
0.62	1.46149029115
0.63	1.44262232501
0.64	1.42238116623
0.65	1.40086045058
0.66	1.3781545885
0.67	1.35435830133
0.68	1.32956617883
0.69	1.30387225979
0.7	1.27736963703
0.71	1.25015008817
0.72	1.22230373288
0.73	1.19391871758
0.74	1.16508092768
0.75	1.13587372802
0.76	1.10637773115
0.77	1.0766705936
0.78	1.04682683943
0.79	1.01691771093
0.8	0.987011045327
0.81	0.957171177035
0.82	0.927458864238
0.83	0.897931238821
0.84	0.868641778441
0.85	0.839640299486
0.86	0.81097296958
0.87	0.78268233827
0.88	0.754807384476
0.89	0.727383579262
0.9	0.700442962482
0.91	0.674014231873
0.92	0.648122843138
0.93	0.622791119646
0.94	0.598038370353
0.95	0.573881014637
0.96	0.550332712751
0.97	0.527404500697
0.98	0.505104928338
0.99	0.483440199681
1.0	0.462414314289
1.01	0.442029208897
1.02	0.422284898335
1.03	0.403179614982
1.04	0.384709946023
1.05	0.36687096786
1.06	0.349656377111
1.07	0.333058617705
1.08	0.317069003633
1.09	0.301677837014
1.1	0.286874521162
1.11	0.27264766844
1.12	0.258985202718
1.13	0.245874456317
1.14	0.233302261364
1.15	0.221255035548
1.16	0.209718862274
1.17	0.198679565297
1.18	0.188122777896
1.19	0.178034006735
1.2	0.168398690537
1.21	0.159202253747
1.22	0.150430155364
1.23	0.142067933149
1.24	0.134101243415
1.25	0.126515896625
1.26	0.119297889019
1.27	0.112433430511
1.28	0.105908969072
1.29	0.099711211848
1.3	0.0938271432289
1.31	0.0882440400942
1.32	0.0829494844592
1.33	0.0779313737272
1.34	0.0731779287553
1.35	0.0686776999251
1.36	0.0644195714079
1.37	0.0603927637972
1.38	0.0565868352755
1.39	0.0529916814718
1.4	0.0495975341534
1.41	0.0463949588892
1.42	0.0433748518081
1.43	0.0405284355683
1.44	0.0378472546441
1.45	0.0353231700248
1.46	0.0329483534166
1.47	0.0307152810241
1.48	0.028616726985
1.49	0.0266457565221
1.5	0.0247957188702
1.51	0.0230602400279
1.52	0.0214332153829
1.53	0.0199088022462
1.54	0.0184814123353
1.55	0.0171457042331
1.56	0.0158965758518
1.57	0.0147291569234
1.58	0.0136388015382
1.59	0.0126210807469
1.6	0.0116717752418
1.61	0.0107868681302
1.62	0.00996253780856
1.63	0.00919515094863
1.64	0.00848125560101
1.65	0.00781757442383
1.66	0.00720099804083
1.67	0.00662857853361
1.68	0.00609752307131
1.69	0.00560518768081
1.7	0.00514907115973
1.71	0.00472680913407
1.72	0.00433616826221
1.73	0.00397504058624
1.74	0.00364143803164
1.75	0.00333348705595
1.76	0.00304942344686
1.77	0.00278758726991
1.78	0.00254641796583
1.79	0.00232444959746
1.8	0.00212030624577
1.81	0.00193269755463
1.82	0.00176041442357
1.83	0.0016023248477
1.84	0.00145736990378
1.85	0.00132455988129
1.86	0.00120297055702
1.87	0.00109173961176
1.88	0.000990063187313
1.89	0.0008971925819
1.9	0.00081243108199
1.91	0.000735130928247
1.92	0.000664690413223
1.93	0.000600551108273
1.94	0.000542195216977
1.95	0.000489143052242
1.96	0.000440950634136
1.97	0.00039720740537
1.98	0.000357534061241
1.99	0.000321580490775
2.0	0.000289023825691
2.01	0.000259566593789
2.02	0.000232934973243
2.03	0.00020887714431
2.04	0.000187161734882
2.05	0.000167576356311
2.06	0.000149926225939
2.07	0.000134032872764
2.08	0.000119732922692
2.09	0.000106876959858
2.1	9.53284605405e-05
2.11	8.49627962426e-05
2.12	7.56663025714e-05
2.13	6.73354106126e-05
2.14	5.98758375778e-05
2.15	5.32018335745e-05
2.16	4.72354814432e-05
2.17	4.19060466905e-05
2.18	3.71493746483e-05
2.19	3.29073320835e-05
2.2	2.91272905882e-05
2.21	2.5761649181e-05
2.22	2.27673936556e-05
2.23	2.01056903203e-05
2.24	1.77415118748e-05
2.25	1.56432932777e-05
2.26	1.37826155639e-05
2.27	1.213391567e-05
2.28	1.06742204324e-05
2.29	9.38290301822e-06
2.3	8.24146014801e-06
2.31	7.23330856367e-06
2.32	6.34359928544e-06
2.33	5.55904829133e-06
2.34	4.86778233732e-06
2.35	4.2591987185e-06
2.36	3.72383785021e-06
2.37	3.25326762315e-06
2.38	2.83997855835e-06
2.39	2.47728885592e-06
2.4	2.1592584963e-06
2.41	1.88061161418e-06
2.42	1.63666642284e-06
2.43	1.42327202182e-06
2.44	1.23675147179e-06
2.45	1.07385056899e-06
2.46	9.31691796811e-07
2.47	8.07732974487e-07
2.48	6.99730162193e-07
2.49	6.05704418933e-07
2.5	5.2391204364e-07
2.51	4.52817961848e-07
2.52	3.91071949714e-07
2.53	3.3748741451e-07
2.54	2.9102247587e-07
2.55	2.50763115349e-07
2.56	2.15908183247e-07
2.57	1.85756071361e-07
2.58	1.59692878348e-07
2.59	1.3718191099e-07
2.6	1.17754379775e-07
2.61	1.0100116106e-07
2.62	8.65655107225e-08
2.63	7.41366257007e-08
2.64	6.34439603224e-08
2.65	5.42522137992e-08
2.66	4.63569139211e-08
2.67	3.95805297919e-08
2.68	3.37690535222e-08
2.69	2.87889971871e-08
2.7	2.45247571232e-08
2.71	2.08763028346e-08
2.72	1.77571524529e-08
2.73	1.5092600901e-08
2.74	1.28181706798e-08
2.75	1.08782585821e-08
2.76	9.22495466113e-09
2.77	7.81701249429e-09
2.78	6.61895219495e-09
2.79	5.6002797867e-09
2.8	4.73480847378e-09
2.81	4.00006905236e-09
2.82	3.37679822713e-09
2.83	2.8484949472e-09
2.84	2.40103607177e-09
2.85	2.0223437357e-09
2.86	1.70209772275e-09
2.87	1.43148698264e-09
2.88	1.20299515936e-09
2.89	1.01021564267e-09
2.9	8.47692222585e-10
2.91	7.10781926035e-10
2.92	5.95537053684e-10
2.93	4.98603819992e-10
2.94	4.17135337422e-10
2.95	3.48716981345e-10
2.96	2.91302430991e-10
2.97	2.43158907868e-10
2.98	2.02820330508e-10
2.99	1.69047276492e-10
3.0	1.4079279269e-10
#normalisation = 0.450593603091
#sigma**2 n(k)k**2 = 0.207720324676
#kurtosis n(k)k**2 = -0.810191268807
#skewness n(k)k**2 = 0.72907393501
