# mass number (A) = 40
# number of protons (Z) = 18
#relative orbital quantum number l = 0
# k (1/fm)	relative two_body (fm^3)
0.0	3.72027129984
0.02	3.71269568095
0.04	3.6900703597
0.06	3.6526976093
0.08	3.60107351647
0.1	3.53587668723
0.12	3.45795294172
0.14	3.36829648004
0.16	3.26802810535
0.18	3.15837117094
0.2	3.04062597341
0.22	2.91614334118
0.24	2.78629816773
0.26	2.65246361165
0.28	2.51598663352
0.3	2.37816546622
0.32	2.24022952356
0.34	2.10332214704
0.36	1.96848647766
0.38	1.83665462213
0.4	1.70864016812
0.42	1.58513399287
0.44	1.46670321036
0.46	1.35379301515
0.48	1.24673111032
0.5	1.14573435288
0.52	1.05091721429
0.54	0.962301635322
0.56	0.879827853423
0.58	0.803365794682
0.6	0.732726649773
0.62	0.667674291352
0.64	0.607936236545
0.66	0.553213909675
0.68	0.503192014548
0.7	0.457546879945
0.72	0.415953694209
0.74	0.378092593133
0.76	0.343653608303
0.78	0.312340519555
0.8	0.283873684744
0.82	0.25799194228
0.84	0.234453697119
0.86	0.213037309451
0.88	0.193540907973
0.9	0.175781747092
0.92	0.159595220817
0.94	0.144833636184
0.96	0.131364837093
0.98	0.11907075604
1.0	0.107845957448
1.02	0.0975962226619
1.04	0.088237213868
1.06	0.0796932424973
1.08	0.071896157535
1.1	0.0647843605703
1.12	0.0583019475493
1.14	0.052397971938
1.16	0.0470258202636
1.18	0.0421426886068
1.2	0.0377091473787
1.22	0.0336887814
1.24	0.0300478927187
1.26	0.0267552545249
1.28	0.0237819057956
1.3	0.021100977742
1.32	0.018687544635
1.34	0.0165184930335
1.36	0.0145724047756
1.38	0.0128294502644
1.4	0.0112712895654
1.42	0.00988097962615
1.44	0.0086428865395
1.46	0.00754260221535
1.48	0.00656686512656
1.5	0.00570348498038
1.52	0.00494127126105
1.54	0.00426996562039
1.56	0.00368017808068
1.58	0.00316332697843
1.6	0.00271158253204
1.62	0.00231781387206
1.64	0.00197553933632
1.66	0.00167887980819
1.68	0.0014225148652
1.7	0.00120164150723
1.72	0.00101193524646
1.74	0.000849513362836
1.76	0.000710900155508
1.78	0.000592994050492
1.8	0.000493036454413
1.82	0.000408582271793
1.84	0.000337472027354
1.86	0.000277805554137
1.88	0.000227917222422
1.9	0.00018635269339
1.92	0.000151847185605
1.94	0.000123305242201
1.96	9.978198304e-05
1.98	8.04658197832e-05
2.0	6.46626038405e-05
2.02	5.17811681812e-05
2.04	4.13202149006e-05
2.06	3.28564917615e-05
2.08	2.60341932014e-05
2.1	2.05555148518e-05
2.12	1.61722856728e-05
2.14	1.26785984695e-05
2.16	9.9043578241e-06
2.18	7.70966426888e-06
2.2	5.97995470342e-06
2.22	4.6218214356e-06
2.24	3.5594356033e-06
2.26	2.73150489011e-06
2.28	2.08870017809e-06
2.3	1.59149088274e-06
2.32	1.20833401238e-06
2.34	9.14167330124e-07
2.36	6.89162242493e-07
2.38	5.17697090142e-07
2.4	3.8751629497e-07
2.42	2.89045267739e-07
2.44	2.14835066121e-07
2.46	1.59114496812e-07
2.48	1.17430673307e-07
2.5	8.6361981315e-08
2.52	6.32899829147e-08
2.54	4.62190314927e-08
2.56	3.36342988953e-08
2.58	2.4390563287e-08
2.6	1.76255007275e-08
2.62	1.26923949659e-08
2.64	9.10815669178e-09
2.66	6.51335195848e-09
2.68	4.6416040119e-09
2.7	3.29627526257e-09
2.72	2.33277611864e-09
2.74	1.64520195297e-09
2.76	1.15628341617e-09
2.78	8.09861316194e-10
2.8	5.65276114794e-10
2.82	3.93202772429e-10
2.84	2.72571713762e-10
2.86	1.88302281525e-10
2.88	1.29641263121e-10
2.9	8.8950024633e-11
2.92	6.08227836682e-11
2.94	4.14482450667e-11
2.96	2.81493161584e-11
2.98	1.90525709838e-11
3.0	1.28518466066e-11
3.02	8.63984255481e-12
3.04	5.78864069735e-12
3.06	3.86527079406e-12
3.08	2.5722779469e-12
3.1	1.70605311162e-12
3.12	1.12773200127e-12
3.14	7.42950640444e-13
3.16	4.87816726764e-13
3.18	3.19225831955e-13
3.2	2.08202480242e-13
3.22	1.35338760378e-13
3.24	8.76816635369e-14
3.26	5.66170842755e-14
3.28	3.64367948351e-14
3.3	2.33716069297e-14
3.32	1.49415098165e-14
3.34	9.52049743611e-15
3.36	6.04624522247e-15
3.38	3.82714155879e-15
3.4	2.41450225056e-15
3.42	1.5182617998e-15
3.44	9.51553688852e-16
3.46	5.94414105366e-16
3.48	3.70097086222e-16
3.5	2.2967542288e-16
3.52	1.42065037375e-16
3.54	8.75861075859e-17
3.56	5.38220278182e-17
3.58	3.29657651995e-17
3.6	2.01254675984e-17
3.62	1.22464420136e-17
3.64	7.42773517109e-18
3.66	4.49041828908e-18
3.68	2.70584209202e-18
3.7	1.62519208542e-18
3.72	9.72959731204e-19
3.74	5.80596279366e-19
3.76	3.45337805135e-19
3.78	2.04741440337e-19
3.8	1.20993037374e-19
3.82	7.12704044123e-20
3.84	4.18459557408e-20
3.86	2.44903150472e-20
3.88	1.42867365284e-20
3.9	8.30750547382e-21
3.92	4.81513325284e-21
3.94	2.78193628031e-21
3.96	1.60209529415e-21
3.98	9.19671858908e-22
4.0	5.26237641385e-22
#normalisation = 0.206707222759
#sigma**2 n(k)k**2 = 0.0854750483954
#kurtosis n(k)k**2 = 4.93347917975
#skewness n(k)k**2 = 2.33353983564
