# mass number (A) = 48
# number of protons (Z) = 20
#relative orbital quantum number l = 2
# k (1/fm)	relative two_body (fm^3)
0.0	0.0
0.02	2.55060397732e-06
0.04	4.05882792307e-05
0.06	0.000203623942259
0.08	0.000635438006288
0.1	0.00152626466256
0.12	0.00310241524788
0.14	0.00561386852168
0.16	0.00932045540198
0.18	0.014477331424
0.2	0.0213204587504
0.22	0.0300528100243
0.24	0.04083195996
0.26	0.0537596506413
0.28	0.0688738081954
0.3	0.086143358463
0.32	0.105466045146
0.34	0.126669303884
0.36	0.149514098027
0.38	0.173701484282
0.4	0.198881555841
0.42	0.224664312611
0.44	0.250631936873
0.46	0.27635191048
0.48	0.301390397207
0.5	0.325325330068
0.52	0.347758685731
0.54	0.368327492845
0.56	0.386713203259
0.58	0.40264914943
0.6	0.415925912115
0.62	0.426394524012
0.64	0.433967532381
0.66	0.438618032075
0.68	0.440376856332
0.7	0.43932817339
0.72	0.435603780899
0.74	0.429376416583
0.76	0.420852413204
0.78	0.410264019657
0.8	0.397861690198
0.82	0.383906612561
0.84	0.368663706103
0.86	0.352395275854
0.88	0.33535546038
0.9	0.317785563302
0.92	0.299910312516
0.94	0.281935049464
0.96	0.264043814703
0.98	0.246398266468
1.0	0.229137346319
1.02	0.212377590487
1.04	0.196213976749
1.06	0.180721194015
1.08	0.165955224419
1.1	0.151955134652
1.12	0.138744983429
1.14	0.126335764394
1.16	0.114727317363
1.18	0.103910154845
1.2	0.0938671643689
1.22	0.0845751598173
1.24	0.0760062662743
1.26	0.0681291324908
1.28	0.0609099729298
1.3	0.0543134473782
1.32	0.0483033904256
1.34	0.0428434058674
1.36	0.0378973424911
1.38	0.0334296679993
1.4	0.0294057572453
1.42	0.025792109759
1.44	0.0225565099299
1.46	0.019668141389
1.48	0.0170976652485
1.5	0.0148172700365
1.52	0.0128006995031
1.54	0.0110232630147
1.56	0.00946183204268
1.58	0.00809482528259
1.6	0.00690218420973
1.62	0.00586534035609
1.64	0.00496717525561
1.66	0.0041919738105
1.68	0.00352537174757
1.7	0.00295429782525
1.72	0.00246691148928
1.74	0.00205253673402
1.76	0.00170159298586
1.78	0.00140552387249
1.8	0.00115672476733
1.82	0.000948469997149
1.84	0.000774840572468
1.86	0.000630653245919
1.88	0.000511391627588
1.9	0.000413139992858
1.92	0.000332520313441
1.94	0.000266632931299
1.96	0.000213001183335
1.98	0.000169520176544
2.0	0.000134409812319
2.02	0.000106172067745
2.04	8.355246262e-05
2.06	6.55055748606e-05
2.08	5.11644139586e-05
2.1	3.9813422092e-05
2.12	3.08648444484e-05
2.14	2.38381931902e-05
2.16	1.83425218977e-05
2.18	1.40612277843e-05
2.2	1.07391059903e-05
2.22	8.17139237467e-06
2.24	6.19454708665e-06
2.26	4.67854961532e-06
2.28	3.52049592353e-06
2.3	2.63930881183e-06
2.32	1.97139310929e-06
2.34	1.46708710513e-06
2.36	1.08778041145e-06
2.38	8.03585901886e-07
2.4	5.914693332e-07
2.42	4.33754642301e-07
2.44	3.16935706855e-07
2.46	2.30736604561e-07
2.48	1.67372183053e-07
2.5	1.20969165239e-07
2.52	8.71151848747e-08
2.54	6.25092029896e-08
2.56	4.46918269856e-08
2.58	3.18382664347e-08
2.6	2.26001310984e-08
2.62	1.59851164492e-08
2.64	1.12659282306e-08
2.66	7.91165760486e-09
2.68	5.53630846528e-09
2.7	3.86036434687e-09
2.72	2.68222017121e-09
2.74	1.85704110553e-09
2.76	1.28118659654e-09
2.78	8.80784785904e-10
2.8	6.03387764724e-10
2.82	4.11903192744e-10
2.84	2.80200188717e-10
2.86	1.89941075854e-10
2.88	1.28306637208e-10
2.9	8.6369741522e-11
2.92	5.7937379622e-11
2.94	3.87296193948e-11
2.96	2.57998471463e-11
2.98	1.71270627346e-11
3.0	1.1330335716e-11
3.02	7.46962912032e-12
3.04	4.90742716619e-12
3.06	3.21299016766e-12
3.08	2.09636906562e-12
3.1	1.36311017162e-12
3.12	8.83285412519e-13
3.14	5.70400649129e-13
3.16	3.67087624767e-13
3.18	2.35435603814e-13
3.2	1.50483554058e-13
3.22	9.5856648876e-14
3.24	6.08518104875e-14
3.26	3.849856495e-14
3.28	2.42737586154e-14
3.3	1.52529062775e-14
3.32	9.55196791627e-15
3.34	5.96155211813e-15
3.36	3.70811837207e-15
3.38	2.29867232832e-15
3.4	1.42014020397e-15
3.42	8.74414717734e-16
3.44	5.36583292905e-16
3.46	3.28164515211e-16
3.48	2.0002403049e-16
3.5	1.21509456201e-16
3.52	7.35659010176e-17
3.54	4.43897618501e-17
3.56	2.66950053173e-17
3.58	1.59999741576e-17
3.6	9.55766325654e-18
3.62	5.69021156475e-18
3.64	3.37637276714e-18
3.66	1.99672686196e-18
3.68	1.17688549938e-18
3.7	6.91350047336e-19
3.72	4.04772447074e-19
3.74	2.36196766456e-19
3.76	1.37368731105e-19
3.78	7.96257628981e-20
3.8	4.60014932436e-20
3.82	2.64876636997e-20
3.84	1.52009087959e-20
3.86	8.69461545164e-21
3.88	4.95663406956e-21
3.9	2.81630506446e-21
3.92	1.59488575155e-21
3.94	9.00196182341e-22
3.96	5.06410969855e-22
3.98	2.83940939437e-22
4.0	1.58676459126e-22
#normalisation = 0.176198117081
#sigma**2 n(k)k**2 = 0.137159134995
#kurtosis n(k)k**2 = 2.99184332452
#skewness n(k)k**2 = 2.07847010994
